seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.093415,0.001839,0.000811,0.161047,-0.433851,0.197608,0.000000,-89.490845,0.000000
2,0.047677,0.024570,0.039834,-0.095136,-0.242520,0.102576,-0.002378,-89.418541,0.003419
3,0.057180,0.021962,0.006670,-0.283884,0.119647,0.069695,-0.008881,-89.398598,0.005742
4,0.125303,0.039472,-0.013700,-0.566180,1.531128,0.039176,-0.020815,-89.361557,0.007048
5,0.098107,0.086487,0.129276,-0.764550,3.263053,0.268065,-0.034725,-88.983826,0.015984
6,0.040368,0.019210,-0.093033,-1.396261,-2.356408,1.808971,-0.060950,-89.235023,0.076283
8,0.064116,0.002305,-0.020199,0.044239,-0.301450,0.185213,-0.044607,-89.285645,0.082457
9,0.053546,0.011840,-0.007127,0.020651,0.084787,0.031551,-0.032939,-89.296707,0.083508
10,0.066588,-0.015742,-0.019800,0.071630,0.052489,-0.013761,-0.022913,-89.332222,0.083050
11,0.051171,0.018126,-0.015749,-0.026652,0.065528,-0.057587,-0.017851,-89.358307,0.081130
12,0.054693,-0.004467,-0.005910,-0.003639,0.048620,-0.004042,-0.013479,-89.369110,0.080995
13,0.051447,0.014947,-0.022067,0.018618,0.054406,-0.018669,-0.009644,-89.408356,0.080373
15,0.071823,0.015177,-0.015459,-0.100064,-0.914092,0.210708,-0.009735,-89.467087,0.087397
16,0.046024,-0.005979,-0.004559,-0.082025,0.149005,-0.002826,-0.009352,-89.471367,0.087302
17,0.053042,-0.001691,-0.007484,0.055309,1.186634,-0.193567,-0.005631,-89.447266,0.080850
18,0.064551,-0.000783,-0.033593,0.023978,0.085084,-0.039631,-0.003624,-89.510460,0.079529
19,0.203004,0.034139,0.037821,0.288853,-1.172220,-0.045711,0.005704,-89.537170,0.078005
20,0.063306,0.010476,0.047703,0.117035,0.408525,-0.095869,0.007204,-89.431770,0.074810
22,0.048627,-0.003438,-0.001111,0.054162,0.387753,-0.107485,0.006757,-89.421829,0.071227
23,0.061623,-0.012016,-0.025923,0.037627,0.205312,-0.074443,0.006009,-89.464157,0.068745
24,0.044559,-0.004660,0.004228,0.110189,0.523279,-0.131039,0.007261,-89.439163,0.064377
25,0.048404,0.023666,0.013981,0.106576,-0.165410,-0.082466,0.008110,-89.413857,0.061629
26,0.081686,-0.022835,-0.005460,0.036667,-0.779865,0.023551,0.006999,-89.446373,0.062414
27,-0.369856,-0.104474,-0.121395,-0.171161,0.441181,0.214646,0.001229,-89.493484,0.069569
29,0.051326,-0.013904,-0.088811,-0.003201,0.087260,0.023121,0.000842,-89.668739,0.070339
30,0.062902,-0.002440,0.004872,0.004283,0.150815,-0.073570,0.000739,-89.654930,0.067887
31,0.070054,-0.020706,0.014080,0.041041,0.094214,-0.049020,0.001580,-89.620316,0.066253
32,0.031558,-0.005711,0.007360,0.061833,0.157541,-0.069551,0.002731,-89.600800,0.063935
33,0.048582,-0.009991,0.022782,0.000770,0.071201,-0.045133,0.002067,-89.554054,0.062430
34,0.064538,-0.010949,0.018113,-0.065670,0.098385,-0.036273,-0.000091,-89.515656,0.061221
36,0.048767,-0.000864,0.021448,0.069314,0.146816,-0.012946,0.001664,-89.470078,0.060789
37,0.072580,-0.002531,0.003822,0.030144,0.112485,-0.012521,0.002002,-89.460205,0.060372
38,0.062652,-0.002640,0.003808,-0.029881,0.116177,-0.026870,0.000754,-89.450058,0.059476
39,0.060935,0.009451,0.012327,0.030135,0.082850,0.040427,0.001319,-89.423851,0.060824
40,0.069211,-0.017648,-0.010055,0.066045,0.102273,-0.027314,0.002641,-89.437737,0.059914
41,0.050919,0.001419,0.003129,0.026982,0.098920,-0.019039,0.002655,-89.429344,0.059279
43,0.082426,-0.014874,0.004299,0.033477,0.014502,-0.003656,0.002828,-89.420128,0.059157
44,0.048864,-0.018421,-0.004366,0.039759,0.095201,-0.018295,0.003115,-89.422913,0.058547
45,0.054340,-0.010700,-0.011773,0.023696,0.084700,-0.010316,0.002929,-89.442589,0.058203
46,0.055854,-0.001398,0.010893,0.022920,0.015508,-0.009978,0.002770,-89.422058,0.057871
47,0.059486,-0.004052,-0.011734,0.007409,0.081415,-0.061307,0.002262,-89.442978,0.055827
48,0.064857,-0.006004,0.014548,0.029305,0.027090,-0.037159,0.002429,-89.414925,0.054589
50,0.073535,-0.005981,0.004992,0.035724,0.070479,0.023095,0.002715,-89.404091,0.055358
51,0.064404,-0.004480,-0.007095,0.027173,0.038650,-0.014559,0.002716,-89.417580,0.054873
52,0.069700,-0.017094,-0.013496,0.033662,-0.014274,0.037575,0.002878,-89.442047,0.056126
53,0.075028,0.005401,0.008427,0.039937,0.067369,-0.030073,0.003157,-89.424706,0.055123
54,0.082105,0.004899,0.006243,0.001731,0.072540,-0.058605,0.002411,-89.411644,0.053170
55,0.044971,-0.008072,0.009810,0.023812,0.048023,-0.049304,0.002404,-89.391403,0.051526
57,0.058882,0.007726,0.011106,0.008273,0.083346,-0.062447,0.002010,-89.367912,0.049445
58,0.082318,-0.000794,-0.020638,0.044899,0.051096,-0.030881,0.002630,-89.407684,0.048415
59,0.055343,-0.000178,0.008112,-0.037747,0.034662,-0.029869,0.001029,-89.391968,0.047420
60,0.062802,0.021863,-0.006295,0.007767,0.040905,-0.006751,0.000966,-89.399330,0.047195
61,0.058614,-0.005720,-0.005807,-0.029385,0.002666,0.008229,-0.000010,-89.411316,0.047469
62,0.037153,0.002884,-0.009606,0.023235,0.054236,-0.058456,0.000573,-89.428764,0.045520
