seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
87,0.000017,0.009933,0.000040,0.045836,0.007702,0.000167,89.776970,-0.100378,-0.099988
88,0.012282,0.008514,-0.002853,0.162261,0.055882,0.318576,89.780434,-0.105686,-0.098908
89,0.005429,0.003711,0.007334,-0.150551,0.046520,0.124782,89.780632,-0.113069,-0.097173
90,0.002709,0.004141,0.006734,-0.171539,0.042387,0.027179,89.775261,-0.115596,-0.095681
92,0.004296,0.004608,0.001318,-0.005922,0.057141,0.068860,89.772293,-0.117190,-0.094016
93,0.003901,0.003158,-0.005513,0.229889,0.049060,0.071866,89.776024,-0.119528,-0.092236
94,0.005442,0.006176,0.004610,-0.072350,0.049495,0.124364,89.778648,-0.122792,-0.090581
95,0.004230,0.005650,-0.002310,0.100483,0.058387,0.085634,89.779114,-0.126285,-0.088770
96,0.005490,0.007222,0.001522,0.007680,0.053898,0.120491,89.780914,-0.129714,-0.086885
97,0.007328,0.005458,0.007116,-0.177523,0.049515,0.180751,89.778076,-0.134727,-0.085142
99,0.003627,0.006691,0.006514,-0.181733,0.045378,0.058314,89.772079,-0.138706,-0.083545
100,0.002385,0.010355,0.000122,0.020279,0.037460,0.010657,89.769394,-0.139850,-0.082160
101,0.003792,0.015283,0.001407,0.001673,0.029717,0.054040,89.769760,-0.140923,-0.081036
102,0.004268,0.016694,0.001062,-0.000510,0.038779,0.068048,89.769775,-0.142954,-0.079886
103,-0.002979,0.015268,0.000831,0.009717,0.045789,-0.166122,89.769920,-0.141313,-0.078483
104,-0.002023,0.017267,0.003552,-0.068947,0.061217,-0.150486,89.768936,-0.136029,-0.076721
106,-0.005050,0.012890,0.004355,-0.090654,0.057089,-0.243410,89.766266,-0.129457,-0.074776
107,-0.006231,0.007377,0.005090,-0.103547,0.068007,-0.287564,89.763031,-0.120598,-0.072727
108,-0.003855,0.013075,0.001916,0.003760,0.055280,-0.222876,89.761360,-0.112083,-0.070708
109,-0.000271,0.013970,0.005763,-0.107180,0.044311,-0.091335,89.759628,-0.106839,-0.069070
110,0.002260,0.013769,0.003566,-0.044068,0.033110,0.012849,89.757103,-0.105525,-0.067785
111,0.004392,0.011380,0.004234,-0.076654,0.031283,0.087066,89.755089,-0.107186,-0.066705
113,0.003497,0.015181,-0.000286,0.061432,0.031113,0.061758,89.754829,-0.109662,-0.065654
114,0.000323,0.007589,0.004224,-0.072293,0.031800,-0.026065,89.754654,-0.110252,-0.064603
115,-0.000029,0.011730,-0.000857,0.072851,0.040756,-0.055507,89.754654,-0.108888,-0.063400
116,-0.002899,0.007456,-0.002362,0.136760,0.045627,-0.167621,89.758148,-0.105163,-0.061976
117,-0.001196,0.010962,-0.001478,0.128155,0.057682,-0.110479,89.762558,-0.100521,-0.060273
