seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.124071,-0.035798,0.035646,-1.006286,-6.461257,-0.084688,180.000000,0.000000,0.000000
2,-0.076919,0.000335,-0.027962,-1.425915,-8.971404,-0.588244,179.954849,-0.284094,-0.019608
3,-0.015179,-0.019592,0.044243,-0.785027,-5.553331,-0.634022,179.946503,-0.351904,-0.040742
4,-0.050715,-0.033412,0.031586,-0.861323,-6.339183,-1.046021,179.938339,-0.422408,-0.075610
5,-0.015625,-0.020614,0.045900,-0.701101,-7.285256,-4.418317,179.919220,-0.631987,-0.222887
6,-0.236586,0.022187,-0.017051,-0.456953,-6.941924,-23.088015,179.908783,-0.820215,-0.992487
8,-0.256384,-0.013469,-0.005198,-0.189916,-2.669332,-1.793725,179.926834,-0.410277,-1.052278
9,-0.335916,-0.054144,-0.010732,0.153417,1.351481,-12.208166,179.935349,-0.262092,-1.459217
10,-1.462756,-0.372626,-0.077762,0.244973,1.916074,-29.237495,180.057068,0.243963,-2.433800
11,0.084383,-0.073201,0.052755,0.710380,8.927702,-78.585922,180.076706,0.514476,-5.053331
12,1.469021,0.475423,0.015866,-0.281471,-0.624592,-61.709190,179.921051,0.045197,-7.110305
13,-0.090527,0.006391,0.003316,-0.167027,-2.554888,-0.229651,179.936615,-0.029975,-7.117960
15,-0.101390,0.017595,0.010316,0.191566,0.458815,0.327312,179.957245,-0.011011,-7.107049
16,-0.119420,0.006586,0.004274,0.183936,2.633259,0.571460,179.972534,0.057573,-7.088001
17,0.035296,-0.006810,0.045892,0.382306,4.510148,0.769830,179.988953,0.155934,-7.062340
18,-0.022933,-0.009541,0.011437,0.397565,3.854000,0.647756,180.001648,0.213300,-7.040748
19,-0.026597,0.016389,-0.021087,0.321269,3.182592,0.464645,180.009277,0.239540,-7.025260
20,0.078003,-0.016655,0.055086,0.367047,3.022370,0.403608,180.016144,0.255214,-7.011806
22,-0.002188,-0.009143,0.007338,0.344158,2.709555,0.151830,180.020721,0.259150,-7.006745
23,0.044875,-0.023774,-0.002917,0.153417,1.771111,0.113682,180.019379,0.238640,-7.002956
24,0.037902,-0.020923,0.003056,0.000825,0.474074,0.098423,180.014557,0.190832,-6.999675
25,0.033319,-0.012256,-0.016698,-0.014434,0.558000,0.159460,180.010559,0.157074,-6.994360
26,0.139846,-0.010568,0.063422,-0.075471,-0.075259,0.434126,180.006027,0.115924,-6.979889
27,-0.162710,-0.025847,-0.038459,-1.311471,-9.719108,6.629384,179.964188,-0.197644,-6.758909
29,-0.490504,0.101337,-0.072885,-0.876582,-5.087924,52.857296,179.938217,-0.217594,-4.996999
30,0.024133,-0.001419,0.017401,-0.311990,0.672445,21.385084,179.931412,-0.185420,-4.284163
31,-0.088859,0.017572,0.018259,-0.067842,-0.067629,-0.168614,179.946869,-0.140756,-4.289783
32,-0.131909,0.022081,-0.002014,0.290751,0.046815,-0.405133,179.967422,0.117526,-4.303288
33,-0.104382,0.007288,-0.014222,0.367047,1.816889,-0.183874,179.984741,0.133567,-4.309417
34,-0.062867,0.004969,0.023625,0.351788,3.029999,-0.038911,179.997345,0.175925,-4.310714
36,-0.026382,0.016533,-0.019870,0.473862,3.800592,0.205237,180.009857,0.226959,-4.303873
37,0.023266,0.011527,0.015591,0.672232,5.311258,0.319682,180.024200,0.303001,-4.293217
38,0.098763,-0.021099,0.037836,0.580677,4.090518,0.067904,180.032669,0.329513,-4.290954
39,0.073352,-0.003420,0.000063,-0.014434,-0.052370,0.045015,180.024139,0.245826,-4.289453
40,0.021676,-0.004647,-0.000718,-0.212805,-1.379925,-0.008392,180.012787,0.149871,-4.289733
41,0.027174,-0.009041,0.027431,0.115269,0.855556,0.045015,180.012482,0.133792,-4.288232
43,-0.008861,-0.004405,0.008104,-0.044953,-0.250741,0.022126,180.008240,0.094076,-4.287495
44,-0.012717,0.006197,0.005033,-0.090731,-0.304148,-0.023651,180.003906,0.062953,-4.288283
45,0.012546,0.013381,0.005733,0.100010,0.664815,0.045015,180.005432,0.063835,-4.286782
46,0.022978,-0.015441,0.003698,-0.006805,0.069704,0.045015,180.003906,0.049619,-4.285282
47,0.041937,0.000128,0.000714,-0.014434,-0.059999,0.052645,180.002563,0.035714,-4.283527
48,0.002194,-0.000303,0.003440,0.038973,0.245185,0.037386,180.002899,0.032915,-4.282281
50,0.016380,0.005276,-0.007853,0.061862,0.290963,0.037386,180.003723,0.031961,-4.281035
51,0.014905,-0.015828,0.001887,-0.029694,-0.029481,0.022126,180.002045,0.023233,-4.280297
52,0.016274,0.002541,-0.001851,-0.014434,0.107852,0.037386,180.001160,0.020121,-4.279051
53,0.007744,0.003920,0.021354,0.016084,0.168889,0.067904,180.001266,0.019313,-4.276788
54,0.001103,-0.008497,0.004125,-0.029694,-0.105777,-0.000762,180.000214,0.011840,-4.276813
55,0.013828,-0.000806,0.014881,0.054232,0.199408,0.052645,180.001511,0.013866,-4.275058
57,0.010584,-0.009818,0.011365,0.023714,0.039186,-0.008392,180.001724,0.011379,-4.275338
58,0.018372,-0.003944,0.034038,0.046603,0.214667,0.045015,180.002457,0.013901,-4.273838
59,0.004914,-0.006714,-0.019731,-0.014434,-0.037111,-0.000762,180.001480,0.009498,-4.273863
60,-0.017929,0.002709,0.003900,-0.014434,0.046815,-0.008392,180.000748,0.008294,-4.274143
61,0.024808,0.007693,0.014880,0.031343,0.168889,0.037386,180.001343,0.010443,-4.272897
62,0.032787,-0.010099,0.022261,0.000825,-0.067629,0.037386,180.001038,0.006141,-4.271651
64,0.028186,0.017965,0.024359,0.008455,0.069704,0.029756,180.000977,0.006348,-4.270659
65,0.037095,0.002918,0.009045,0.000825,-0.052370,0.045015,180.000763,0.003452,-4.269158
66,0.035855,-0.008926,-0.001596,0.069492,0.146000,0.045015,180.002319,0.006239,-4.267658
67,0.005979,-0.001108,-0.007237,0.000825,0.001038,0.022126,180.001770,0.004705,-4.266920
68,0.040236,0.002500,0.015038,-0.006805,0.016297,0.029756,180.001160,0.003936,-4.265928
69,0.026300,-0.014641,-0.003993,0.016084,0.077333,0.014497,180.001266,0.004886,-4.265445
71,0.004082,0.003485,0.001654,-0.029694,0.130741,0.029756,180.000214,0.006933,-4.264453
72,0.018779,-0.003830,0.015547,0.023714,-0.021852,0.098423,180.000763,0.004653,-4.261173
73,0.022273,-0.014104,-0.000447,0.016084,0.062075,0.037386,180.000977,0.005042,-4.259927
74,0.007484,0.009017,0.010578,-0.022064,0.084963,0.060275,180.000183,0.005905,-4.257917
75,0.044026,-0.010714,0.012200,0.023714,-0.006592,0.090793,180.000732,0.004264,-4.254891
76,0.005826,-0.008367,0.011325,-0.022064,0.046815,0.022126,180.000000,0.004369,-4.254153
78,0.021830,-0.000532,0.011957,-0.037323,-0.021852,0.067904,179.999054,0.002730,-4.251890
79,0.018459,-0.027194,0.024713,0.023714,0.016297,0.052645,179.999878,0.002455,-4.250135
80,0.022750,0.001902,0.007168,-0.014434,0.008667,0.075534,179.999542,0.002058,-4.247617
81,-0.017848,0.006042,0.007454,-0.029694,0.016297,0.022126,179.998917,0.001951,-4.246880
82,0.012884,-0.011168,-0.005907,-0.037323,0.046815,0.006867,179.998245,0.002634,-4.246651
83,0.006330,-0.010023,-0.004171,-0.014434,0.001038,0.029756,179.998322,0.002001,-4.245659
85,-0.007814,-0.013505,0.027991,-0.037323,-0.014222,0.060275,179.997803,0.001145,-4.243649
86,0.015989,-0.015135,0.004294,0.008455,0.046815,0.045015,179.998566,0.002029,-4.242149
87,0.024884,-0.019846,0.003204,-0.022064,0.023926,0.052645,179.998383,0.002120,-4.240394
88,0.038073,0.001361,0.000113,0.016084,0.062075,0.045015,179.999191,0.003142,-4.238894
89,0.013196,0.005235,-0.004264,0.008455,0.016297,-0.016022,179.999603,0.002764,-4.239428
90,-0.003169,0.003282,0.001611,-0.006805,0.008667,0.029756,179.999527,0.002290,-4.238436
92,0.024133,-0.010929,0.017443,0.038973,-0.044740,0.037386,180.000610,0.000599,-4.237190
93,0.034487,-0.008593,-0.002201,0.016084,0.054445,0.052645,180.000854,0.001810,-4.235435
94,0.021929,-0.009679,0.020998,0.008455,-0.006592,0.060275,180.000854,0.001193,-4.233426
95,0.035720,0.015841,-0.013162,0.016084,0.077333,0.045015,180.001038,0.002828,-4.231925
96,0.029019,-0.007949,0.011479,-0.006805,0.023926,0.083163,180.000610,0.002719,-4.229153
97,0.028256,-0.018095,0.012764,0.008455,-0.067629,0.052645,180.000671,0.000349,-4.227398
99,0.011214,-0.001004,0.023828,-0.029694,0.031556,-0.023651,179.999756,0.001050,-4.228187
100,0.018128,-0.016449,0.018052,0.016084,-0.067629,0.029756,180.000214,-0.000903,-4.227195
101,0.018437,0.009430,0.014836,0.046603,-0.075259,0.060275,180.001328,-0.002559,-4.225185
102,0.016101,-0.014911,0.001917,0.100010,0.054445,0.006867,180.003494,-0.000558,-4.224957
103,0.015802,-0.004513,0.025095,0.023714,-0.128666,0.029756,180.003220,-0.003635,-4.223965
