seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.010430,-0.036695,0.098153,-0.739249,0.931852,1.433607,0.000000,6.060981,0.000000
2,0.102257,0.056642,-0.156878,-0.098360,-1.601184,1.471756,-0.002459,5.837718,0.049059
3,0.095338,-0.055467,0.056624,-0.426434,1.542222,0.899534,-0.012505,5.694403,0.079043
4,-0.111630,-0.025814,0.267660,0.008455,-2.554888,1.425978,-0.011612,5.634592,0.126576
5,0.162571,0.027468,-0.246038,0.565417,-9.391033,2.143163,0.006873,5.277588,0.198014
6,0.159203,-0.025546,-0.124065,-0.098360,-4.508072,2.295755,0.002696,4.834766,0.274540
7,0.087014,-0.100261,-0.099541,-0.334879,0.153630,1.815089,-0.006350,4.685129,0.335042
8,-0.055347,0.116824,-0.016375,-0.151768,1.832148,2.700126,0.217331,4.856193,0.425047
9,-0.109196,0.078335,0.000904,-0.235694,-1.273110,3.249459,0.157106,5.025036,0.533362
10,0.141790,-0.024742,-0.056274,-0.884212,-4.508072,3.257088,0.095724,4.606589,0.641932
11,0.227829,-0.051817,-0.078030,-1.036805,-1.898740,2.768792,0.045873,4.107654,0.734225
12,0.217981,0.054445,0.070840,-1.692953,1.221778,4.577014,-0.007919,3.718491,0.886792
13,-0.048847,-0.065296,-0.012383,-1.616656,1.496444,4.210792,-0.046356,3.864930,1.027152
14,-0.172792,-0.129317,-0.067092,-0.922360,0.458815,2.929014,-0.057826,4.227036,1.124785
15,-0.082991,-0.040566,-0.398635,-0.815545,2.991851,4.210792,-0.080760,4.362962,1.265145
16,-0.473631,-0.282154,-0.198136,-0.983397,9.881405,2.784051,-0.202570,4.844661,1.357947
17,-0.323578,-0.030282,-0.736844,0.542528,8.302073,2.585681,-0.175261,5.250350,1.444136
18,-0.215110,0.085948,-0.950709,-0.289101,17.694143,1.410719,-0.175653,5.946126,1.491160
19,-0.414456,0.254932,-1.770966,-2.875545,21.898067,5.484940,-0.177115,6.907802,1.673992
20,0.623581,0.010828,-1.742802,-6.270729,29.611622,6.446273,-0.366833,7.750637,1.888867
21,1.033041,-0.527149,-1.368292,-3.859766,35.875546,2.715385,-0.691861,8.650759,1.979380
22,0.438709,0.587274,1.929904,-1.250434,38.606953,1.685385,-0.575879,9.741020,2.035560
23,0.776339,0.414403,3.626172,-2.387249,3.182592,8.681753,-0.553567,9.537339,2.324951
24,-0.539857,-0.168624,5.139500,-5.164433,2.335703,11.825160,-0.746406,9.550601,2.719123
25,-0.824895,-0.209810,4.317311,-2.646656,4.517777,14.739677,-0.865787,9.718947,3.210446
26,-1.601045,-0.421355,0.130009,4.220009,38.820583,15.456862,-0.854738,11.461857,3.725675
27,-1.315614,0.172301,-1.633734,6.394453,91.281898,8.452865,-0.609510,15.093316,4.007437
28,0.149164,0.474818,-3.036601,6.081638,99.064117,0.540941,-0.182815,18.756414,4.025468
29,1.742513,0.391343,-3.304099,1.892972,85.513901,-4.525131,0.084917,21.398979,3.874631
30,2.695301,0.028996,-3.548512,3.220528,59.451092,-3.350169,0.182654,22.778936,3.762958
31,1.528364,-0.707045,-3.018264,4.647268,29.710808,-4.784538,-0.018624,23.673920,3.603474
32,0.428659,0.055877,-1.942230,4.143713,-13.243996,-4.631947,0.113525,23.377035,3.449075
33,-0.192488,0.835834,-0.592372,7.325267,-48.813316,-0.183874,0.654909,21.872112,3.442946
34,0.222237,1.234205,2.234751,11.719933,-70.717979,7.819606,1.353564,19.268547,3.703600
35,-0.716836,-0.029006,6.847530,-15.105837,-66.674278,-3.289132,0.807534,16.811068,3.593962
36,-2.377214,0.325977,0.714326,-5.706137,-35.522507,-21.211126,0.711600,16.182678,2.886925
37,1.939994,-0.431105,1.253302,-4.218359,8.401257,-24.621571,0.446666,15.836689,2.066206
38,-0.364195,-2.164320,0.434782,-3.211248,-17.775995,-21.600237,-0.308160,15.293281,1.346198
39,0.318858,-0.056703,-1.918663,-12.778801,-23.467695,-22.553940,-0.766907,14.577639,0.594400
40,0.242903,-0.015239,-1.267301,-7.872951,-3.348369,-26.094088,-1.043376,14.494997,-0.275403
41,-0.149608,-0.750224,0.354897,-6.263099,3.854000,-8.172093,-1.478159,14.636189,-0.547806
42,0.343119,-1.461765,0.518112,-6.820062,2.556962,2.097385,-2.134389,14.575674,-0.477893
44,0.666838,-0.349692,-0.822981,9.316600,6.310739,-4.105502,-1.954908,14.635648,-0.614743
45,0.218425,0.071274,-0.755814,16.831783,9.240517,-3.250984,-1.324156,14.938356,-0.723110
46,-1.687930,0.588329,0.755714,23.172003,12.109257,5.973236,-0.376460,15.727859,-0.524002
47,-2.643821,0.629568,0.862679,23.301706,3.503036,12.160864,0.582178,16.440529,-0.118640
48,0.061153,1.366889,-0.604529,24.339336,-2.402295,20.713676,1.861789,16.382624,0.571816
49,1.229669,-0.055460,-0.347431,17.571857,-7.575182,38.284706,2.434032,15.772685,1.847973
50,1.007407,-0.279817,0.550829,10.819637,-18.165106,32.562485,2.702779,14.835557,2.933389
51,1.010606,0.181527,0.881343,8.980896,-3.180517,6.385236,3.041173,14.383787,3.146231
52,-0.402523,0.172246,0.423831,7.203193,-1.189184,-8.965574,3.326011,14.426342,2.847378
53,0.300291,0.970858,-0.614365,2.747491,-27.114658,-5.570390,3.754607,13.464812,2.661699
54,0.198064,1.441136,-0.410698,-1.753989,-29.464582,-3.067873,4.169241,12.434636,2.559436
55,0.221888,0.676570,1.102304,-0.884212,-24.879177,-15.382092,4.305430,11.481119,2.046700
56,-0.550739,0.309835,0.210949,1.648824,-32.089176,-28.474531,4.449668,10.559284,1.097548
57,-0.245812,0.101143,0.479042,0.008455,-23.933104,-28.512680,4.468815,9.808065,0.147126
58,-0.543278,-1.003590,0.050269,6.630971,-11.039034,-24.758904,4.376948,9.601381,-0.678171
59,-0.242191,-0.586271,-0.893373,15.206673,-0.685629,-30.198826,4.707554,9.711505,-1.684799
60,-0.163015,-0.861894,-0.808073,12.971191,-8.795923,-43.497269,4.882930,9.518793,-3.134708
61,-0.680450,-0.806837,0.807950,13.055118,-16.669699,-49.906155,5.052196,9.118249,-4.798246
62,-0.167927,-0.331789,-0.249830,14.359784,-29.594286,-43.825340,5.432827,8.196554,-6.259091
63,0.077562,-0.221740,0.831481,11.658895,-17.188513,-32.319862,5.734501,7.571402,-7.336420
64,0.199441,-0.137419,1.007601,9.545489,-26.595842,-28.909420,5.984778,6.597569,-8.300068
65,-0.462846,0.291581,1.446378,6.783564,-19.736809,-20.982237,6.246484,6.021183,-8.999475
66,-0.539877,-0.379122,0.847424,6.569934,-11.214515,-15.900906,6.331288,5.776016,-9.529506
67,-0.236674,-0.803934,0.525577,6.913267,-1.242592,-17.205572,6.308862,5.789640,-10.103024
68,-0.604350,-0.580321,0.695055,4.319194,-0.388073,-10.102389,6.263560,5.929735,-10.439771
69,0.053282,-0.315550,-0.073535,2.739861,-5.278665,-7.569352,6.259439,5.740494,-10.692082
70,0.088358,-0.135098,-0.223396,2.411787,4.960295,-8.637501,6.305075,5.885767,-10.980000
71,-0.343894,-0.107549,-1.139840,-0.022064,12.887478,-7.630389,6.310788,6.478183,-11.234345
