seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.000020,-0.000063,0.000308,3.751907,-0.507035,0.643511,-11.659399,-3.692255,0.377108
2,-0.056486,-0.025160,0.012615,3.336092,-0.430739,0.754140,-11.542943,-3.702881,0.403124
3,-0.050974,-0.023090,0.033337,2.805833,-0.275603,0.824079,-11.442398,-3.709175,0.431304
4,-0.082123,-0.067851,0.048325,2.384296,-0.116017,0.828529,-11.357731,-3.710127,0.459653
5,-0.101526,-0.089782,0.053361,2.364840,-0.113347,0.739644,-11.280287,-3.708745,0.486085
6,-0.130510,-0.098538,0.057895,2.013877,-0.059939,0.652666,-11.208820,-3.707054,0.509457
7,-0.142802,-0.111081,0.072611,1.727004,-0.023317,0.667925,-11.147891,-3.704149,0.531364
8,-0.157716,-0.137625,0.076992,1.731581,-0.052310,0.657244,-11.091664,-3.701125,0.553324
9,-0.131569,-0.129604,0.085707,1.933003,-0.171332,0.594681,-11.031958,-3.700779,0.574562
10,-0.107128,-0.133433,0.064846,1.911640,-0.239998,0.962429,-10.969613,-3.702557,0.601401
11,-0.114093,-0.125324,0.085343,1.972677,-0.355969,2.054992,-10.908191,-3.702765,0.652770
12,-0.115250,-0.152196,0.108206,2.312959,-0.772547,4.124146,-10.843537,-3.701799,0.757673
13,-0.108112,-0.146194,0.003798,2.596781,-1.543139,7.475078,-10.774466,-3.703447,0.955213
14,-0.073629,-0.200974,-0.080405,1.713270,-2.448012,13.423135,-10.725587,-3.703815,1.310553
15,-0.090401,-0.197590,-0.166973,0.355196,-3.767938,21.916437,-10.729774,-3.695913,1.909773
16,-0.100843,-0.254479,-0.132411,-0.624447,-5.107701,32.144714,-10.793031,-3.672920,2.824416
17,-0.057571,-0.212690,-0.229406,0.152249,-6.348278,43.464027,-10.882076,-3.623450,4.100454
18,-0.109796,-0.172708,-0.213758,-1.251603,-7.024262,57.227875,-11.005886,-3.523755,5.793451
19,-0.207145,-0.119023,-0.130610,-2.217513,-7.730766,73.193626,-11.194408,-3.346457,7.977097
