seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.000673,-0.100315,0.014344,-0.044953,3.144444,0.510423,0.000000,2.594363,0.000000
2,0.033303,-0.108916,0.023668,0.038973,2.343333,0.952941,0.000974,2.605713,0.031765
3,-0.072183,-0.086822,0.000683,0.183936,3.396222,0.296793,0.005329,2.859104,0.041658
4,-0.001352,-0.147045,-0.127679,-0.037323,2.282296,0.754571,0.003064,2.950693,0.066810
5,-0.000327,-0.078113,0.029137,-0.022064,2.045777,0.594349,0.001746,3.016512,0.086622
6,0.023437,-0.083385,-0.007068,0.148388,-0.973091,1.534198,0.005019,2.939142,0.137762
8,-0.006143,-0.083919,0.127922,-0.027094,3.574168,0.916198,0.003087,3.056925,0.168302
9,0.079334,-0.048970,-0.048353,-0.594427,0.217393,1.343691,-0.012545,2.913896,0.213091
10,0.076716,-0.027875,-0.248200,-0.762279,3.742280,-0.311939,-0.036057,3.018591,0.202693
11,0.392371,-0.069843,-0.322643,-2.028797,9.258501,-2.333789,-0.098499,3.160847,0.124900
12,0.042615,0.210034,-0.004280,-1.441316,13.874426,-3.256974,-0.081832,3.610293,0.016335
13,0.180499,-0.118005,-0.138638,-2.303464,11.928871,-1.418234,-0.195642,3.954678,-0.030940
15,-0.769219,-0.941413,-0.487235,-2.707834,11.837315,-15.136304,-0.591695,4.604487,-0.535483
16,0.029869,-0.487271,-1.070723,-2.921463,14.881536,-20.431267,-0.863201,5.122524,-1.216526
17,-0.068330,-0.399559,-0.006026,-4.989093,24.456718,-19.248674,-1.152912,5.958278,-1.858148
18,0.520849,-0.757942,0.537657,-1.891464,17.178055,-18.485712,-1.433354,6.361114,-2.474339
19,0.940030,-0.235310,0.804691,0.328758,10.555536,-13.602750,-1.483612,6.377316,-2.927763
20,0.254083,-0.108837,0.695329,5.661867,15.232498,-3.379048,-1.321682,6.788694,-3.040398
22,-0.029477,-0.637444,-0.312584,12.292013,14.301685,-6.659788,-1.117370,7.285815,-3.262391
23,0.149455,1.525571,0.480693,16.076307,14.217758,2.053246,-0.133413,7.693716,-3.193950
24,-2.201788,0.721610,1.054283,14.733495,3.368428,7.371096,0.556634,8.344239,-2.948246
25,-0.369313,-0.951668,-0.798589,12.177569,-22.076378,1.770950,0.644737,7.763359,-2.889215
26,0.150712,0.351964,-0.265277,14.313866,-0.560829,10.392428,1.235760,7.708098,-2.542800
27,-0.721428,0.875198,-0.489043,16.595123,14.439018,20.631388,2.079046,8.434496,-1.855088
28,0.056598,0.750181,0.293794,13.726385,13.470055,25.315979,2.757392,8.850601,-1.011222
29,0.669159,0.001659,0.009571,12.414088,14.126204,18.670572,3.171546,9.116201,-0.388869
30,0.895777,-0.098750,0.614701,9.957348,18.177536,17.861832,3.463670,9.434059,0.206525
31,0.300684,0.244829,0.632031,6.852089,-8.426975,13.139094,3.751284,9.037605,0.644495
32,0.463336,1.037315,-0.671864,4.464016,-26.120081,5.944356,4.256925,8.041171,0.842640
33,-0.214519,0.711516,-0.282548,3.491165,-6.881433,7.350829,4.605343,7.886634,1.087668
34,-0.040002,-0.056591,1.464953,0.247803,-3.010360,2.313165,4.566914,7.744318,1.164773
35,-0.530224,-0.408358,0.049618,1.636395,-13.615543,-8.498017,4.494351,7.449357,0.881506
36,-0.668888,0.250077,-1.397065,1.254913,-2.506805,-3.660834,4.667162,7.662898,0.759478
37,-1.079577,-0.236784,-0.738813,0.003655,12.340450,-5.362240,4.607753,8.457543,0.580737
38,-0.467925,-0.058254,-0.555000,-2.018196,-1.934583,-9.077868,4.535802,8.569309,0.278141
39,0.442974,-0.054497,-0.367192,-2.735380,-0.187398,-5.942092,4.436244,8.439716,0.080072
40,0.312025,0.084622,-0.483972,-3.544122,12.088673,0.031906,4.357733,8.766125,0.081135
41,-0.426988,-0.086295,0.625780,-4.291826,17.757484,3.930646,4.176114,9.449889,0.212157
42,-0.567973,-0.330962,-0.053633,-3.498343,1.277490,7.043533,3.956930,9.667586,0.446941
43,-0.342758,-0.618318,-0.238213,-0.660123,3.345120,-1.280390,2.701617,10.536816,0.404262
44,-0.529758,-0.135926,-0.685726,0.667432,8.456968,-4.591648,2.688909,11.031346,0.251207
45,-0.216775,-0.439786,-0.239786,1.911062,0.911268,-6.430387,2.064458,11.581448,0.036860
46,0.467275,-0.034383,-0.434821,3.208098,-7.260062,-13.747201,2.165510,11.218270,-0.421380
47,0.744688,0.644937,-0.279082,3.383581,0.720528,-20.369717,2.489034,11.023185,-1.100370
48,0.168350,0.372213,0.386012,3.131803,5.916304,-25.496826,2.699721,11.148029,-1.950265
49,-0.446775,-0.460738,0.000847,1.369358,-2.705175,-23.024826,2.608098,11.191973,-2.717759
50,0.123220,0.004838,-0.097073,-0.690642,-0.156880,-24.443937,2.587994,11.154951,-3.532557
51,0.200200,0.538525,0.152458,-3.284714,6.030749,-16.440458,2.641758,11.285192,-4.080572
52,0.104791,-0.028221,-0.503968,-5.367603,3.863934,-8.513276,2.460668,11.413065,-4.364348
53,-0.625182,0.425365,0.355701,-7.458121,14.934523,-12.457793,2.336208,12.066205,-4.779608
54,-1.186816,0.410731,1.336257,-11.623897,5.138082,5.464201,2.048786,12.466332,-4.597468
55,0.640098,-0.494583,-0.206468,-12.119823,-20.367764,15.558198,1.487881,11.601379,-4.078861
56,0.277657,0.591228,-0.644659,-12.066415,-2.735693,16.359310,1.288646,11.460543,-3.533551
57,-0.146189,-0.581141,-0.200523,-11.135600,4.893934,17.580050,0.732076,11.680413,-2.947549
58,0.376455,-0.455342,-0.289404,-8.633082,-1.728583,11.987533,0.297589,11.523120,-2.547965
59,0.018779,0.015899,0.089418,-5.985603,0.194083,12.369014,0.093165,11.518537,-2.135664
60,0.306938,-0.249342,0.073372,-5.863529,4.039416,9.958052,-0.179830,11.556155,-1.803729
61,0.258969,-0.135054,0.464503,-4.803010,6.839489,7.554719,-0.379441,11.681435,-1.551905
62,0.056488,0.280125,-0.145284,-2.815433,-2.623869,7.624363,-0.384360,11.585665,-1.297760
63,0.307340,0.278034,-0.194019,-3.303729,-2.692535,9.806437,-0.405947,11.412894,-0.970878
64,0.475132,0.065469,0.018065,-4.310840,-1.838017,13.499178,-0.522160,11.206302,-0.520906
65,0.285819,-0.045197,-0.388539,-3.425803,1.137538,11.668067,-0.604535,11.178220,-0.131970
66,-0.220967,0.130357,-0.390563,-4.097211,9.400424,3.946884,-0.704054,11.585480,-0.000407
67,-0.245709,0.229002,0.056106,-4.181136,13.055017,-2.423854,-0.801254,12.090158,-0.081202
68,-0.090883,0.465895,0.017541,-3.006174,8.690869,-3.018965,-0.755050,12.405528,-0.181835
69,0.964191,0.093931,-0.121071,-3.105359,12.185239,-1.157336,-0.815634,12.521658,-0.220412
70,-0.430797,0.173880,0.571674,-3.708100,32.686047,-4.781410,-0.892275,13.692853,-0.379793
71,0.637823,0.559132,-0.286822,-4.036174,8.812943,-1.187855,-0.845787,13.809199,-0.419388
72,0.223456,-0.102962,0.093860,-2.212692,11.384128,-0.508818,-0.951360,14.115155,-0.436349
73,-1.618272,-0.373936,0.732888,1.533455,10.018423,-18.041700,-1.006691,14.825586,-1.037739
