seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.007687,-0.101221,0.146739,0.010792,3.097498,0.444908,0.000000,2.988085,0.000000
2,0.016497,-0.105561,0.151736,0.051203,2.659300,0.651621,0.000774,3.036977,0.018275
3,-0.010772,-0.099691,0.146091,0.110408,2.828419,0.499599,0.002601,3.133700,0.037462
4,-0.003907,-0.112149,0.111046,0.084634,2.617673,0.532678,0.004387,3.219902,0.054667
5,0.000813,-0.105754,0.121648,0.072074,2.432455,0.517389,0.005248,3.289029,0.072168
6,0.002296,-0.102364,0.117262,0.108085,1.549820,0.708528,0.006187,3.337795,0.092600
8,-0.010852,-0.097416,0.138310,0.092734,1.730727,0.688252,0.007150,3.397480,0.115880
9,0.017240,-0.090204,0.127981,-0.063800,1.054109,0.887073,0.005725,3.396203,0.142135
10,0.026655,-0.066887,0.102961,-0.204870,1.297020,0.670552,0.000934,3.372419,0.168096
11,0.083574,-0.067008,0.030023,-0.602149,2.701946,0.084798,-0.009388,3.273697,0.180685
12,0.083948,-0.007162,0.030056,-0.915733,5.631509,-0.874469,-0.032952,3.386349,0.167524
13,0.121627,-0.015016,-0.023768,-1.366550,7.283698,-1.337256,-0.067441,3.564625,0.130662
15,-0.051889,-0.194649,-0.109177,-1.784500,9.585990,-4.630199,-0.180701,3.864101,0.031204
16,-0.065101,-0.288320,-0.274116,-2.216337,11.813841,-8.654064,-0.339284,4.247539,-0.190200
17,-0.166267,-0.356827,-0.208684,-2.808396,14.853484,-12.037042,-0.536014,4.749048,-0.535052
18,-0.075225,-0.551228,-0.097518,-2.898425,15.514210,-15.082788,-0.803097,5.280468,-0.987049
19,0.074218,-0.573625,0.093523,-2.371980,15.239543,-17.519691,-1.065535,5.766903,-1.530424
20,0.273595,-0.402360,0.330201,-0.698040,15.918579,-15.168241,-1.234722,6.194087,-2.075223
22,0.261225,-0.424880,0.484870,2.344655,15.802609,-12.413945,-1.329001,6.629648,-2.534926
23,0.310282,-0.028631,0.580065,6.557735,13.754817,-8.153562,-1.185487,7.011927,-2.877718
24,-0.220740,0.281091,0.687111,9.882727,10.992892,-2.982200,-0.865905,7.461559,-3.063314
25,-0.459440,0.142270,0.369164,12.252489,4.466509,0.092540,-0.472136,7.838389,-3.111475
26,-0.469762,0.234925,0.175170,13.982888,1.307844,2.846835,0.036716,8.066575,-3.062485
27,-0.607853,0.537329,0.137095,14.843511,1.335310,8.305071,0.680968,8.284022,-2.876620
28,-0.626847,0.377883,0.099690,14.373526,1.185770,12.957618,1.283305,8.507322,-2.522242
29,-0.064075,0.229803,-0.117601,13.909644,3.337325,15.217513,1.828086,8.607364,-2.052657
30,0.159855,0.399417,0.160109,13.465600,11.388107,18.435690,2.404135,8.796466,-1.491770
31,0.190451,0.373979,0.342091,11.973245,9.814878,18.985023,2.934905,9.076729,-0.868091
32,0.446615,0.400599,0.305434,9.547023,1.703058,16.047617,3.408466,9.120826,-0.284214
33,0.402644,0.388087,0.189951,7.499558,-2.363683,12.455496,3.806573,8.979065,0.190838
34,0.264805,0.372154,0.485520,5.067560,-5.807847,9.200604,4.115361,8.743105,0.551773
35,-0.003655,0.306931,0.375925,3.404628,-12.183315,3.945225,4.339411,8.426922,0.770870
36,-0.200252,0.305791,-0.033739,2.286452,-11.016132,0.601831,4.529801,8.101252,0.846654
37,-0.533130,0.048692,-0.045967,1.395638,-3.340878,-1.642898,4.607453,8.025327,0.829303
38,-0.590655,-0.107682,-0.100013,0.295446,-2.371915,-4.912956,4.604455,8.114748,0.720039
39,-0.495462,-0.108609,-0.471317,-0.283718,-1.801986,-6.524681,4.581583,8.224086,0.529412
40,-0.343588,-0.012224,-0.583228,-1.302349,3.344194,-4.779369,4.566469,8.387689,0.341011
41,-0.312239,-0.081544,-0.175645,-2.394224,7.402389,-3.221746,4.483450,8.671450,0.207659
42,-0.206444,-0.101520,-0.036770,-3.055248,5.190691,-0.748371,4.361856,8.946184,0.141490
43,-0.205730,-0.246513,0.026404,-2.741683,6.229671,0.812361,4.188164,9.198099,0.142557
44,-0.422610,-0.293557,-0.038005,-2.036643,7.936246,1.044360,4.017547,9.564757,0.173502
45,-0.555683,-0.444458,0.011172,-0.935497,5.677157,-0.243701,3.829204,9.958662,0.186846
46,-0.304703,-0.339702,-0.196467,0.574597,0.650040,-3.774873,2.867390,10.731905,0.119870
47,-0.079011,-0.191339,-0.249070,1.939189,0.519482,-9.206019,2.851829,10.790977,-0.096478
48,0.006061,-0.005710,-0.127800,2.683206,1.032408,-14.006819,2.929132,10.822468,-0.483359
49,0.014258,-0.084221,0.010740,2.809223,-1.201331,-17.650967,2.994193,10.814962,-1.010988
50,0.083680,0.008009,0.038563,2.288882,-1.414961,-21.253677,3.081007,10.743918,-1.659399
51,0.024053,0.123875,0.155589,0.990320,1.243201,-21.792328,3.171067,10.724732,-2.376832
52,-0.102603,-0.011847,0.112478,-0.759917,1.871882,-19.421040,3.169324,10.800879,-3.063722
53,-0.262724,-0.002885,0.106949,-2.877902,3.675526,-16.813232,3.106007,10.965240,-3.667626
54,-0.413370,0.169321,0.375942,-5.476553,5.244177,-11.115428,3.011764,11.210939,-4.133104
55,-0.296673,0.066927,0.356577,-7.762389,1.202001,-3.115000,2.806044,11.383236,-4.370278
56,-0.272116,0.076548,0.196780,-9.518729,-0.551287,3.444953,2.538844,11.462084,-4.364779
57,-0.321022,-0.033580,0.259611,-10.672329,-0.345287,8.663618,2.189045,11.525423,-4.162970
58,-0.110218,-0.202999,0.130944,-10.907322,-3.677908,13.552684,1.737915,11.483430,-3.792698
59,0.134015,-0.278608,-0.121663,-9.779663,-4.666708,14.933646,1.323475,11.310934,-3.317926
60,0.054258,-0.225709,-0.067635,-8.528403,0.214727,13.813617,0.967424,11.224393,-2.838805
61,0.043265,-0.364269,0.156875,-7.075723,2.129764,12.052699,0.594534,11.241177,-2.407699
62,0.088266,-0.190932,0.167225,-5.413056,0.630910,10.060494,0.367068,11.251051,-2.039146
63,0.075596,-0.038598,0.185574,-4.328212,0.465034,9.557877,0.194478,11.235981,-1.712173
64,0.168073,-0.025635,0.170655,-3.974286,0.085529,9.717510,0.053298,11.185130,-1.390917
65,0.167256,0.021031,0.077513,-3.467767,-0.467932,9.993114,-0.067199,11.123962,-1.062406
66,0.073373,0.080361,-0.094884,-3.307635,0.071169,9.205149,-0.171116,11.100645,-0.742435
67,0.005739,0.073012,-0.055097,-3.560435,3.229153,7.130174,-0.271305,11.157210,-0.470180
68,-0.078053,0.115491,-0.013031,-3.500924,5.505834,4.565094,-0.369545,11.327103,-0.275259
69,0.014029,0.126208,-0.043165,-3.259828,8.310485,1.633790,-0.458113,11.555812,-0.171944
70,-0.143785,0.174447,0.148249,-3.316288,14.620187,-1.656105,-0.539329,11.971186,-0.172316
71,0.030770,0.260645,0.167531,-3.304080,14.502690,-2.683053,-0.568520,12.436501,-0.244635
