seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.001533,-0.007861,0.150592,-3.097498,0.010792,0.444908,-2.988240,-0.582442,0.000000
2,0.004970,0.016343,0.155597,-2.659300,0.051203,0.651621,-3.037272,-0.586949,0.018198
3,-0.000061,-0.010914,0.149942,-2.828419,0.110408,0.499599,-3.134106,-0.580215,0.037215
4,0.009928,-0.004042,0.114920,-2.617673,0.084634,0.532678,-3.220387,-0.592862,0.054218
5,0.003329,0.000683,0.125523,-2.432455,0.072074,0.517389,-3.289571,-0.593192,0.071546
6,0.000676,0.002175,0.121127,-1.549820,0.108085,0.708528,-3.338403,-0.587947,0.091771
8,-0.002381,-0.010965,0.142156,-1.730727,0.092734,0.688252,-3.398154,-0.575939,0.114813
9,-0.006459,0.017139,0.131800,-1.054109,-0.063800,0.887073,-3.396939,-0.559051,0.140995
10,-0.021918,0.026565,0.106712,-1.297020,-0.204870,0.670552,-3.373183,-0.517921,0.167182
11,-0.016601,0.083479,0.033744,-2.701946,-0.602149,0.084798,-3.274384,-0.497874,0.180581
12,-0.074948,0.086066,0.033929,-5.631509,-0.915733,-0.874469,-3.400040,-0.512645,0.169034
13,-0.066369,0.126779,-0.019655,-7.283698,-1.366550,-1.337256,-3.596164,-0.542841,0.134707
15,0.119459,-0.048611,-0.105071,-9.585990,-1.784500,-4.630199,-3.884846,-0.619666,0.039038
16,0.220410,-0.064601,-0.270082,-11.813841,-2.216337,-8.654064,-4.252272,-0.735252,-0.176990
17,0.296120,-0.171367,-0.204988,-14.853484,-2.808396,-12.037042,-4.721344,-0.889066,-0.514314
18,0.500700,-0.083450,-0.094070,-15.514210,-2.898425,-15.082788,-5.234982,-1.095215,-0.956712
19,0.531202,0.066817,0.097027,-15.239543,-2.371980,-17.519691,-5.726919,-1.308416,-1.489733
20,0.362204,0.272268,0.334375,-15.918579,-0.698040,-15.168241,-6.190437,-1.462613,-2.026795
22,0.387928,0.265946,0.489720,-15.802609,2.344655,-12.413945,-6.662096,-1.536520,-2.487074
23,-0.013517,0.322707,0.585941,-13.754817,6.557735,-8.153562,-7.089679,-1.423337,-2.845509
24,-0.326745,-0.212650,0.692351,-10.992892,9.882727,-2.982200,-7.513250,-1.125638,-3.064865
25,-0.188471,-0.461933,0.372693,-4.466509,12.252489,0.092540,-7.827036,-0.737828,-3.162663
26,-0.284975,-0.483339,0.176736,-1.307844,13.982888,2.846835,-7.989319,-0.256054,-3.175892
27,-0.595831,-0.635593,0.135962,-1.335310,14.843511,8.305071,-8.123259,0.332278,-3.061183
28,-0.436415,-0.669423,0.095668,-1.185770,14.373526,12.957618,-8.259902,0.927579,-2.781283
29,-0.281808,-0.108686,-0.122385,-3.337325,13.909644,15.217513,-8.349700,1.504137,-2.385509
30,-0.446443,0.118970,0.155396,-11.388107,13.465600,18.435690,-8.563658,2.101687,-1.897643
31,-0.413069,0.153319,0.337694,-9.814878,11.973245,18.985023,-8.869935,2.670460,-1.344105
32,-0.433410,0.418725,0.302489,-1.703058,9.547023,16.047617,-8.972850,3.174461,-0.822134
33,-0.417509,0.382420,0.188255,2.363683,7.499558,12.455496,-8.880106,3.588888,-0.397736
34,-0.400208,0.250004,0.484669,5.807847,5.067560,9.200604,-8.678937,3.904545,-0.074541
35,-0.336266,-0.018934,0.374882,12.183315,3.404628,3.945225,-8.361371,4.122088,0.119678
36,-0.341272,-0.220979,-0.036028,11.016132,2.286452,0.601831,-8.004184,4.278134,0.179937
37,-0.085395,-0.566851,-0.050173,3.340878,1.395638,-1.642898,-7.851914,4.348708,0.153539
38,0.072019,-0.637779,-0.106050,2.371915,0.295446,-4.912956,-7.862326,4.350820,0.041057
39,0.071470,-0.554136,-0.479154,1.801986,-0.283718,-6.524681,-7.903271,4.318283,-0.148160
40,-0.029095,-0.410105,-0.592649,-3.344194,-1.302349,-4.779369,-8.020414,4.276948,-0.331485
41,0.040428,-0.384353,-0.186141,-7.402389,-2.394224,-3.221746,-8.270752,4.192708,-0.455266
42,0.062935,-0.281495,-0.047787,-5.190691,-3.055248,-0.748371,-8.527452,4.084122,-0.508097
43,0.215847,-0.284178,0.015197,-6.229671,-2.741683,0.812361,-8.758289,3.956016,-0.493092
44,0.272705,-0.510543,-0.050488,-7.936246,-2.036643,1.044360,-9.067985,3.840851,-0.450658
45,0.436836,-0.655685,-0.002996,-5.677157,-0.935497,-0.243701,-9.389462,3.728086,-0.429960
46,0.369841,-0.378966,-0.205299,-0.650040,0.574597,-3.774873,-10.308545,2.994474,-0.495337
47,0.219347,-0.152734,-0.258002,-0.519482,1.939189,-9.206019,-10.370581,2.966163,-0.715986
48,0.021471,-0.062954,-0.136525,-1.032408,2.683206,-14.006819,-10.430120,2.970180,-1.110899
49,0.085936,-0.048092,0.002522,1.201331,2.809223,-17.650967,-10.462090,2.952000,-1.647331
50,-0.026176,0.030771,0.031111,1.414961,2.288882,-21.253677,-10.446885,2.921695,-2.302133
51,-0.166273,-0.020038,0.148488,-1.243201,0.990320,-21.792328,-10.479646,2.868638,-3.020284
52,-0.049704,-0.141861,0.105262,-1.871882,-0.759917,-19.421040,-10.583559,2.754097,-3.699970
53,-0.075091,-0.302127,0.098888,-3.675526,-2.877902,-16.813232,-10.745770,2.594159,-4.286949
54,-0.263191,-0.456311,0.366458,-5.244177,-5.476553,-11.115428,-10.968951,2.406209,-4.723855
55,-0.166944,-0.342258,0.346541,-1.202001,-7.762389,-3.115000,-11.123680,2.166852,-4.921123
56,-0.175616,-0.322305,0.186269,0.551287,-9.518729,3.444953,-11.173292,1.909790,-4.866842
57,-0.055413,-0.377743,0.248641,0.345287,-10.672329,8.663618,-11.195956,1.625388,-4.610373
58,0.137953,-0.169558,0.120738,3.677908,-10.907322,13.552684,-11.136849,1.323527,-4.183933
59,0.234750,0.076873,-0.130419,4.666708,-9.779663,14.933646,-10.976415,1.041910,-3.657304
60,0.200885,-0.002124,-0.075628,-0.214727,-8.528403,13.813617,-10.893715,0.804189,-3.133636
61,0.363158,-0.011006,0.149648,-2.129764,-7.075723,12.052699,-10.922516,0.576841,-2.665327
62,0.199900,0.037616,0.160762,-0.630910,-5.413056,10.060494,-10.953660,0.412536,-2.267439
63,0.058387,0.028515,0.179840,-0.465034,-4.328212,9.557877,-10.959715,0.306439,-1.918078
64,0.054929,0.126854,0.166080,-0.085529,-3.974286,9.717510,-10.943695,0.223453,-1.578291
65,0.017883,0.131396,0.073977,0.467932,-3.467767,9.993114,-10.914402,0.161402,-1.233726
66,-0.031751,0.039614,-0.098057,-0.071169,-3.307635,9.205149,-10.903574,0.116034,-0.899434
67,-0.017543,-0.027434,-0.058270,-3.229153,-3.560435,7.130174,-10.963592,0.057812,-0.611962
68,-0.055586,-0.112500,-0.016654,-5.505834,-3.500924,4.565094,-11.125837,-0.012470,-0.400197
69,-0.065368,-0.019444,-0.046826,-8.310485,-3.259828,1.633790,-11.360287,-0.093514,-0.279443
