seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6057,0.000102,-0.020672,-0.006070,0.033026,-0.108829,-0.101218,0.000000,0.962028,0.000000
6058,-0.002950,-0.047539,0.000233,-0.012752,-0.093568,-0.040180,-0.000319,0.964640,-0.001339
6059,-0.010492,-0.047330,-0.000346,-0.089048,-0.085939,-0.085958,-0.002465,0.982206,-0.004205
6060,-0.419198,0.138341,-0.076270,-0.264529,0.104802,0.036116,-0.008462,1.810745,-0.003001
6061,-0.267204,0.133689,-0.012832,0.849396,0.905912,-1.215143,0.280772,2.361494,-0.043506
6062,-0.162480,0.090436,-0.042759,0.513693,-0.169866,-0.833662,0.475595,2.676673,-0.071294
6063,-0.151130,0.089772,0.024899,-0.180604,-0.780235,0.234486,0.643558,2.940848,-0.063478
6064,-0.168263,0.046062,-0.000568,0.109322,-0.513198,0.303153,0.737028,3.250428,-0.053373
6065,-0.136706,0.045146,0.020732,1.238507,0.486283,-0.673440,0.865559,3.528884,-0.075821
6066,0.001476,0.027644,-0.045877,-0.111937,0.211616,-0.772625,0.917434,3.538536,-0.101575
6067,-0.061498,0.026897,-0.001364,-0.691788,-0.208014,-0.154625,0.946887,3.651158,-0.106729
6068,-0.070385,0.022901,-0.015945,0.422137,0.326061,-0.261440,0.720719,3.800924,-0.115444
6069,-0.083489,0.038741,-0.136693,-0.447640,-0.566607,0.028486,0.786171,3.964923,-0.114494
6070,-0.005322,0.035415,-0.056301,-0.523937,-0.215643,-0.589514,0.839828,3.975691,-0.134145
6071,-0.023988,0.038679,0.022361,0.513693,0.310802,-0.932847,0.642713,4.029399,-0.165240
6072,-0.000210,0.070659,0.005997,0.582359,0.211616,-0.726847,0.799752,4.035871,-0.189468
6073,0.001243,0.028710,0.026729,0.597618,1.432357,-0.459810,0.874752,4.077454,-0.204795
6074,-0.034785,0.030639,-0.066503,-0.058530,0.768579,-0.398773,0.654601,4.180495,-0.218087
6075,0.071603,0.034479,-0.009970,-0.256900,1.462874,-0.681069,0.713637,4.091325,-0.240790
6076,-0.033793,0.028066,0.091452,0.063545,0.631246,-0.734477,0.767657,4.164496,-0.265272
6077,-0.051660,0.035115,-0.016291,-0.508678,-0.604754,0.661745,0.819813,4.247026,-0.243214
6078,-0.013075,0.016348,-0.043080,-2.400825,-0.314828,1.035597,0.554839,4.268268,-0.208694
6079,-0.006816,0.072172,-0.071819,-1.119048,-0.635273,-0.604773,0.661084,4.270744,-0.228853
