seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6131,-0.001609,-0.007085,0.104283,0.082187,-0.127465,-0.261248,-3.886274,0.881624,-0.029912
6132,0.023466,-0.006882,0.132426,-1.087246,-0.300125,-4.602167,-3.904253,0.869007,-0.110306
6133,0.012136,-0.004444,0.149076,-2.887504,0.947715,-5.269971,-3.973001,0.868472,-0.275213
6134,0.016670,-0.013182,0.151340,-4.515759,1.441742,-5.087181,-4.099096,0.896029,-0.450221
6135,0.002901,0.001555,0.137660,-4.870437,1.697614,-3.931171,-4.257999,0.937239,-0.603958
6136,0.025299,0.017425,0.115410,-4.435225,0.577475,-2.320257,-4.414875,0.967154,-0.710729
6137,0.018909,0.007973,0.121454,-3.358583,0.305390,-1.158042,-4.545767,0.977279,-0.769691
6138,0.025589,0.003822,0.109623,-1.610907,-0.139732,-0.355383,-4.629025,0.978007,-0.795060
6139,0.015859,0.015808,0.087262,0.022924,0.029124,0.186894,-4.655536,0.975941,-0.797712
6140,0.016844,0.014335,0.092634,1.285623,-0.195510,0.381530,-4.633563,0.973943,-0.788043
6141,-0.001231,-0.003062,0.094884,2.243443,-0.004658,0.905445,-4.574377,0.972339,-0.766392
6142,0.004575,-0.004775,0.116108,3.331159,-0.620183,1.532763,-4.480768,0.965166,-0.725055
6143,0.005628,0.013682,0.116922,4.641478,-1.071303,2.339420,-4.346784,0.942026,-0.658528
6144,-0.002202,-0.001526,0.129061,4.896830,-1.349828,2.874151,-4.186366,0.908252,-0.568861
6145,-0.010415,-0.000965,0.097332,4.837490,-1.321384,2.859993,-4.022598,0.870691,-0.470337
6146,-0.014199,-0.014939,0.105605,3.508042,-1.076198,2.439088,-3.882151,0.836914,-0.379465
6147,-0.019246,-0.022321,0.099216,2.227344,-0.433651,2.089497,-3.785450,0.816857,-0.302466
6148,-0.014646,-0.036379,0.109851,0.680014,-0.050348,1.441265,-3.736149,0.812672,-0.243214
6149,-0.006851,-0.023967,0.103284,0.147133,0.457784,0.717582,-3.721856,0.821793,-0.207748
6150,-0.009343,-0.025009,0.115437,-0.391646,1.666780,-0.085851,-3.725809,0.857812,-0.199541
6151,0.026815,-0.072398,-0.011904,-1.503905,0.607677,-0.285449,-3.757531,0.895235,-0.208192
6152,0.050806,-0.082553,-0.053140,-2.110090,-2.783569,0.591988,-3.817649,0.859387,-0.200703
6153,0.036706,-0.059958,-0.024765,-1.118012,-5.149984,1.674800,-3.870804,0.729987,-0.154152
6154,0.012621,-0.021875,0.056675,1.428565,-6.078805,2.611330,-3.864688,0.548077,-0.070269
6155,-0.016829,-0.002570,0.113919,3.396731,-5.989429,3.466496,-3.783358,0.354129,0.044187
6156,-0.065654,0.083810,0.252053,4.041537,-4.687750,3.860395,-3.658747,0.184466,0.177565
6157,-0.087136,0.121936,0.292395,4.871270,-2.293331,2.868876,-3.509913,0.075351,0.296754
6158,-0.086399,0.090108,0.236513,7.768917,2.002833,1.564870,-3.299136,0.074887,0.370775
6159,-0.057558,0.022771,0.151470,5.022942,2.590262,0.818097,-3.085847,0.153492,0.406101
6160,-0.005971,-0.002351,0.111895,3.041093,0.637874,0.685695,-2.951371,0.208534,0.428272
6161,0.029396,-0.040743,0.093958,0.907583,-0.866462,0.331752,-2.885500,0.205596,0.445413
6162,0.039494,-0.058223,0.065404,0.232799,-0.889014,0.466008,-2.866447,0.177043,0.460168
6163,0.049493,-0.035893,0.064800,1.350993,-1.611892,1.201124,-2.839968,0.136797,0.489996
6164,0.035170,-0.037381,0.087215,1.144541,-1.590979,1.341154,-2.798288,0.085564,0.534939
6166,0.006323,-0.014593,0.075645,2.189879,-0.488798,1.523543,-2.742654,0.053250,0.584305
6167,-0.021243,0.018364,0.110557,3.508794,-0.084057,1.730930,-2.647624,0.046260,0.638928
6168,-0.055130,0.029352,0.154805,3.771235,0.715817,1.376795,-2.526242,0.059113,0.690192
6169,-0.061185,0.021582,0.171197,3.034961,1.419761,0.676606,-2.412758,0.096143,0.722843
6170,-0.045160,0.024732,0.136305,2.606212,1.402504,0.183556,-2.318709,0.143728,0.735218
