seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
2814,0.000938,0.000873,0.045187,-1.291277,-1.643850,-0.142341,1.114777,-1.197014,-0.011646
2815,-0.026306,-0.031199,0.072142,-0.787722,-1.559924,-0.100378,1.080235,-1.250323,-0.016714
2816,-0.008794,-0.016332,0.060850,-0.205327,-1.231850,-0.071131,1.063767,-1.296791,-0.020445
2817,-0.022139,0.000808,0.078046,0.145000,-0.550906,-0.117545,1.062847,-1.326440,-0.024143
2818,-0.058678,-0.064715,0.082253,0.277374,-0.458206,-0.095037,1.069976,-1.343190,-0.028000
2819,-0.105096,-0.129362,0.103135,0.875537,-0.134710,-0.082830,1.089265,-1.353014,-0.031152
2821,-0.122952,-0.249811,0.117046,1.113582,0.136905,-0.099615,1.122489,-1.352918,-0.034193
2822,-0.175611,-0.148006,0.110641,1.577463,0.231513,-0.091986,1.167412,-1.346716,-0.037264
2823,-0.204805,-0.169059,0.104593,0.610026,-0.066043,-0.026371,1.203915,-1.343917,-0.039180
2824,-0.200855,-0.162478,0.106159,0.336885,-0.052309,-0.040104,1.219724,-1.345866,-0.040329
2825,-0.200465,-0.169934,0.097898,-0.024759,-0.053835,-0.035526,1.224957,-1.347607,-0.041628
2826,-0.212774,-0.112123,0.088740,-0.232285,-0.032472,-0.021793,1.220696,-1.349025,-0.042614
2827,-0.200403,-0.281200,0.114851,-0.896061,-0.012635,-0.032474,1.201912,-1.349758,-0.043534
2828,-0.205346,-0.337420,0.119298,-0.186506,-0.018739,-0.059941,1.183906,-1.350249,-0.045085
2829,-0.213540,-0.345280,0.121087,-0.088848,-0.032472,-0.066045,1.179366,-1.351059,-0.047203
2830,-0.204768,-0.343769,0.120762,-0.058329,-0.043154,-0.064519,1.176965,-1.352274,-0.049405
2831,-0.207413,-0.334013,0.118166,-0.041544,-0.053836,-0.062993,1.175352,-1.353847,-0.051563
2832,-0.215828,-0.336969,0.116344,-0.044596,-0.066043,-0.066045,1.173968,-1.355800,-0.053755
2833,-0.207756,-0.335176,0.118546,-0.035440,-0.072147,-0.066045,1.172687,-1.358057,-0.056004
2834,-0.204539,-0.340771,0.115619,-0.029336,-0.064517,-0.069096,1.171662,-1.360289,-0.058303
2835,-0.206009,-0.339652,0.116685,-0.044596,-0.066043,-0.069096,1.170486,-1.362417,-0.060651
2836,-0.196865,-0.338703,0.113244,-0.032387,-0.064517,-0.078252,1.169262,-1.364542,-0.063151
2837,-0.188045,-0.335334,0.114373,-0.027811,-0.061465,-0.084356,1.168324,-1.366586,-0.065904
2838,-0.197897,-0.341399,0.107713,-0.011025,-0.055361,-0.091985,1.167748,-1.368473,-0.068883
2839,-0.195767,-0.346094,0.110306,0.002708,-0.052309,-0.082830,1.167680,-1.370208,-0.071834
2840,-0.193480,-0.348709,0.112533,-0.006448,-0.033998,-0.095037,1.167689,-1.371586,-0.074828
2841,-0.199483,-0.349820,0.118339,-0.000344,-0.033998,-0.081304,1.167647,-1.372659,-0.077790
2842,-0.205016,-0.348892,0.115351,-0.004922,-0.027895,-0.072149,1.167621,-1.373638,-0.080369
2843,-0.200085,-0.346194,0.117247,-0.007974,-0.030946,-0.070623,1.167464,-1.374570,-0.082769
2844,-0.207732,-0.335577,0.119018,-0.009500,-0.027895,-0.062993,1.167227,-1.375505,-0.085016
2845,-0.210443,-0.335056,0.118735,0.010338,-0.041628,-0.064519,1.167292,-1.376621,-0.087165
2846,-0.204591,-0.333233,0.118485,-0.000344,-0.044680,-0.069096,1.167513,-1.378014,-0.089421
2847,-0.208288,-0.336479,0.117113,0.007287,-0.058413,-0.069096,1.167685,-1.379684,-0.091760
2848,-0.211439,-0.339543,0.121657,-0.004922,-0.075199,-0.062993,1.167778,-1.381866,-0.094007
2849,-0.200979,-0.339031,0.118493,0.010337,-0.098087,-0.070623,1.167924,-1.384708,-0.096293
2850,-0.202822,-0.331213,0.123770,0.024072,-0.107243,-0.055363,1.168550,-1.388086,-0.098462
2851,-0.201256,-0.327787,0.128036,0.021019,-0.105717,-0.056889,1.169348,-1.391597,-0.100406
2852,-0.197212,-0.326253,0.129338,0.002707,-0.104191,-0.075200,1.169799,-1.395050,-0.102679
2853,-0.200899,-0.322034,0.127478,-0.001870,-0.087406,-0.091985,1.169883,-1.398185,-0.105531
2854,-0.206134,-0.318273,0.131969,-0.036965,-0.072146,-0.091985,1.169312,-1.400782,-0.108652
2855,-0.201267,-0.322654,0.130874,-0.072063,-0.061465,-0.095037,1.167572,-1.402944,-0.111814
2856,-0.219151,-0.326526,0.129720,-0.082744,-0.061465,-0.095037,1.165070,-1.404928,-0.115024
2857,-0.217408,-0.328383,0.128921,-0.075113,-0.061465,-0.098089,1.162519,-1.406911,-0.118285
2858,-0.210876,-0.329993,0.126882,-0.058329,-0.067569,-0.091985,1.160374,-1.408997,-0.121497
2859,-0.219728,-0.343125,0.127968,-0.047648,-0.075198,-0.098089,1.158687,-1.411312,-0.124713
2860,-0.223556,-0.335193,0.124640,-0.035440,-0.072147,-0.093511,1.157382,-1.413703,-0.127956
2861,-0.210419,-0.334490,0.118624,-0.017129,-0.059939,-0.098089,1.156586,-1.415839,-0.131194
2862,-0.217787,-0.334253,0.120790,0.008811,-0.035524,-0.098089,1.156529,-1.417364,-0.134497
2863,-0.221631,-0.332197,0.119638,0.013389,-0.008058,-0.084356,1.156975,-1.418029,-0.137552
2864,-0.211586,-0.324133,0.116428,0.030174,0.020935,-0.076726,1.157767,-1.417760,-0.140233
2865,-0.210950,-0.328897,0.112110,0.037804,0.028565,-0.084356,1.158966,-1.416881,-0.142901
2866,-0.216778,-0.340103,0.112992,0.013389,0.017883,-0.079778,1.159887,-1.416052,-0.145621
2867,-0.213170,-0.338140,0.112690,0.011864,-0.008057,-0.064519,1.160367,-1.415839,-0.148023
2868,-0.207466,-0.333898,0.110260,-0.000344,-0.044680,-0.058415,1.160610,-1.416677,-0.150090
2869,-0.211496,-0.328105,0.113319,-0.011025,-0.066043,-0.061467,1.160471,-1.418481,-0.152126
2870,-0.212063,-0.331414,0.112850,-0.017129,-0.070620,-0.064519,1.160055,-1.420716,-0.154272
2871,-0.204062,-0.330186,0.111924,0.004234,-0.067569,-0.072149,1.159897,-1.422972,-0.156597
2872,-0.211519,-0.328693,0.111800,-0.007974,-0.062991,-0.069097,1.159895,-1.425100,-0.158995
2873,-0.217516,-0.332690,0.117982,-0.004922,-0.056887,-0.082830,1.159744,-1.427047,-0.161568
2874,-0.213458,-0.332966,0.113369,-0.006448,-0.061465,-0.087408,1.159626,-1.428961,-0.164445
2876,-0.213909,-0.337792,0.115436,-0.015604,-0.072147,-0.085882,1.159332,-1.431129,-0.167379
2877,-0.214645,-0.324952,0.116855,-0.000344,-0.076724,-0.076726,1.159135,-1.433555,-0.170140
2878,-0.210264,-0.330912,0.115761,-0.006448,-0.064517,-0.087408,1.159091,-1.435853,-0.172923
2879,-0.206892,-0.332818,0.117649,0.005760,-0.059939,-0.082830,1.159152,-1.437870,-0.175803
2880,-0.211953,-0.333069,0.115041,-0.000344,-0.050784,-0.075200,1.159310,-1.439662,-0.178474
2881,-0.213563,-0.325089,0.117777,0.011864,-0.043154,-0.064519,1.159561,-1.441180,-0.180835
2882,-0.222502,-0.330832,0.120290,-0.012550,-0.041628,-0.073675,1.159608,-1.442546,-0.183167
2883,-0.219546,-0.320706,0.120811,-0.009500,-0.049258,-0.067571,1.159301,-1.444013,-0.185552
2884,-0.218725,-0.319914,0.120593,-0.020181,-0.041628,-0.069097,1.158864,-1.445481,-0.187861
2885,-0.222575,-0.325938,0.125008,-0.006448,-0.058413,-0.078252,1.158483,-1.447098,-0.190350
2886,-0.217020,-0.324642,0.123069,-0.009500,-0.059939,-0.085882,1.158288,-1.449015,-0.193126
2887,-0.214884,-0.326715,0.120115,0.007287,-0.059939,-0.069097,1.158317,-1.450961,-0.195750
2888,-0.218422,-0.336641,0.119126,0.017968,-0.059939,-0.066045,1.158796,-1.452913,-0.198043
2889,-0.218707,-0.339899,0.117098,0.014915,-0.069095,-0.073675,1.159404,-1.455016,-0.200415
2890,-0.215125,-0.338527,0.116574,0.014915,-0.059939,-0.072148,1.159964,-1.457117,-0.202890
2891,-0.222029,-0.345452,0.121302,0.010337,-0.062991,-0.073674,1.160448,-1.459116,-0.205362
2892,-0.221143,-0.341289,0.122891,0.007287,-0.062991,-0.073674,1.160806,-1.461165,-0.207860
2893,-0.223483,-0.338084,0.123820,-0.003396,-0.067569,-0.075200,1.160935,-1.463291,-0.210386
2894,-0.226933,-0.337677,0.120641,-0.007974,-0.066043,-0.066045,1.160807,-1.465469,-0.212786
2895,-0.230237,-0.332726,0.119501,0.001182,-0.067569,-0.062993,1.160750,-1.467652,-0.214982
2896,-0.227804,-0.334253,0.116553,0.011864,-0.070621,-0.067571,1.161024,-1.469911,-0.217205
2897,-0.231952,-0.336277,0.114212,0.010337,-0.062991,-0.082830,1.161460,-1.472086,-0.219757
2898,-0.229323,-0.343338,0.114534,0.033226,-0.059939,-0.084356,1.162259,-1.474078,-0.222585
2899,-0.224932,-0.346261,0.113915,0.037804,-0.059939,-0.084356,1.163516,-1.476019,-0.225438
2900,-0.226022,-0.347886,0.116570,0.039330,-0.067569,-0.091986,1.164878,-1.478084,-0.228420
2901,-0.225810,-0.349731,0.111176,0.022544,-0.064517,-0.084356,1.165987,-1.480225,-0.231405
