seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
0,0.000808,-0.119140,-0.034681,-0.684159,0.692283,0.028486,0.000000,1.363917,0.000000
1,-0.073946,-0.144375,-0.045895,-0.226381,0.699912,0.356560,-0.005660,1.534132,0.011885
2,-0.023248,-0.138596,0.010596,0.445026,1.104282,-0.642921,0.006881,1.615494,-0.009545
3,-0.028061,-0.125614,-0.014231,-0.455270,0.966949,-0.200403,-0.006221,1.703179,-0.016225
4,-0.019248,-0.118319,-0.056960,-1.073270,0.303172,0.615968,-0.031498,1.754320,0.004307
5,-0.013570,-0.120859,0.028037,0.414507,0.921172,0.097153,-0.013260,1.809587,0.007545
7,-0.049909,-0.142267,-0.022562,-0.386603,0.341320,0.203968,-0.019610,1.919674,0.014344
8,-0.006224,-0.117568,-0.004645,-0.600233,0.554950,-0.238551,-0.029714,1.950545,0.006392
9,-0.010446,-0.130423,0.034531,0.414507,1.081394,-0.452180,-0.011923,2.004439,-0.008680
10,-0.012322,-0.121179,-0.072177,0.193248,0.333691,0.028486,-0.243875,2.044669,-0.007731
11,0.007713,-0.066244,-0.048619,0.422137,-0.055420,-0.826032,-0.172353,2.031083,-0.035265
12,-0.003439,-0.109733,0.033022,0.406878,0.516802,-0.490329,-0.119093,2.052625,-0.051609
14,0.026536,-0.111620,-0.028056,0.567100,0.211616,-0.131736,-0.075142,2.009767,-0.056001
15,0.025819,-0.125118,0.085135,0.574730,0.165839,-0.475069,-0.041988,1.959814,-0.071836
16,-0.036161,-0.107992,-0.025997,-0.134826,-0.536088,-0.101218,-0.034862,2.014212,-0.075210
17,0.006512,-0.100055,-0.064314,0.063545,-0.581865,-0.528477,-0.024558,1.986394,-0.092826
18,0.012518,-0.104272,0.049547,0.322952,0.013246,-0.253810,-0.010345,1.959281,-0.101286
19,-0.026234,-0.108034,0.003733,0.605248,-0.116458,-0.406403,0.007373,2.006120,-0.114833
21,-0.001140,-0.103988,-0.008288,0.719693,-0.566607,-0.795514,0.023522,1.989979,-0.141350
22,0.014138,-0.107428,0.073941,0.132211,-0.223272,-0.131736,0.020947,1.950336,-0.145741
23,-0.031662,-0.089257,0.021418,-0.760455,-0.024902,0.203968,-0.003301,2.009478,-0.138943
24,-0.007919,-0.131045,-0.112785,0.246656,-0.429272,0.013227,0.003690,2.018516,-0.138502
25,0.005556,-0.117038,-0.043916,1.398729,-0.543717,-0.833662,0.037736,1.992477,-0.166290
26,-0.002991,-0.108374,0.029765,2.085396,-0.566607,-1.215143,0.080437,1.977368,-0.206795
27,0.003897,-0.107718,-0.061841,0.818878,-1.794976,-0.345366,0.080800,1.913923,-0.218307
28,-0.013803,-0.097018,0.006557,-0.249270,-1.230383,0.486264,0.054368,1.899299,-0.202099
29,0.017656,-0.097607,-0.031844,1.108803,-0.826014,-0.291958,0.068496,1.839270,-0.211830
30,0.029916,-0.042642,0.074491,1.589470,-0.398755,-0.558995,0.091109,1.763765,-0.230464
31,0.052595,-0.085763,0.022137,0.445026,-0.169866,0.753301,0.079457,1.654712,-0.205354
32,-0.060736,-0.072428,0.053180,0.422137,0.203987,0.661745,0.070146,1.775835,-0.183295
33,-0.013833,-0.093464,-0.053004,0.208508,0.142950,-0.055440,0.057822,1.810918,-0.185143
