seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
0,0.001012,-0.002155,0.087984,-0.696166,-0.697776,0.017881,-1.385828,-0.650726,0.007870
1,0.010794,-0.049746,0.082454,-0.699980,-0.468887,0.181918,-1.409141,-0.670083,0.011674
2,0.010715,-0.050451,0.099497,-0.836042,-0.168788,-0.096563,-1.434761,-0.680673,0.013360
3,0.007700,-0.053034,0.101726,-0.869740,-0.243813,-0.125174,-1.463149,-0.687640,0.009840
4,0.004129,-0.052817,0.094438,-0.757203,-0.412428,0.020933,-1.490247,-0.698619,0.008385
5,0.003209,-0.066422,0.106923,-0.802980,-0.192695,0.034666,-1.516264,-0.708677,0.009575
7,0.002079,-0.070394,0.111415,-0.731261,-0.224739,0.004148,-1.541845,-0.715614,0.010408
8,-0.002748,-0.074528,0.108134,-0.621396,-0.433791,0.085022,-1.564412,-0.726545,0.012191
9,-0.003556,-0.077693,0.117814,-0.644284,-0.259835,0.034667,-1.585536,-0.738046,0.014503
10,0.003519,-0.082489,0.114594,-0.650387,-0.006532,-0.082830,-1.607105,-0.742506,0.013824
11,-0.002029,-0.082589,0.098927,-0.455070,-0.005006,-0.267467,-1.625454,-0.742863,0.007994
12,-0.004757,-0.075247,0.110017,-0.490167,0.153690,-0.406326,-1.641062,-0.740706,-0.003303
14,-0.002916,-0.068164,0.105247,-0.421499,0.387157,-0.384963,-1.656083,-0.732075,-0.016746
15,-0.000707,-0.057629,0.115496,-0.238389,0.419202,-0.389541,-1.666913,-0.719015,-0.030040
16,-0.008360,-0.060524,0.124844,-0.064433,0.353587,-0.415482,-1.671789,-0.706532,-0.043827
17,-0.004908,-0.059192,0.121718,0.040856,0.281868,-0.355971,-1.672021,-0.696320,-0.056989
18,-0.008217,-0.053403,0.125076,0.141568,0.265083,-0.308667,-1.668843,-0.687531,-0.068328
19,-0.010279,-0.064802,0.131497,0.207182,0.272713,-0.363600,-1.662894,-0.678897,-0.079789
21,-0.015185,-0.072732,0.112530,0.353671,0.301705,-0.427689,-1.653388,-0.669709,-0.093250
22,-0.015396,-0.062511,0.132636,0.291108,0.355113,-0.433793,-1.642472,-0.659180,-0.107917
