seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
32,0.001240,-0.003825,0.113708,-0.063462,0.200901,-0.213564,-1.926758,-0.624050,0.020993,0.999844,-0.016812,-0.005448,0.000092
33,-0.044057,0.024646,0.136836,0.205692,0.741231,0.091128,-1.920727,-0.602516,0.018387,0.999846,-0.016760,-0.005260,0.000072
34,-0.043265,0.029232,0.133970,-0.076525,0.465157,0.280345,-1.910744,-0.570278,0.023821,0.999849,-0.016672,-0.004979,0.000125
35,-0.033250,0.020559,0.143349,-0.348066,0.157027,0.551962,-1.910659,-0.548826,0.037266,0.999850,-0.016671,-0.004794,0.000245
36,-0.035795,-0.002100,0.121658,-0.456376,0.147965,0.365802,-1.921150,-0.533882,0.052352,0.999849,-0.016762,-0.004666,0.000379
37,-0.033060,0.016568,0.105411,-0.373955,0.033611,0.320027,-1.932896,-0.521365,0.063652,0.999847,-0.016864,-0.004558,0.000479
38,-0.037976,0.014454,0.121960,-0.318978,-0.089897,0.526030,-1.940316,-0.512590,0.077737,0.999847,-0.016928,-0.004484,0.000603
39,-0.031015,-0.000161,0.123983,-0.204498,0.014087,0.417696,-1.945593,-0.491239,0.093466,0.999846,-0.016974,-0.004300,0.000743
40,-0.024825,0.002220,0.089940,0.024432,0.159375,0.114048,-1.944527,-0.455552,0.102188,0.999848,-0.016965,-0.003990,0.000824
41,-0.027310,0.014788,0.107085,0.018454,0.263459,0.088117,-1.931239,-0.416302,0.105221,0.999851,-0.016849,-0.003648,0.000857
42,-0.018987,0.000388,0.133897,-0.057709,0.269858,0.234615,-1.918569,-0.377679,0.110202,0.999854,-0.016739,-0.003311,0.000906
43,-0.007579,0.000228,0.130476,-0.115635,0.242582,0.193421,-1.915659,-0.349794,0.117008,0.999855,-0.016713,-0.003069,0.000970
44,-0.010372,0.012907,0.132079,-0.109418,0.064182,0.226995,-1.908059,-0.331205,0.123771,0.999857,-0.016647,-0.002908,0.001032
45,-0.013886,0.008331,0.129370,-0.104679,-0.222543,0.376540,-1.895648,-0.318538,0.133820,0.999859,-0.016539,-0.002799,0.001122
46,-0.008746,-0.010235,0.130820,-0.092428,-0.492504,0.518455,-1.894683,-0.317222,0.149099,0.999859,-0.016530,-0.002789,0.001255
47,-0.007767,-0.012999,0.103716,-0.075726,-0.582455,0.407065,-1.905862,-0.326720,0.165155,0.999857,-0.016627,-0.002875,0.001394
48,-0.008832,-0.006535,0.104033,-0.037656,-0.574758,0.283468,-1.915637,-0.338834,0.177343,0.999855,-0.016712,-0.002982,0.001498
49,-0.012183,-0.014404,0.109505,-0.013323,-0.502949,0.153768,-1.924739,-0.347538,0.185275,0.999853,-0.016791,-0.003060,0.001566
50,-0.008152,-0.008283,0.110254,-0.086658,-0.391464,0.161401,-1.935444,-0.353000,0.191079,0.999851,-0.016884,-0.003108,0.001615
51,0.001317,-0.012780,0.108012,-0.088268,-0.293777,0.185817,-1.946814,-0.361428,0.197300,0.999849,-0.016983,-0.003183,0.001668
52,-0.003547,-0.000203,0.115568,-0.077628,-0.296826,0.176662,-1.953729,-0.370780,0.203699,0.999848,-0.017043,-0.003265,0.001722
53,-0.007995,0.006256,0.108377,-0.263730,-0.244893,0.211760,-1.953425,-0.374409,0.210437,0.999848,-0.017040,-0.003298,0.001780
54,0.000876,0.007829,0.117467,-0.455893,-0.072426,0.333835,-1.955112,-0.375652,0.219638,0.999847,-0.017054,-0.003310,0.001860
55,0.006377,-0.003213,0.116951,-0.423798,-0.075511,0.333833,-1.964711,-0.381033,0.230811,0.999846,-0.017138,-0.003359,0.001957
56,0.005337,0.000834,0.100757,-0.258989,-0.057260,0.243801,-1.975385,-0.388959,0.240505,0.999844,-0.017230,-0.003430,0.002040
57,0.008121,0.011732,0.089450,-0.002548,0.139514,0.094258,-1.971097,-0.394372,0.246030,0.999844,-0.017193,-0.003478,0.002087
58,0.003891,0.000318,0.107122,0.505696,0.067739,0.097306,-1.951708,-0.396586,0.249026,0.999847,-0.017023,-0.003497,0.002114
59,-0.011185,0.000859,0.128453,0.820123,-0.109225,0.059159,-1.921068,-0.392775,0.251597,0.999851,-0.016756,-0.003464,0.002138
60,-0.013422,0.014655,0.143379,0.744006,-0.188436,0.030170,-1.877021,-0.383930,0.253134,0.999858,-0.016372,-0.003386,0.002154
61,-0.010626,0.027266,0.150902,0.570379,-0.499590,0.106469,-1.822243,-0.381940,0.255570,0.999866,-0.015894,-0.003368,0.002177
62,-0.018742,0.021013,0.159666,0.148062,-0.668819,0.109523,-1.773904,-0.386431,0.259549,0.999872,-0.015472,-0.003407,0.002213
63,-0.015892,0.023483,0.140770,-0.584064,-0.313106,-0.047645,-1.749344,-0.385478,0.260882,0.999875,-0.015258,-0.003398,0.002225
64,0.005527,0.025636,0.120363,-1.156099,-0.134496,0.219393,-1.759680,-0.385250,0.263847,0.999874,-0.015348,-0.003397,0.002251
65,0.014829,0.017187,0.120298,-1.255234,-0.131468,0.568829,-1.794862,-0.391654,0.277082,0.999869,-0.015654,-0.003455,0.002364
66,0.015162,-0.001999,0.128559,-1.278110,0.086703,0.568828,-1.836032,-0.395412,0.296052,0.999863,-0.016013,-0.003492,0.002528
67,0.007110,-0.036014,0.128296,-1.290372,0.060736,0.579509,-1.884399,-0.394863,0.315142,0.999855,-0.016434,-0.003491,0.002693
68,0.004833,-0.033942,0.121119,-1.046318,-0.636626,0.841968,-1.932935,-0.405092,0.339207,0.999847,-0.016857,-0.003585,0.002900
69,-0.004097,-0.037356,0.110267,-0.735123,-1.353819,0.954887,-1.972310,-0.438009,0.370333,0.999840,-0.017198,-0.003877,0.003165
70,-0.007424,-0.054798,0.098878,-0.748976,-1.478945,0.899955,-2.009112,-0.484175,0.402954,0.999831,-0.017517,-0.004286,0.003442
71,-0.003140,-0.039283,0.089510,-0.829971,-1.427068,0.814504,-2.047800,-0.532048,0.433323,0.999823,-0.017852,-0.004710,0.003698
