seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
0,-0.002129,-0.112387,0.087353,-0.698763,0.694165,0.025278,0.000000,1.385894,0.000000
1,-0.037944,-0.122991,0.082081,-0.465924,0.686476,0.183523,-0.014559,1.478020,0.003480
2,-0.029833,-0.123988,0.099343,-0.169299,0.806866,-0.089702,-0.018860,1.555159,0.005044
3,-0.025255,-0.122092,0.101770,-0.242156,0.825267,-0.114098,-0.019289,1.625406,0.001647
4,-0.019734,-0.119847,0.094626,-0.402397,0.702132,0.030414,-0.022525,1.683501,0.000252
5,-0.026188,-0.120374,0.107322,-0.176675,0.723390,0.042700,-0.024131,1.751312,0.001471
7,-0.023963,-0.120653,0.112010,-0.201877,0.630307,0.011783,-0.022830,1.813115,0.002379
8,-0.022495,-0.117393,0.108906,-0.397457,0.503379,0.089619,-0.024613,1.868425,0.004069
9,-0.020847,-0.118293,0.118740,-0.216174,0.509014,0.037976,-0.026131,1.917689,0.006196
10,-0.020900,-0.126864,0.115693,0.035912,0.498231,-0.076913,-0.021853,1.966978,0.005547
11,-0.017337,-0.122465,0.100172,0.036211,0.292982,-0.252975,-0.015490,2.006745,0.000048
12,-0.009203,-0.120511,0.111312,0.188517,0.317322,-0.378989,-0.008807,2.026992,-0.010484
14,-0.003276,-0.122527,0.106537,0.408149,0.240504,-0.345901,0.000851,2.035255,-0.022566
15,0.003675,-0.124247,0.116699,0.425763,0.055511,-0.338989,0.011061,2.025136,-0.033981
16,-0.001272,-0.115640,0.126007,0.348341,-0.114561,-0.352966,0.017973,2.018021,-0.045513
17,-0.001759,-0.117892,0.122840,0.267554,-0.212643,-0.283835,0.021177,2.007628,-0.056127
18,0.001248,-0.113265,0.126116,0.242547,-0.303081,-0.228776,0.022259,1.988184,-0.064670
19,-0.009433,-0.109809,0.132572,0.241975,-0.356609,-0.274409,0.022751,1.986436,-0.073056
21,-0.014634,-0.103435,0.113710,0.262084,-0.486604,-0.327400,0.023363,1.992890,-0.083087
22,-0.004988,-0.101636,0.133807,0.305149,-0.410139,-0.322570,0.024611,1.978616,-0.093919
23,-0.012903,-0.098645,0.151142,0.135748,-0.288953,-0.170309,0.023971,1.981639,-0.102134
24,-0.016616,-0.103019,0.118425,0.116538,-0.365082,-0.113069,0.021130,1.994725,-0.106857
25,-0.010033,-0.103692,0.108775,0.266211,-0.435763,-0.192012,0.020632,1.993368,-0.111942
26,-0.010371,-0.103427,0.116455,0.521670,-0.421477,-0.266892,0.025321,1.991207,-0.119590
27,-0.011519,-0.102820,0.089051,0.637399,-0.711695,-0.299467,0.033481,1.988541,-0.129029
28,-0.007408,-0.103859,0.086026,0.715387,-0.921555,-0.235041,0.042020,1.969873,-0.137938
29,-0.002123,-0.096529,0.102270,0.858711,-0.968090,-0.286372,0.051192,1.935785,-0.146628
30,0.002775,-0.081334,0.126025,0.867457,-0.908310,-0.223851,0.059972,1.891167,-0.155132
31,0.014005,-0.077252,0.124338,0.521699,-0.801785,0.164270,0.062342,1.828105,-0.156125
32,0.000647,-0.069930,0.147571,0.427849,-0.388814,0.353703,0.058625,1.798126,-0.147492
33,0.000664,-0.068578,0.135523,0.502377,-0.110405,0.237319,0.055597,1.780433,-0.137642
34,0.004343,-0.063017,0.132690,0.218769,0.166256,0.412550,0.050713,1.765159,-0.126811
35,-0.003073,-0.067475,0.142141,-0.086535,0.423516,0.661735,0.039688,1.772432,-0.108906
36,-0.019651,-0.060291,0.120661,-0.092553,0.514420,0.459981,0.027529,1.818472,-0.090210
37,-0.001080,-0.059081,0.104425,-0.200212,0.417857,0.400624,0.016988,1.829653,-0.075867
