seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
0,0.001000,-0.002129,0.087985,-0.694165,-0.698763,0.025278,-1.385984,-0.650799,0.000000
1,0.008357,-0.037938,0.082781,-0.686476,-0.465924,0.183523,-1.478156,-0.684324,0.003949
2,0.006538,-0.029828,0.100084,-0.806866,-0.169299,-0.089702,-1.555309,-0.705081,0.005769
3,0.002971,-0.025256,0.102533,-0.825267,-0.242156,-0.114098,-1.625525,-0.715268,0.002544
4,-0.000123,-0.019738,0.095407,-0.702132,-0.402397,0.030414,-1.683615,-0.723469,0.001421
5,-0.000384,-0.026189,0.108117,-0.723390,-0.176675,0.042700,-1.751450,-0.729670,0.002887
7,-0.000695,-0.023962,0.112810,-0.630307,-0.201877,0.011783,-1.813267,-0.731821,0.003960
8,-0.003674,-0.022492,0.109705,-0.503379,-0.397457,0.089619,-1.868594,-0.731959,0.005916
9,-0.002818,-0.020841,0.119544,-0.509014,-0.216174,0.037976,-1.917879,-0.733731,0.008316
10,0.003763,-0.020898,0.116512,-0.498231,0.035912,-0.076913,-1.967159,-0.741082,0.007749
11,-0.000842,-0.017344,0.100981,-0.292982,0.036211,-0.252975,-2.006871,-0.735931,0.002219
12,-0.002176,-0.009225,0.112098,-0.317322,0.188517,-0.378989,-2.027023,-0.725624,-0.008415
14,0.000193,-0.003313,0.107297,-0.240504,0.408149,-0.345901,-2.035199,-0.713906,-0.020771
15,0.002218,0.003629,0.117434,-0.055511,0.425763,-0.338989,-2.025018,-0.701925,-0.032574
16,-0.003717,-0.001325,0.126695,0.114561,0.348341,-0.352966,-2.017854,-0.679405,-0.044467
17,0.000114,-0.001815,0.123502,0.212643,0.267554,-0.283835,-2.007436,-0.666976,-0.055368
18,-0.002123,0.001193,0.126749,0.303081,0.242547,-0.228776,-1.987990,-0.651927,-0.064149
19,-0.002894,-0.009487,0.133174,0.356609,0.241975,-0.274409,-1.986244,-0.635745,-0.072760
21,-0.005708,-0.014689,0.114271,0.486604,0.262084,-0.327400,-1.992686,-0.614340,-0.083021
22,-0.004297,-0.005044,0.134331,0.410139,0.305149,-0.322570,-1.978394,-0.594334,-0.094113
23,-0.004117,-0.012956,0.151636,0.288953,0.135748,-0.170309,-1.981429,-0.576447,-0.102527
24,0.001375,-0.016662,0.118914,0.365082,0.116538,-0.113069,-1.994557,-0.572756,-0.107363
25,0.002672,-0.010074,0.109257,0.435763,0.266211,-0.192012,-1.993228,-0.569605,-0.112619
26,0.003147,-0.010411,0.116921,0.421477,0.521670,-0.266892,-1.991067,-0.560597,-0.120617
27,0.003514,-0.011561,0.089494,0.711695,0.637399,-0.299467,-1.988387,-0.546746,-0.130567
28,0.005384,-0.007451,0.086447,0.921555,0.715387,-0.235041,-1.969711,-0.533358,-0.140065
29,0.000918,-0.002165,0.102649,0.968090,0.858711,-0.286372,-1.935615,-0.507455,-0.149432
30,-0.007955,0.002734,0.126337,0.908310,0.867457,-0.223851,-1.890986,-0.461742,-0.158663
31,-0.006159,0.013973,0.124601,0.801785,0.521699,0.164270,-1.827964,-0.425023,-0.160232
32,-0.007345,0.000631,0.147795,0.388814,0.427849,0.353703,-1.798075,-0.392892,-0.151987
33,-0.003904,0.000661,0.135721,0.110405,0.502377,0.237319,-1.780453,-0.367912,-0.142509
34,-0.004706,0.004350,0.132864,-0.166256,0.218769,0.412550,-1.765233,-0.344984,-0.131965
35,0.001800,-0.003053,0.142315,-0.423516,-0.086535,0.661735,-1.772580,-0.344042,-0.114116
36,-0.002616,-0.019621,0.120833,-0.514420,-0.092553,0.459981,-1.818675,-0.340029,-0.095355
37,-0.001938,-0.001047,0.104598,-0.417857,-0.200212,0.400624,-1.829879,-0.339529,-0.080899
38,-0.007146,-0.002635,0.121169,-0.351025,-0.313196,0.586736,-1.840374,-0.332458,-0.064240
39,-0.003745,-0.013399,0.123346,-0.228825,-0.202567,0.462712,-1.868165,-0.331909,-0.046544
40,-0.003137,-0.008380,0.089437,0.000062,-0.055715,0.153838,-1.882532,-0.328835,-0.036165
41,-0.009137,0.004014,0.106612,-0.005844,0.046472,0.123705,-1.868230,-0.310124,-0.031537
42,-0.005180,-0.007082,0.133569,-0.079447,0.050852,0.261336,-1.874889,-0.297009,-0.025161
43,0.001454,-0.005673,0.130229,-0.132927,0.022619,0.212919,-1.881152,-0.297021,-0.017290
44,-0.003480,0.005743,0.131805,-0.122666,-0.150803,0.238408,-1.866172,-0.290938,-0.009716
45,-0.007925,0.001955,0.129128,-0.114216,-0.423328,0.375231,-1.858369,-0.283707,0.000747
46,-0.004386,-0.012973,0.130706,-0.098665,-0.670684,0.500188,-1.878676,-0.291746,0.015789
47,-0.004156,-0.013737,0.103672,-0.079195,-0.735775,0.376049,-1.901546,-0.305622,0.030976
48,-0.005267,-0.007325,0.103985,-0.039702,-0.704274,0.244173,-1.911011,-0.318005,0.041912
49,-0.008004,-0.013395,0.109514,-0.014786,-0.611818,0.110716,-1.930633,-0.323123,0.048377
50,-0.004461,-0.007557,0.110257,-0.085144,-0.484019,0.114466,-1.939682,-0.331430,0.052589
51,0.003195,-0.011080,0.108058,-0.083829,-0.373693,0.134328,-1.956749,-0.350455,0.057095
52,-0.001436,-0.000404,0.115547,-0.070749,-0.364394,0.121068,-1.952551,-0.358449,0.061661
53,-0.005200,0.004373,0.108294,-0.248489,-0.302267,0.151045,-1.942413,-0.358081,0.066475
54,0.002221,0.004727,0.117352,-0.426306,-0.125581,0.264165,-1.936978,-0.367799,0.073575
55,0.006195,-0.005234,0.116884,-0.381337,-0.124416,0.255505,-1.952896,-0.382092,0.082340
56,0.004612,-0.001847,0.100669,-0.209438,-0.102626,0.160050,-1.959711,-0.393197,0.089361
57,0.006400,0.006959,0.089299,0.045380,0.091130,0.010165,-1.943196,-0.404430,0.092202
58,0.002341,-0.002996,0.107020,0.535367,0.018775,0.012784,-1.932337,-0.405637,0.092537
59,-0.010147,-0.001871,0.128354,0.821851,-0.153045,-0.024533,-1.905107,-0.386709,0.092399
60,-0.011049,0.010195,0.143219,0.721112,-0.224775,-0.051771,-1.850944,-0.370065,0.091289
61,-0.007830,0.020387,0.150667,0.529219,-0.518489,0.023721,-1.782030,-0.365607,0.091133
62,-0.013723,0.014326,0.159429,0.103045,-0.665316,0.025896,-1.734809,-0.357103,0.092450
63,-0.010171,0.015859,0.140503,-0.608765,-0.299619,-0.126971,-1.704767,-0.352048,0.091162
64,0.007732,0.015097,0.120031,-1.142270,-0.117116,0.135474,-1.698074,-0.372368,0.091474
65,0.013396,0.004616,0.119923,-1.200755,-0.110325,0.469014,-1.721381,-0.400024,0.101641
66,0.011094,-0.012121,0.128268,-1.183528,0.104345,0.453638,-1.776867,-0.419182,0.117016
67,0.002899,-0.036958,0.128295,-1.156535,0.075834,0.449097,-1.878890,-0.419471,0.131979
68,0.000962,-0.029135,0.121309,-0.882475,-0.601139,0.688228,-1.961041,-0.427707,0.151168
69,-0.005458,-0.027425,0.110624,-0.552461,-1.275104,0.774882,-2.030375,-0.445960,0.176410
