seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
1,0.157972,0.026167,-0.036461,2.910051,-1.548945,1.223130,-35.665813,74.140541,0.000000,0.000000,0.000000,0.000000
2,0.174014,0.036684,-0.006873,3.017319,-1.095544,0.214227,-35.381451,74.052612,0.023956,0.005589,0.001443,-0.001235
3,0.138122,0.087502,-0.014440,2.898398,-1.021027,-0.135528,-34.821632,74.058395,0.025268,0.009523,0.003755,-0.001761
4,0.163400,0.057613,-0.047585,2.527486,-1.268112,-0.250060,-34.582367,74.068199,0.018841,0.012323,0.005941,-0.002953
5,0.197103,0.051844,-0.044029,2.229247,-1.293972,-0.063984,-34.372932,74.043076,0.013607,0.015577,0.006912,-0.004440
6,0.176510,0.052057,-0.044166,1.784237,-1.224984,-0.138633,-34.173603,74.030106,0.010230,0.018270,0.007517,-0.005505
7,0.203246,0.058732,-0.062357,1.241648,-1.077084,-0.321527,-34.022377,74.042259,0.002561,0.020373,0.008076,-0.006657
8,0.228951,0.072762,-0.062465,0.818684,-0.748069,-0.138306,-33.958603,74.019951,-0.005103,0.023021,0.008907,-0.007911
9,0.236826,0.098523,-0.041890,0.408110,-0.093335,0.096469,-33.870686,74.012352,-0.005800,0.025833,0.010379,-0.008510
10,0.251306,0.148517,-0.074796,-0.115931,0.842494,0.001800,-33.769073,74.046623,-0.004163,0.028550,0.016242,-0.009240
11,0.341352,0.155062,-0.229058,-0.448635,1.971979,0.237885,-33.776550,74.148941,-0.000168,0.040751,0.023519,-0.016874
12,0.511958,0.225177,-0.415444,-0.174282,4.296924,1.420665,-33.848476,74.356598,0.027475,0.059468,0.032713,-0.033025
13,0.707135,0.505977,-0.664860,0.238051,8.635227,4.342023,-33.758770,74.781097,0.123519,0.087330,0.050679,-0.060070
14,0.872480,0.677005,-0.784593,0.974133,14.681981,9.807981,-33.462376,75.435501,0.359353,0.124204,0.079941,-0.096344
15,1.000044,0.652443,-0.888962,2.305269,22.566835,18.571341,-33.263905,76.348099,0.832342,0.168402,0.112865,-0.138221
16,1.179618,0.532903,-0.780451,3.712173,31.481293,29.023930,-33.112511,77.486198,1.625596,0.220278,0.142186,-0.179994
17,1.128308,0.648149,-0.555263,6.110928,40.290462,39.038578,-32.256229,78.877495,2.759971,0.275361,0.171400,-0.213424
18,0.922181,0.417838,-0.365306,8.257905,44.924698,46.982548,-31.569496,80.419830,4.193657,0.324007,0.197737,-0.236476
19,0.563121,0.435096,-0.244234,10.986259,48.533512,53.603539,-30.444958,82.081017,5.870092,0.358524,0.218748,-0.251752
20,0.301718,0.493848,-0.196168,13.203429,48.680000,58.974796,-28.539705,83.793633,7.746397,0.377530,0.241659,-0.262800
21,-0.165782,0.771376,-0.004006,15.425177,45.829571,61.698570,-25.093618,85.359901,9.757620,0.378313,0.272977,-0.215884
22,-0.597683,0.796922,0.137941,16.803087,40.839794,65.194466,-21.232651,86.719810,11.872504,0.356610,0.311872,-0.171337
23,-0.732515,0.672834,0.371270,18.864613,37.082966,66.071877,-17.704933,87.870171,14.060277,0.320740,0.348304,-0.158644
24,-0.648492,0.767436,0.418479,20.569073,30.819040,62.482895,-13.733495,88.792633,16.202856,0.283599,0.383998,-0.138938
25,-0.796663,1.214237,0.527475,22.719101,22.667547,55.498737,-9.268665,89.335503,18.169216,0.244855,0.433227,-0.115327
26,-0.661298,1.433434,0.310967,24.161100,14.377193,47.801968,-4.321761,89.553207,19.890894,0.205790,0.499106,-0.094404
27,-0.569610,1.455453,0.089058,24.794359,6.680425,36.848877,-7.901933,90.310165,21.301741,0.172402,0.571016,-0.068061
28,-0.637291,2.028466,0.026803,23.663649,-1.898328,25.975130,-11.059929,90.928970,22.348808,0.139614,0.657802,-0.052553
29,-0.455086,2.331895,-0.040210,20.314241,-10.036089,17.484882,-13.994145,91.352371,23.073141,0.109689,0.766498,-0.042659
30,-0.272105,1.784646,-0.117742,16.648970,-15.070117,11.404068,-16.674431,91.417458,23.554625,0.088894,0.869099,-0.037597
31,-0.132417,1.210781,-0.355759,11.917074,-20.519196,2.575063,-18.727617,91.180557,23.787611,0.076165,0.943672,-0.049472
32,0.525488,1.247882,-0.269405,3.635876,-29.187979,-9.040281,-21.208759,90.748611,23.679857,0.083376,1.004827,-0.065139
33,0.674789,1.650530,-0.222018,-4.050210,-35.964615,-14.879998,-24.221912,90.201805,23.281185,0.110768,1.076974,-0.077462
34,0.665505,1.272427,-0.109440,-8.702757,-39.848095,-12.020413,-27.679367,89.372124,22.832846,0.141659,1.149736,-0.069145
35,1.227724,1.921383,0.064951,-11.481467,-41.152760,-13.283880,-31.511320,88.721222,22.411108,0.186375,1.229269,-0.056659
36,1.657945,2.420493,0.677065,-12.546563,-40.693455,-10.613510,-35.916588,88.319160,22.012817,0.255901,1.337503,-0.038146
37,1.735077,2.691620,0.874808,-8.597467,-37.383724,-5.809896,-40.173237,88.099686,21.739094,0.338111,1.464993,0.000613
38,2.270202,2.257850,0.748351,-3.178906,-32.949383,-4.898919,-44.179806,87.911156,21.560614,0.435627,1.588418,0.041154
39,2.553332,2.452911,0.708968,2.450233,-27.297356,-14.402383,-47.643623,87.973999,21.238926,0.553600,1.705874,0.077550
40,2.554552,1.965773,0.401585,7.449164,-21.894054,-26.176424,-50.604847,87.997383,20.562613,0.678682,1.816029,0.105276
41,3.121432,1.774383,0.179651,12.557962,-14.430753,-42.892937,-52.934063,88.183228,19.411457,0.817966,1.909220,0.119769
42,3.331123,1.322238,-0.157325,15.187132,-4.005630,-57.439587,-54.336620,88.468155,17.739248,0.976664,1.986323,0.120290
43,2.870473,1.346301,-0.449540,14.941459,10.615788,-66.022919,-54.810322,89.173836,15.681540,1.129088,2.052724,0.105080
44,1.832001,0.952393,-0.934872,9.113949,28.656805,-65.504105,-53.982697,90.331383,13.489422,1.244035,2.109879,0.070432
45,0.657632,0.357086,-0.707195,-1.793366,48.582340,-54.345009,-52.879696,91.877571,11.491937,1.303660,2.142304,0.029343
46,-0.959544,-0.133344,-0.524659,-16.033302,69.893417,-38.458599,-51.653175,93.930923,9.945210,1.293497,1.730982,-0.001491
47,-2.150063,-0.249188,-0.333330,-30.213728,88.814896,-18.052397,-51.360504,96.536293,9.003360,1.213141,1.721106,-0.022979
48,-2.436952,-1.404775,0.095115,-41.076790,102.726753,-0.783498,-49.390110,99.471680,8.689428,1.095850,1.679445,-0.023351
49,-2.121794,-1.900379,0.709208,-46.141338,109.013565,8.782529,-47.073086,102.550308,8.822745,0.979266,1.596503,-0.003281
50,-1.550424,-1.826797,0.788136,-46.370228,110.302971,14.642082,-46.184196,105.667908,9.213156,0.884845,1.503011,0.034115
51,-1.022282,-2.109568,0.561329,-40.522881,106.846756,20.236126,-45.250793,108.782120,9.794459,0.817912,1.404290,0.067814
52,-0.780824,-2.537061,0.333274,-31.541283,101.525848,22.203043,-44.129269,111.791542,10.501779,0.770218,1.287812,0.090141
53,-0.824455,-2.473701,-0.071727,-23.778900,95.606789,21.638451,-43.103752,114.701523,11.232471,0.727471,1.162230,0.077895
54,-0.636498,-2.639137,-0.504805,-16.103495,92.133781,22.090124,-41.867752,117.574654,11.961280,0.688331,1.034097,0.063444
55,-0.538073,-2.699316,-0.654472,-5.724151,85.956833,20.675592,-40.451904,120.331573,12.674042,0.656352,0.900323,0.034424
56,-0.411402,-2.389147,-0.884383,0.315462,76.229057,20.693903,-39.061333,122.913528,13.363533,0.629999,0.772799,-0.004085
57,-0.386697,-2.465464,-0.851602,2.837817,63.806499,21.784939,-37.577957,125.123474,14.071514,0.607431,0.651121,-0.047522
58,-0.179191,-2.263345,-0.757406,5.836261,47.965866,22.419724,-36.182579,126.892693,14.808258,0.590668,0.532588,-0.087785
59,-0.020824,-2.076622,-0.606892,7.018853,32.244255,25.306776,-34.868340,128.148956,15.603700,0.469948,0.423777,-0.121930
60,-0.009029,-2.106240,-0.604731,4.528543,17.763222,28.672968,-33.581329,128.913055,16.503363,0.376075,0.318893,-0.152258
61,-0.159195,-2.106324,-0.759110,3.321536,6.575137,30.560537,-32.350483,129.268402,17.490587,0.369254,0.213266,-0.186392
62,-0.246060,-1.737193,-0.753847,3.426825,-0.111469,30.507130,-31.318354,129.335999,18.508381,0.356507,0.116866,-0.224254
63,-0.322716,-1.645410,-0.688777,2.008701,-2.051041,24.980370,-30.359385,129.243256,19.433172,0.339672,0.031988,-0.260357
64,-0.508477,-1.407083,-0.253873,3.770606,-4.143207,8.668368,-29.561745,128.969849,19.993984,0.316276,-0.044637,-0.283961
65,-0.388355,-1.087377,0.179356,9.301547,-5.431210,-5.649248,-28.867697,128.586990,20.044302,0.291240,-0.107311,-0.285861
66,-0.500560,-0.861117,0.646673,14.278577,-10.978070,-17.768005,-28.205322,127.981781,19.654015,0.266402,-0.156335,-0.265248
67,-0.654423,-0.774329,0.803880,13.891978,-23.663212,-30.088184,-27.539717,127.020523,18.856411,0.234912,-0.197534,-0.229022
68,-0.970396,-0.632702,0.665715,14.540497,-35.139698,-35.573887,-26.902103,125.661446,17.762043,0.191676,-0.233022,-0.192320
69,-0.939612,-0.568525,-0.056452,16.977400,-38.220539,-28.652288,-26.074375,124.246078,16.691607,0.141310,-0.263365,-0.142766
70,-1.104231,-0.553135,-0.668631,13.978956,-32.144302,-21.604040,-25.146807,123.005684,15.854001,0.087598,-0.291719,-0.160931
71,-0.917458,-0.637643,-1.110511,10.917950,-20.710545,-16.399109,-24.213787,122.185623,15.220615,0.034440,-0.321801,-0.205447
72,-0.392451,-0.856485,-1.182124,13.562378,-3.244802,-10.533451,-23.178967,121.939552,14.771739,-0.000923,-0.359467,-0.262801
73,0.212820,-0.934216,-1.412175,13.815682,11.776408,-5.436860,-22.056126,122.391396,14.505568,-0.006472,-0.404547,-0.327696
74,0.489959,-1.010868,-0.913729,9.678898,18.588139,-1.208521,-21.019621,123.142296,14.394812,0.008482,-0.453487,-0.385881
75,0.505829,-1.104393,-0.843873,6.346277,14.899977,1.554931,-20.084217,123.932365,14.400585,0.030761,-0.506681,-0.429859
76,0.619860,-1.110598,-0.755548,3.274217,11.204321,3.469886,-19.272879,124.604088,14.484332,0.056288,-0.562368,-0.469882
77,0.770830,-1.092486,-0.641977,0.189950,7.134813,5.139168,-18.591251,125.153496,14.627816,0.088440,-0.617757,-0.504858
78,0.756640,-1.072929,-0.342582,-0.820493,1.782124,6.695775,-18.012165,125.472733,14.825066,0.124011,-0.672205,-0.529509
79,0.707105,-0.955549,-0.534804,-1.978563,-4.456108,5.186558,-17.520182,125.642517,15.023105,0.157989,-0.723230,-0.551482
80,0.647776,-0.888785,-0.554656,-2.314283,-7.542366,1.961090,-17.086525,125.653595,15.142232,0.189246,-0.769650,-0.578756
81,0.262297,-0.934486,-0.467507,-1.683722,-8.648108,-1.903660,-16.630367,125.498741,15.143189,0.168765,-0.815545,-0.604348
82,-0.194455,-0.937348,-0.333122,-0.491619,-6.511258,-7.395046,-16.148342,125.247902,14.988211,0.167845,-0.862653,-0.624401
83,-0.403563,-1.085649,0.085400,0.494392,-2.030710,-14.083002,-15.567870,124.967720,14.630243,0.150279,-0.913540,-0.508298
84,-0.675230,-1.299971,0.622372,0.794875,0.990034,-21.857176,-14.769063,124.633156,14.031240,0.120694,-0.973493,-0.490641
85,-0.710860,-1.433611,0.974770,0.326416,2.056657,-25.984804,-14.012856,124.272095,13.233874,0.083426,-1.042145,-0.450750
86,-0.620411,-1.632940,1.250580,-0.897376,1.722479,-25.969545,-13.041540,123.870384,12.367969,0.047529,-1.119122,-0.395154
87,-0.584086,-1.617601,1.304545,-3.001627,0.619235,-22.411087,-12.104727,123.442780,11.561625,0.014801,-1.200698,-0.331314
88,-0.411343,-1.658146,1.381986,-5.232531,-1.889386,-15.790096,-11.170104,122.966415,10.924938,-0.012701,-1.282904,-0.264188
89,-0.296179,-1.650245,1.189430,-7.106367,-2.832408,-6.298840,-10.305537,122.510941,10.556789,-0.033004,-1.365926,-0.199940
90,-0.089227,-1.615860,1.217316,-8.337790,-2.144216,1.101898,-9.488436,122.077789,10.470174,-0.036476,-1.447891,-0.139809
91,0.055311,-1.460484,1.237864,-9.024456,-2.626408,6.879052,-8.792958,121.660027,10.603189,-0.032192,-1.525112,-0.078468
92,0.207337,-1.450108,0.990321,-10.344382,-4.423948,10.806785,-8.151493,121.302734,10.897953,-0.022763,-1.598189,-0.022801
93,0.003488,-1.209628,0.640270,-11.598693,-4.321712,14.243168,-7.745645,120.979095,11.315453,-0.016207,-1.664995,0.017926
94,-0.224762,-0.831750,0.280334,-12.459315,-4.744393,18.534071,-7.637866,120.708061,11.861740,-0.024354,-1.716342,0.040904
95,-0.415251,-0.462769,-0.027757,-13.207019,-5.896467,22.419077,-7.784193,120.464767,12.544292,-0.042970,-1.749018,0.038028
96,-0.535925,-0.080302,-0.189298,-13.747196,-5.695045,24.880394,-8.170730,120.237556,13.332617,-0.069365,-1.420927,0.032564
97,-0.577562,0.476341,-0.107866,-13.290944,-4.787119,26.330023,-8.889623,120.029381,14.186124,-0.099818,-1.411338,0.020229
98,-0.516788,1.073509,0.027485,-12.473048,-5.156393,25.364113,-9.945107,119.856689,15.047693,-0.129792,-1.372904,0.014655
99,-0.202011,1.318568,0.146583,-11.309566,-5.432526,20.060303,-11.124816,119.723633,15.804767,-0.150378,-1.313415,0.018969
100,-0.051025,1.500886,0.218112,-9.166911,-3.436719,13.851889,-12.358467,119.655464,16.369970,-0.128413,-1.243241,0.028048
101,0.205895,1.779186,0.211986,-5.844141,-2.043112,6.925246,-13.624798,119.731689,16.716255,-0.102490,-1.161552,0.038763
102,0.346491,1.469403,0.154224,-2.002555,-0.240557,0.296158,-18.766380,120.905708,16.836613,-0.091296,-1.080649,0.047881
103,0.409357,1.219393,0.244118,2.670660,1.925169,-5.139656,-19.450987,121.085358,16.755888,-0.075016,-1.013742,0.057801
104,0.453461,1.159075,0.342132,7.448439,2.912820,-8.633274,-19.973465,121.298042,16.526339,-0.056061,-0.954593,0.072420
105,0.470261,1.096242,0.361980,11.211946,1.395065,-10.888110,-20.325039,121.493423,16.200983,-0.035583,-0.898522,0.089985
106,0.355409,0.823314,0.317425,13.186494,0.946443,-11.048332,-20.431879,121.608871,15.835376,-0.017557,-0.850846,0.106933
107,0.218238,0.443200,0.286440,14.399605,0.909820,-10.007651,-20.279623,121.652069,15.484443,-0.004700,-0.819495,0.121992
108,0.135649,0.163779,0.066230,15.032864,1.477465,-9.220274,-19.892410,121.713104,15.163978,0.001234,-0.804633,0.105403
110,0.053654,-0.273315,-0.065896,16.155945,4.597982,-10.671429,-19.208754,121.817825,14.832449,0.002701,-0.807684,0.084932
111,-0.021508,-0.790238,-0.020041,17.556746,10.318677,-11.997458,-18.191380,122.018166,14.454634,0.000717,-0.834586,0.066695
112,-0.118976,-1.189518,0.172007,19.332922,13.253032,-13.535591,-16.894684,122.289749,14.029083,-0.005411,-0.884392,0.070456
113,-0.168885,-1.532661,0.149300,20.048582,13.317121,-14.538124,-15.426409,122.616623,13.561188,-0.015223,-0.952759,0.078451
114,-0.087443,-1.845958,0.326968,19.703722,12.204721,-14.139857,-13.681790,122.910889,13.083221,-0.019543,-1.037537,0.090320
115,-0.078771,-1.951055,0.403580,17.442301,8.754603,-11.307739,-11.915156,123.129860,12.659095,-0.021209,-1.132775,0.108546
116,-0.234926,-1.822910,0.327585,14.227176,4.622397,-8.657207,-10.326569,123.225822,12.326345,-0.031667,-1.227436,0.126788
117,-0.130100,-1.715061,0.161922,9.986629,4.140205,-6.592630,-8.944318,123.310661,12.072182,-0.043409,-1.316198,0.138988
118,-0.157416,-1.730522,0.506580,6.403755,5.240397,-4.396823,-7.645618,123.323402,11.889024,-0.053212,-1.402650,0.155662
119,-0.244511,-1.619007,0.470986,3.374794,5.830930,-3.157772,-6.527286,123.362823,11.763114,-0.065876,-1.486701,0.180064
120,-0.260257,-1.505708,0.607463,0.998928,7.584218,-2.425327,-5.548953,123.404556,11.670062,-0.081110,-1.565131,0.206987
121,-0.167624,-1.514771,0.675731,-1.247235,7.648307,-1.395328,-4.632109,123.480392,11.606384,-0.094423,-1.640956,0.239030
122,-0.303278,-1.447108,0.729992,-2.936434,6.853300,0.107709,-3.812135,123.510864,11.584924,-0.108811,-1.715315,0.274135
123,-0.289899,-1.230379,0.517664,-4.614952,6.206308,1.444420,-3.205164,123.566902,11.610792,-0.126256,-1.782565,0.305289
124,-0.167356,-1.024393,0.517210,-6.240063,5.129004,2.863530,-2.775668,123.606667,11.682591,-0.140303,-1.839246,0.331123
125,-0.099839,-0.778863,0.500905,-7.434863,3.015598,5.842137,-2.541471,123.600815,11.827686,-0.120578,-1.884640,0.356538
126,0.000071,-0.522998,0.414576,-7.892640,1.861998,8.919929,-2.492988,123.574272,12.073721,-0.101306,-1.917499,0.379387
127,0.067117,-0.289591,0.362582,-8.196300,0.368117,10.969246,-2.623080,123.526283,12.405208,-0.082408,-1.938127,0.398779
128,0.083481,0.040554,0.254934,-8.025746,-2.074246,11.362783,-2.924752,123.446190,12.777409,-0.065496,-1.567426,0.414179
129,0.086789,0.279369,0.106617,-7.786528,-3.449987,11.429772,-3.350282,123.347534,13.157285,-0.051468,-1.559740,0.341089
130,0.025163,0.388097,-0.176153,-7.776612,-3.593381,9.504604,-3.812093,123.288841,13.506191,-0.041336,-1.543366,0.339313
131,0.002364,0.589624,-0.253359,-7.237976,-2.909225,6.124731,-4.363329,123.263115,13.766680,-0.034871,-1.519235,0.328537
132,0.149032,0.871732,-0.228000,-5.750985,-2.643494,4.672897,-5.026326,123.288879,13.946640,-0.027164,-1.483014,0.316466
133,0.177683,1.062212,-0.196311,-3.921836,-1.891636,6.105215,-5.730978,123.343781,14.126275,-0.017419,-1.434978,0.305820
134,0.131391,1.096622,-0.134649,-1.933835,-1.297885,6.734393,-6.394801,123.403450,14.340268,-0.009920,-1.381320,0.297508
135,0.269481,1.211415,0.014605,0.676761,-1.561911,6.269964,-7.060576,123.469940,14.557008,-0.002514,-1.323931,0.237346
136,0.263432,1.077279,0.071125,2.704393,-2.108033,5.642178,-7.588899,123.499825,14.755544,0.006604,-1.267026,0.193001
137,0.147461,0.876032,0.053000,3.803508,-1.312547,2.730810,-7.957543,123.503532,14.895094,0.011494,-1.218506,0.158033
138,0.138333,0.601570,0.129341,4.440268,0.444273,-3.088972,-8.163146,123.510834,14.889125,0.012915,-1.181878,0.131020
139,0.119633,0.450335,0.154612,4.866294,2.679644,-7.438785,-8.271801,123.565918,14.713662,0.013500,-1.155893,0.138081
140,-0.119024,0.062360,0.121857,4.923444,6.415807,-10.665174,-8.153364,123.668968,14.411929,0.010899,-0.921586,0.116836
141,-0.172847,-0.113897,0.215842,4.631993,9.131954,-13.132595,-7.946306,123.840248,14.015300,0.000987,-0.744101,0.125241
142,-0.236456,-0.419023,0.341252,3.829356,10.468665,-13.796372,-7.586552,124.029259,13.566483,-0.011861,-0.757737,0.139130
143,-0.258461,-0.743995,0.367618,2.550630,10.168058,-12.233825,-7.106207,124.224274,13.132647,-0.026849,-0.787125,0.156815
144,-0.215265,-0.928497,0.421519,1.367901,8.899865,-9.858672,-6.520384,124.389870,12.764439,-0.041308,-0.829249,0.176505
145,-0.076900,-0.923453,0.530963,-0.263883,6.246762,-6.439047,-5.979351,124.485939,12.492810,-0.041290,-0.875861,0.200280
146,-0.047646,-1.036800,0.510975,-1.505774,3.888923,-3.259306,-5.417358,124.513969,12.331171,-0.037898,-0.925179,0.226290
147,0.071543,-1.096591,0.358918,-2.196424,2.742505,-1.392665,-4.861331,124.548599,12.253638,-0.032173,-0.978827,0.248000
148,0.141601,-0.937718,0.197212,-2.594096,4.799005,-0.290512,-4.423873,124.650475,12.225585,-0.023745,-1.029997,0.261866
149,0.043027,-0.952894,0.062298,-3.214416,7.984838,-0.083364,-4.004919,124.859070,12.219354,-0.017527,-1.077574,0.216266
150,-0.070453,-0.984561,-0.085660,-2.903489,9.963035,0.260378,-3.587090,125.172997,12.222304,-0.016788,-1.126323,0.173812
