seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
60,-0.004916,0.096168,-0.246050,-21.281111,2.276920,1.835644,-21.347799,-1.066235,0.416701,0.000000,0.000000,0.000000
61,-0.367057,-3.685266,-2.426596,-35.745998,0.240255,4.272868,-22.299648,-0.989444,0.495627,-0.009368,-0.091485,-0.067312
62,-0.361768,-3.125925,-2.423249,-123.603027,8.036774,8.925032,-24.957123,-0.775095,0.641685,-0.027658,-0.263522,-0.189054
63,-0.453080,-2.406542,-2.161553,-108.846596,11.831919,11.515659,-28.829025,-0.325431,0.795897,-0.048098,-0.403592,-0.304169
64,-0.354306,-1.996419,-1.709874,-90.733719,9.035815,10.678243,-32.151741,0.161109,0.939766,-0.068352,-0.515423,-0.401451
65,-0.247529,-1.548494,-1.304672,-70.070084,6.028449,8.846044,-34.828850,0.549365,1.072469,-0.083467,-0.605804,-0.477310
66,-0.160453,-1.080697,-1.067165,-53.885876,2.873831,7.097618,-36.892239,0.824891,1.200760,-0.093735,-0.673291,-0.537102
67,0.019744,-0.819000,-0.739774,-41.998955,-2.612110,2.583600,-38.487965,0.926726,1.325546,-0.078443,-0.722541,-0.582771
68,0.044369,-0.646080,-0.538131,-10.842986,-3.495368,0.610681,-39.366917,0.880896,1.430183,-0.061990,-0.760926,-0.615214
69,0.020310,-0.541942,-0.474467,-8.807344,-2.570926,-1.246100,-39.693604,0.795997,1.486145,-0.048717,-0.792384,-0.641025
70,0.005460,-0.488807,-0.477990,-8.406643,-1.550884,-2.946491,-39.980644,0.698524,1.476472,-0.038803,-0.819910,-0.665332
71,0.038136,-0.442160,-0.506364,-8.617032,-0.683763,-4.142739,-40.265137,0.593945,1.410113,-0.030453,-0.844942,-0.690436
72,-0.054023,-0.384799,-0.595303,-9.806767,1.129679,-4.497815,-40.573303,0.506261,1.295652,-0.024921,-0.867374,-0.718473
73,-0.059562,-0.341849,-0.583468,-10.450636,2.344029,-4.325666,-40.912197,0.454169,1.146477,-0.022431,-0.887298,-0.748438
74,-0.063210,-0.308772,-0.547147,-11.789740,2.213360,-3.638019,-41.284027,0.424170,0.996550,-0.020609,-0.905321,-0.777199
75,-0.011362,-0.361879,-0.526433,-14.506302,1.280867,-3.401705,-41.723190,0.390004,0.870101,-0.018170,-0.923845,-0.804535
76,-0.027719,-0.528207,-0.466678,-16.466274,1.090833,-2.983083,-42.240067,0.348160,0.764548,-0.015488,-0.947854,-0.829858
77,0.026532,-0.532609,-0.490337,-15.658366,0.272394,-2.230122,-42.775913,0.306170,0.685157,-0.012563,-0.976132,-0.854279
78,0.043566,-0.423804,-0.539628,-14.815208,-0.244398,-1.264062,-43.284004,0.266734,0.642263,-0.008769,-1.001800,-0.880524
79,0.060476,-0.427713,-0.500063,-14.380280,-0.198605,-0.376815,-43.770645,0.242510,0.627528,-0.005027,-1.024846,-0.907012
80,0.030362,-0.428241,-0.432263,-11.907217,-0.039173,0.757746,-44.208729,0.244048,0.634870,-0.002277,-1.048002,-0.930816
81,0.045227,-0.395941,-0.398357,-8.719157,-0.326092,1.360778,-44.552361,0.264369,0.664393,-0.000368,-1.070365,-0.952077
82,0.055755,-0.340811,-0.383443,-19.544870,-1.758181,0.721578,-45.023205,0.264142,0.713507,0.001683,-1.090541,-0.972117
