seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
1,-0.003373,-0.006736,0.161426,-0.050245,-1.991464,1.825870,-2.389406,1.195882,0.000000,0.000000,0.000000,0.000000
2,-0.055243,0.011976,0.156779,-0.005144,-1.888715,1.570866,-2.355036,1.230646,0.056612,-0.002130,0.000299,0.007371
3,-0.063271,-0.012431,0.150514,0.090627,-2.162105,1.574798,-2.365520,1.277985,0.109040,-0.004944,0.000419,0.014237
4,-0.053488,-0.004041,0.127459,0.082699,-2.009092,1.613604,-2.360305,1.305671,0.162180,-0.007072,0.000198,0.016256
5,-0.026847,0.013706,0.098985,0.138068,-1.991247,1.777562,-2.322476,1.286492,0.218699,-0.007976,0.000533,0.016722
6,-0.075899,0.030353,0.087834,0.211764,-1.785756,2.160580,-2.251414,1.366002,0.284335,-0.009067,0.001462,0.016207
7,-0.061589,-0.044131,-0.002909,0.361267,-1.126521,2.665349,-2.328003,1.437413,0.364767,-0.010537,0.001049,0.013717
8,-0.135337,-0.093929,-0.017965,0.479112,1.641491,2.745958,-2.498613,1.710461,0.454956,-0.012775,-0.001701,0.009626
9,-0.306422,-0.208790,-0.043195,0.368468,4.566847,2.198932,-2.549468,1.908605,0.537371,-0.024088,-0.008904,0.005546
10,-0.229927,-0.185627,-0.076020,-0.313486,9.272150,1.099231,-2.607075,2.211087,0.592340,-0.037766,-0.018400,0.001088
11,0.026074,-0.196157,-0.212858,-1.252691,17.085331,1.480624,-2.697913,2.645116,0.635338,-0.034765,-0.027579,-0.007350
12,0.282823,-0.154674,-0.007287,-2.217076,28.096411,3.197290,-2.803432,3.311187,0.713303,-0.027312,-0.035985,-0.011341
13,0.368277,-0.191095,0.089300,-3.721638,37.726524,4.697275,-2.959256,4.293893,0.844879,-0.011304,-0.044264,-0.008469
14,0.522950,-0.237641,-0.006506,-4.760794,46.140480,5.997363,-3.173981,5.530815,1.023123,0.010707,-0.054618,-0.006138
15,0.507862,-0.466505,0.012074,-4.695179,50.796078,6.729807,-3.474911,6.989462,1.235242,0.036207,-0.071856,-0.005815
16,0.412250,-0.694871,0.136516,-3.323372,49.766079,4.962786,-3.817052,8.532746,1.430119,0.058941,-0.100526,-0.002673
17,0.388837,-0.727808,-0.001441,-1.115358,43.404495,1.364653,-4.116102,9.963862,1.535576,0.078698,-0.135728,-0.000413
18,0.596759,-0.612884,-0.072773,2.311871,36.698051,-0.040724,-4.289667,11.117214,1.557642,0.103069,-0.168880,-0.002809
19,0.597490,-0.315660,0.143089,6.433396,31.610615,1.044209,-4.237917,12.066111,1.574366,0.132655,-0.191729,-0.002267
20,0.283556,0.099270,0.313395,10.138343,27.772913,5.187097,-3.924884,12.952254,1.678221,0.154412,-0.158602,0.007929
21,0.112518,0.488117,0.001202,13.232920,27.499773,10.781139,-3.358595,13.840830,1.944359,0.132222,-0.143552,0.011750
22,-0.216526,0.872966,-0.136910,14.137794,31.627401,18.859388,-2.622490,14.901992,2.438368,0.129352,-0.109160,0.007141
23,-0.678584,1.004270,0.133807,11.667320,35.930511,27.630407,-1.874186,16.208658,3.213198,0.106705,-0.061865,0.004713
24,-0.670577,0.719874,0.086132,9.375380,37.247387,31.683266,-1.292838,17.610052,4.201759,0.072706,-0.018396,0.007250
25,-0.474955,0.503372,-0.110738,9.015262,39.435562,30.808910,-0.821180,19.035648,5.243295,0.043798,0.012550,0.004367
26,-0.455220,0.607890,0.120756,8.243143,41.005741,28.837414,-0.336556,20.489338,6.237401,0.020274,0.040697,0.002742
27,-0.363629,0.482874,0.202892,7.820462,38.068333,23.351713,0.087443,21.883593,7.107219,-0.000466,0.068331,0.009617
