seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
1,-0.018435,-0.014759,0.168101,1.162866,0.831498,1.154463,-5.017462,6.234815,0.000000,0.000000,0.000000,0.000000
2,-0.029898,-0.005196,0.146343,1.258187,-0.016015,1.578309,-4.962673,6.274746,0.045546,-0.001940,-0.000198,0.005873
3,-0.023804,-0.037247,0.130504,1.098061,-0.471111,1.542742,-4.973241,6.284050,0.097564,-0.003545,-0.000789,0.009682
4,0.010666,-0.039272,0.108773,0.873258,-0.831237,1.413274,-4.997785,6.218608,0.146831,-0.003983,-0.001908,0.011857
5,-0.005363,-0.042633,0.147001,0.682464,-0.701226,1.643240,-5.028905,6.172319,0.197773,-0.003940,-0.002874,0.013799
6,-0.015547,-0.053127,0.129702,0.437229,-1.187422,1.703013,-5.090230,6.142993,0.253543,-0.004392,-0.003879,0.015633
7,0.004953,-0.063791,0.091070,0.064251,-1.288704,1.310676,-5.189065,6.072523,0.303772,-0.004515,-0.005050,0.015873
8,0.002486,-0.056242,0.089794,-0.255174,-0.949800,1.103882,-5.284792,6.011320,0.344014,-0.004232,-0.005991,0.015182
9,-0.032900,-0.048170,0.115168,-0.401778,-0.537879,1.113445,-5.367656,6.025374,0.380970,-0.004721,-0.006383,0.015016
10,-0.026307,-0.054722,0.108898,-0.534720,-0.682595,0.592847,-5.468595,6.032376,0.409408,-0.005634,-0.006618,0.015164
11,0.005895,-0.035043,0.143440,-0.766616,-0.784192,-0.086316,-5.530891,5.967528,0.417850,-0.005553,-0.006503,0.015733
12,0.085065,0.023086,0.196775,-1.348079,-0.258153,0.117237,-5.485951,5.751318,0.418365,-0.003285,-0.004856,0.017790
13,0.144955,0.128283,0.129569,-1.843539,0.173876,2.481414,-5.269309,5.450323,0.461676,0.001299,-0.000263,0.019065
14,0.291513,0.187556,0.041796,-2.083214,1.862744,7.097500,-5.276056,5.394310,0.621325,0.011357,0.008379,0.021054
15,0.267951,0.413405,0.114876,-1.903734,3.051080,13.292648,-5.213263,5.392261,0.961161,0.024490,0.024148,0.022676
16,0.240752,0.669944,0.060833,-2.286455,2.981499,23.327591,-5.075741,5.418445,1.571498,0.036354,0.051977,0.024774
17,0.122965,0.591606,0.166545,-2.819003,1.220581,35.362564,-4.976767,5.447476,2.549667,0.044594,0.084261,0.028163
18,0.031758,0.343036,0.022769,-4.323565,-3.810395,47.888885,-4.989648,5.394621,3.937191,0.047608,0.108373,0.030601
19,-0.518279,0.380277,-0.226798,-5.611447,-5.388201,58.698540,-5.041452,5.410561,5.713649,0.034591,0.127201,0.023205
20,-0.583393,0.116120,-0.112927,-8.011727,-4.115580,65.961945,-5.235567,5.435278,7.791324,0.006196,0.140356,0.012417
21,-0.456151,-0.020507,0.008169,-10.824008,-1.971654,70.686211,-5.555548,5.472254,10.068793,-0.020646,0.143492,0.007503
22,-0.299559,0.039847,0.012929,-13.737000,1.370122,75.787384,-5.952255,5.553239,12.510020,-0.040393,0.144721,0.005736
23,-0.422451,0.090174,0.102761,-16.781221,9.015009,80.177467,-6.429939,5.850823,15.109434,-0.059296,0.148717,0.006333
24,-0.036113,-0.006084,0.151718,-19.762878,12.666549,83.825958,-7.035188,6.218086,17.842825,-0.071614,0.151564,0.010400
25,0.029412,0.094423,-0.213323,-20.972937,14.663985,89.470352,-7.693524,6.672586,20.731096,-0.072635,0.154518,0.006565
26,-0.232147,0.023364,-0.365477,-20.245071,17.476267,94.402145,-8.390221,7.296245,23.795639,-0.078557,0.158208,-0.010200
27,-0.436111,0.028341,-0.460666,-17.670835,19.194458,96.822266,-9.036611,8.066196,26.982712,-0.096117,0.160246,-0.033148
28,-0.331540,0.183402,-0.215966,-12.256851,18.371984,97.869049,-9.489051,8.806554,30.227568,-0.116162,0.166285,-0.052359
29,-0.499039,0.302913,0.236698,-6.049387,15.661941,98.509941,-9.690663,9.511658,33.500549,-0.137780,0.179188,-0.054136
30,-0.790736,0.472087,0.239794,-1.315966,14.491555,95.731232,-9.658145,10.236715,36.737904,-0.170878,0.199309,-0.044519
31,-0.635898,0.688811,0.329167,2.263855,13.148741,91.216011,-9.418142,10.869079,39.853691,-0.207398,0.229077,-0.032590
