seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
6682,0.002485,-0.002452,0.000046,-0.111282,0.022758,0.078686,-88.931549,-45.381218,0.000000,0.000000,0.000000,0.000000
6683,-0.007090,-0.012541,-0.010481,-0.120527,0.048213,0.088465,-88.965012,-45.353230,0.002786,-0.001074,-0.000093,-0.000570
6684,-0.016728,-0.010657,-0.002425,-0.107432,0.043594,0.075892,-88.976044,-45.314095,0.005525,-0.002279,-0.000324,-0.001058
6685,-0.012115,-0.007997,0.001372,-0.111287,0.039158,0.067345,-88.976303,-45.285015,0.007912,-0.003302,-0.000414,-0.001201
6686,-0.014457,-0.003368,-0.001033,-0.105416,0.046658,0.069323,-88.982933,-45.259121,0.010190,-0.004034,-0.000340,-0.001278
6687,-0.012542,-0.002083,-0.002632,-0.106387,0.049556,0.059671,-88.993835,-45.237492,0.012340,-0.004588,-0.000164,-0.001408
6689,-0.006212,-0.002733,0.005573,-0.094044,0.039076,0.044432,-88.981903,-45.223572,0.014075,-0.004829,-0.000014,-0.001372
6690,0.004815,-0.001763,0.001264,-0.086533,0.046650,0.042975,-88.981499,-45.226276,0.015532,-0.004649,0.000110,-0.001258
6691,0.007589,-0.000350,-0.001269,-0.077793,0.053976,0.040090,-88.987762,-45.234543,0.016916,-0.004209,0.000252,-0.001296
6692,0.014811,-0.005412,-0.000637,-0.079670,0.044827,0.034348,-88.992409,-45.245712,0.018157,-0.003645,0.000290,-0.001353
6693,0.009833,-0.006650,0.000343,-0.069679,0.040406,0.037650,-88.994270,-45.248566,0.019357,-0.003138,0.000195,-0.001358
6694,0.007907,-0.000214,-0.004762,-0.074774,0.025798,0.046747,-89.009865,-45.258110,0.020764,-0.002858,0.000221,-0.001434
6696,0.008046,-0.002304,0.000748,-0.067895,0.017573,0.042262,-89.010292,-45.265205,0.022247,-0.002656,0.000324,-0.001476
6697,0.004491,-0.006112,-0.000700,-0.059765,0.014045,0.042353,-89.014641,-45.262398,0.023657,-0.002548,0.000288,-0.001420
6698,0.004281,-0.003991,0.004518,-0.054854,0.009157,0.039488,-89.004250,-45.262253,0.025021,-0.002521,0.000225,-0.001294
6699,0.008704,-0.001806,0.003426,-0.051580,0.002953,0.033766,-88.996628,-45.271389,0.026242,-0.002402,0.000258,-0.001107
6700,0.008061,-0.005411,0.004599,-0.045461,0.017615,0.029707,-88.985809,-45.274487,0.027300,-0.002221,0.000255,-0.000953
6701,0.001760,-0.002244,0.002586,-0.055778,0.021465,0.031685,-88.980461,-45.273079,0.028323,-0.002200,0.000242,-0.000843
6703,0.002745,0.000916,0.006850,-0.056901,0.017810,0.035074,-88.963348,-45.277267,0.029436,-0.002274,0.000354,-0.000708
6704,0.003972,0.002240,0.003725,-0.047656,0.027557,0.023593,-88.954666,-45.284950,0.030414,-0.002274,0.000527,-0.000576
6705,-0.001363,-0.000425,0.002267,-0.050521,0.036985,0.019867,-88.950050,-45.281364,0.031138,-0.002339,0.000632,-0.000559
6706,0.001127,-0.001706,0.001867,-0.045913,0.035773,0.011837,-88.946579,-45.279289,0.031666,-0.002431,0.000632,-0.000578
