seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
7847,-0.015153,-0.063052,0.015944,-0.057874,-0.076427,0.139723,180.000000,-44.053986,0.000000,0.000000,0.000000,0.000000
7848,-0.015938,-0.056968,0.013639,-0.045856,-0.064105,0.126363,179.998703,-44.052162,0.004435,-0.001601,-0.002180,0.000220
7849,-0.008353,-0.050779,0.006568,-0.051320,-0.074191,0.140354,179.997818,-44.051414,0.008880,-0.002706,-0.003626,0.000207
7850,-0.003722,-0.049326,0.005116,-0.059076,-0.067391,0.138590,179.996979,-44.055264,0.013529,-0.003313,-0.004581,0.000030
7851,-0.003932,-0.048676,0.003442,-0.070569,-0.058575,0.124850,179.996109,-44.056297,0.017920,-0.003678,-0.005256,-0.000169
7852,0.000705,-0.042170,-0.000631,-0.072684,-0.047800,0.097143,179.995300,-44.058037,0.021620,-0.003854,-0.005609,-0.000436
7854,0.008424,-0.044533,-0.001975,-0.082108,-0.044757,0.086578,179.994537,-44.068497,0.024682,-0.003725,-0.005768,-0.000746
7855,0.007336,-0.043076,-0.003400,-0.083844,-0.027054,0.058650,179.993835,-44.075172,0.027102,-0.003472,-0.005873,-0.001037
7856,0.008276,-0.043993,-0.006844,-0.073716,-0.008457,0.039016,179.993408,-44.077892,0.028730,-0.003255,-0.005907,-0.001353
7857,0.008349,-0.045406,-0.005186,-0.068347,0.006580,0.030358,179.993286,-44.082382,0.029886,-0.003046,-0.005941,-0.001625
7858,0.006760,-0.047347,-0.005250,-0.070534,0.009316,0.044121,179.993225,-44.084251,0.031127,-0.002893,-0.005995,-0.001795
7859,0.003295,-0.046432,-0.010429,-0.068222,0.020817,0.048579,179.993179,-44.074043,0.032672,-0.002854,-0.006019,-0.002019
7861,0.004097,-0.052917,-0.010518,-0.063033,0.015707,0.051414,179.993256,-44.064667,0.034339,-0.002857,-0.006108,-0.002283
7862,-0.002222,-0.052821,-0.009703,-0.075726,0.004861,0.057108,179.993195,-44.047821,0.036148,-0.002949,-0.006264,-0.002461
7863,-0.004778,-0.052481,-0.010681,-0.071767,-0.021864,0.065567,179.993057,-44.026711,0.038192,-0.003175,-0.006336,-0.002587
7864,-0.007719,-0.051779,-0.010526,-0.075318,-0.019672,0.067845,179.992950,-44.002106,0.040416,-0.003438,-0.006332,-0.002684
7865,-0.012010,-0.051482,-0.004687,-0.071373,-0.024930,0.071524,179.992889,-43.979424,0.042739,-0.003762,-0.006269,-0.002627
