seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
5440,0.166578,0.078044,0.145811,-2.011059,0.373721,0.162611,180.000000,48.897434,0.000000,0.000000,0.000000,0.000000
5441,0.152033,0.126967,0.228265,-3.195711,0.090864,0.196843,179.917557,48.927631,0.005991,0.005418,0.004336,0.008890
5442,0.148178,0.091472,-0.004952,-4.961385,-0.072088,0.243859,179.792526,48.896275,0.013336,0.009414,0.008101,0.011293
5443,0.141812,0.082839,0.002061,-4.193558,-0.476846,0.288581,179.657944,48.858368,0.022210,0.012428,0.010246,0.008671
5444,0.128158,0.072001,0.070698,-3.723421,-0.594967,0.256558,179.308441,48.776798,0.031296,0.014387,0.011532,0.008042
5445,0.146024,0.057499,0.067263,-4.588553,0.140694,0.116973,179.142349,48.754688,0.037521,0.015982,0.012007,0.008809
5447,0.125085,0.064467,0.005267,-3.537648,0.188082,0.091181,179.255188,48.603596,0.040990,0.017141,0.012194,0.008112
5448,0.116563,0.060852,0.053979,-1.458947,0.614356,-0.020107,178.988708,48.542545,0.042175,0.017362,0.012327,0.007258
5449,0.089976,0.035135,-0.001645,-0.598119,1.085692,-0.114463,178.851440,48.450329,0.039932,0.016740,0.011781,0.006412
5450,0.078939,0.040906,-0.061394,-0.060693,1.455973,-0.151118,179.130341,48.299805,0.035506,0.015415,0.010892,0.003462
5451,0.041217,0.045558,-0.088121,1.243040,0.745562,-0.048754,179.023224,48.154385,0.032175,0.013334,0.010333,-0.000544
5452,0.039156,0.037240,-0.080948,1.078313,0.824432,-0.075198,178.959137,48.011765,0.030109,0.010851,0.009759,-0.004046
5454,0.035456,0.061071,-0.039939,0.697601,0.450568,-0.018124,179.241547,47.927494,0.028553,0.008734,0.009553,-0.005810
5455,0.057065,0.057916,0.011545,0.214250,0.292634,0.001656,179.087860,47.880035,0.028279,0.007378,0.009734,-0.005346
5456,0.051989,0.047351,0.016906,0.055209,0.122167,0.022265,178.953796,47.841686,0.028678,0.006595,0.009546,-0.003843
