seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
1,-0.002953,-0.033096,0.132919,-0.637726,-0.526575,29.612972,0.000000,1.272322,0.000000,0.000000,0.000000,0.000000
2,0.022013,-0.023677,0.128142,-0.501821,-0.315007,19.091440,-0.018043,1.250766,0.811740,-0.000617,-0.000939,0.004887
3,0.078832,-0.021766,0.122622,-0.371346,-0.135122,12.602768,-0.030966,1.181100,1.339977,0.000533,-0.001468,0.008619
4,0.057121,-0.017327,0.121662,-0.273841,0.528581,9.285862,-0.039633,1.128276,1.704787,0.002168,-0.001767,0.011496
5,0.087864,-0.011069,0.121614,-0.203653,0.370102,7.320740,-0.045212,1.086091,1.981564,0.003667,-0.001792,0.013795
6,0.066648,-0.007271,0.123013,-0.065622,0.480468,1.330633,-0.037275,0.825201,2.125754,0.005040,-0.001608,0.015600
8,0.052527,-0.008867,0.125324,0.039843,0.653632,-0.436842,-0.028279,0.633077,2.140650,0.005390,-0.001411,0.016980
9,0.008239,-0.006383,0.129996,0.096097,0.574643,-0.440231,-0.019509,0.490161,2.126032,0.004490,-0.001232,0.018084
10,0.029680,-0.005623,0.126221,0.137223,-0.142297,-0.399232,-0.011714,0.373027,2.112041,0.003314,-0.001021,0.018847
11,-0.003778,-0.007553,0.129072,0.157815,-0.109590,-0.378765,-0.005099,0.276620,2.099075,0.002142,-0.000872,0.019304
12,-0.001280,-0.004584,0.126627,0.170352,-0.057292,-0.373727,0.000279,0.205380,2.086533,0.000612,-0.000731,0.019546
13,-0.011307,-0.001205,0.124479,0.141153,-0.098215,-0.348191,0.004101,0.152091,2.074501,-0.000732,-0.000493,0.019520
15,-0.008816,0.000079,0.122243,0.117338,-0.134844,-0.262981,0.006307,0.111155,2.064315,-0.001922,-0.000213,0.019291
16,-0.031184,0.001356,0.122969,0.086925,-0.034490,-0.187944,0.007286,0.081248,2.056799,-0.003224,0.000057,0.018960
