seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
6031,0.038855,0.038762,-0.000413,-0.195208,-0.030649,0.040538,90.610374,-45.066402,0.000000,0.000000,0.000000,0.000000
6032,0.045309,0.039041,0.008754,-0.173559,-0.063354,0.028804,90.579140,-45.076515,0.001156,0.000681,0.001743,-0.000205
6033,0.040900,0.036036,0.008860,-0.137625,-0.046148,0.039465,90.548691,-45.084953,0.002294,0.001247,0.003038,-0.000182
6034,0.025213,0.034982,0.006575,-0.132032,-0.020845,0.042453,90.525276,-45.072651,0.003659,0.001289,0.003949,-0.000206
6035,0.023265,0.029435,0.006939,-0.135301,0.023494,0.039480,90.501060,-45.064140,0.005024,0.000970,0.004505,-0.000261
6036,0.016405,0.020737,0.009907,-0.101347,0.047814,0.044090,90.469406,-45.057045,0.006417,0.000543,0.004633,-0.000237
6038,0.008839,0.016047,0.008363,-0.086218,0.075764,0.048548,90.442940,-45.045128,0.007961,-0.000074,0.004442,-0.000189
6039,0.009741,0.012969,0.004408,-0.078963,0.093943,0.061715,90.427795,-45.037888,0.009799,-0.000684,0.004113,-0.000258
6040,0.018701,0.013200,-0.001846,-0.073423,0.086435,0.062644,90.430054,-45.042389,0.011872,-0.000964,0.003775,-0.000509
6041,0.024256,0.020307,-0.003982,-0.054781,0.061463,0.060590,90.438438,-45.045258,0.013925,-0.000893,0.003631,-0.000865
6042,0.030782,0.024097,-0.001190,-0.063316,0.043213,0.052700,90.439232,-45.052601,0.015814,-0.000596,0.003708,-0.001124
6043,0.036781,0.028206,-0.007083,-0.064192,0.044748,0.052448,90.455933,-45.062714,0.017566,-0.000117,0.003898,-0.001379
6045,0.038375,0.027396,0.001034,-0.079799,0.028522,0.034494,90.450096,-45.076435,0.019015,0.000405,0.004086,-0.001526
6046,0.032989,0.023591,0.004904,-0.078659,0.018732,0.030411,90.433487,-45.088470,0.020097,0.000736,0.004116,-0.001397
6047,0.029131,0.018941,0.002224,-0.077556,0.000407,0.027938,90.424385,-45.102036,0.021069,0.000809,0.003949,-0.001265
6048,0.031320,0.022328,-0.001726,-0.079441,0.000394,0.037354,90.426056,-45.114197,0.022158,0.000828,0.003769,-0.001282
6049,0.020970,0.022174,0.002957,-0.084216,-0.005523,0.036129,90.414749,-45.112541,0.023382,0.000679,0.003668,-0.001274
6050,0.015176,0.026367,-0.008345,-0.069648,0.000561,0.030517,90.434570,-45.097069,0.024493,0.000243,0.003644,-0.001388
6052,0.022422,0.026786,-0.007096,-0.071792,0.003495,0.028041,90.451134,-45.090824,0.025469,-0.000069,0.003692,-0.001664
6053,0.028370,0.029140,-0.004022,-0.075342,0.003380,0.031549,90.459091,-45.089485,0.026462,-0.000056,0.003760,-0.001785
6054,0.025251,0.028565,-0.000208,-0.068444,0.003270,0.021659,90.456642,-45.084721,0.027349,0.000011,0.003824,-0.001733
6055,0.034622,0.025477,-0.004804,-0.063249,-0.007169,0.016522,90.467079,-45.097130,0.027985,0.000184,0.003779,-0.001697
6056,0.037719,0.025084,-0.000577,-0.061175,-0.008410,0.020408,90.466026,-45.114540,0.028601,0.000561,0.003651,-0.001665
6057,0.030239,0.025568,0.002516,-0.056218,0.005149,0.004980,90.456596,-45.120869,0.029024,0.000766,0.003530,-0.001487
6059,0.021661,0.023512,0.001251,-0.063230,0.012360,-0.002563,90.450668,-45.117924,0.029064,0.000608,0.003383,-0.001304
6060,0.018839,0.022801,-0.003361,-0.065585,0.004575,-0.012811,90.457268,-45.112053,0.028808,0.000259,0.003192,-0.001267
6061,0.016845,0.022605,-0.000592,-0.063435,0.025088,-0.009439,90.456253,-45.103546,0.028437,-0.000109,0.003006,-0.001266
