seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
134,0.068413,0.067959,-0.000055,0.001333,-0.085871,0.049587,-89.952286,45.190464,-89.932732,0.000000,0.000000,0.000000
136,0.059192,0.080048,0.019833,0.410971,-0.493721,0.494868,-89.935677,45.199528,-89.919014,0.002516,0.001566,-0.000001
137,0.063818,0.073080,0.014950,0.316189,-0.397143,0.267077,-89.908585,45.212208,-89.897911,0.004409,0.002906,0.000297
138,0.068469,0.081250,0.012945,0.267607,-0.331325,0.330200,-89.886604,45.222141,-89.880661,0.006039,0.003956,0.000394
139,0.073011,0.080799,0.012242,0.220243,-0.276356,0.216578,-89.868240,45.231228,-89.866249,0.007449,0.004899,0.000413
140,0.070182,0.078918,0.010027,0.107359,-0.162992,0.214547,-89.855385,45.238400,-89.855835,0.008535,0.005558,0.000369
141,0.077171,0.072247,0.005408,-0.020337,-0.016802,-0.091538,-89.850922,45.240452,-89.851570,0.009409,0.005870,0.000200
143,0.073265,0.065619,0.005553,-0.036424,-0.003932,-0.171031,-89.851509,45.236061,-89.851082,0.010090,0.005816,-0.000021
144,0.073858,0.062859,0.000862,-0.150659,0.103372,-0.253485,-89.856323,45.228996,-89.853470,0.010492,0.005555,-0.000282
145,0.071700,0.061405,0.000870,-0.145471,0.090663,-0.249090,-89.864532,45.220627,-89.858086,0.010708,0.005233,-0.000575
146,0.070461,0.057481,0.000914,-0.097452,0.042500,-0.288998,-89.870850,45.211674,-89.861267,0.010743,0.004845,-0.000798
147,0.067486,0.059548,-0.000345,-0.113992,0.038128,-0.181885,-89.875740,45.203827,-89.863197,0.010619,0.004475,-0.000991
148,0.068337,0.059104,0.005863,0.060983,-0.134847,-0.193653,-89.875008,45.197559,-89.860924,0.010414,0.004189,-0.001039
150,0.066886,0.058212,0.005829,0.115617,-0.178872,-0.174217,-89.866821,45.191414,-89.853531,0.010176,0.003914,-0.000949
151,0.063930,0.052334,0.001751,0.067521,-0.093725,-0.231484,-89.859207,45.184635,-89.847099,0.009840,0.003543,-0.000953
152,0.066793,0.056469,0.002397,0.092882,-0.113013,-0.219481,-89.853088,45.177113,-89.842239,0.009513,0.003197,-0.001017
153,0.066016,0.062054,0.002538,0.124639,-0.130715,-0.065358,-89.845398,45.172363,-89.836510,0.009239,0.003096,-0.001045
154,0.068770,0.065806,-0.000374,0.069225,-0.067196,-0.043389,-89.838860,45.170536,-89.831841,0.009005,0.003180,-0.001114
155,0.067910,0.070833,0.002356,0.113185,-0.115692,0.092961,-89.832756,45.171356,-89.827515,0.008802,0.003396,-0.001165
