seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
66,0.049717,0.049142,-0.000422,0.091686,0.758496,0.010019,-89.507332,45.331783,0.000000,0.000000,0.000000,0.000000
67,0.092930,0.051468,0.011093,-0.478038,0.672267,-0.115597,-89.505737,45.273338,-0.033941,0.003457,0.000553,-0.000390
68,0.089075,0.040538,-0.138055,0.115891,0.238628,-0.022002,-89.910759,45.202713,-0.055563,0.007752,0.000813,-0.004185
69,0.084112,0.065603,-0.120581,0.088542,0.255724,0.049270,-90.252724,45.175854,-0.067277,0.011693,0.001286,-0.008898
70,0.080345,0.063128,-0.066498,-0.355921,-0.237836,0.075549,-90.444160,45.153358,-0.067679,0.015294,0.002087,-0.011122
71,0.084971,0.066674,-0.059110,-0.395909,-0.452900,0.076024,-90.611847,45.129715,-0.051277,0.018797,0.002719,-0.011586
73,0.073233,0.070350,-0.055434,-0.186635,-0.615160,0.139947,-90.760864,45.128559,-0.025917,0.017744,0.003335,-0.011659
74,0.068036,0.082115,0.033886,-0.443227,-0.481348,0.116173,-90.661003,45.153633,0.000125,0.016479,0.004095,-0.009829
75,0.065389,0.064268,0.062123,-0.427220,-0.543790,0.069563,-90.486717,45.156219,0.024465,0.015236,0.004543,-0.006049
76,0.060598,0.067485,0.051760,0.008893,-0.136325,0.049572,-90.339043,45.168583,0.040614,0.014025,0.004578,-0.002715
77,0.063614,0.064559,0.040046,-0.007633,-0.190892,0.080416,-90.222580,45.172695,0.048397,0.012957,0.004582,-0.000529
78,0.064740,0.061809,0.030794,-0.045757,-0.248098,0.086635,-90.130684,45.171970,0.058839,0.012122,0.004446,0.000770
80,0.065240,0.060854,0.029792,-0.036877,-0.278338,0.082319,-90.040337,45.169174,0.071355,0.011427,0.004239,0.001578
81,0.065765,0.061385,0.025715,-0.156692,-0.337104,0.079620,-89.961472,45.166222,0.085982,0.010831,0.004042,0.002099
82,0.069986,0.062580,0.000006,-0.759626,-0.272920,0.100625,-89.966393,45.159443,0.100485,0.010391,0.003897,0.001911
83,0.065381,0.067249,-0.003822,-0.916258,-0.113431,0.088470,-89.998497,45.165722,0.109686,0.009974,0.003873,0.001177
84,0.060926,0.070072,-0.004081,-0.847846,-0.009351,0.057528,-90.037354,45.181442,0.112627,0.009409,0.003976,0.000517
85,0.061643,0.068749,-0.003862,-0.811195,0.021950,0.057118,-90.076256,45.193836,0.112349,0.008836,0.004060,-0.000001
87,0.064073,0.078292,-0.009447,-0.693095,0.093549,0.043438,-90.130180,45.216003,0.109626,0.008394,0.004260,-0.000510
88,0.067007,0.070770,0.008280,-0.043115,0.091958,0.006593,-90.122856,45.222828,0.105234,0.008101,0.004428,-0.000666
89,0.073249,0.063935,0.012490,0.420255,0.292618,-0.042328,-90.088455,45.209972,0.096105,0.008000,0.004251,-0.000357
90,0.067484,0.060112,0.027153,0.804971,0.622481,-0.080790,-90.007721,45.198189,0.074378,0.007880,0.003879,0.000255
91,0.072414,0.064430,0.019613,1.001441,0.661110,-0.092900,-89.944283,45.184719,0.043903,0.007719,0.003573,0.000869
92,0.074467,0.059911,0.014266,1.164905,0.652720,-0.067716,-89.890160,45.162277,0.012713,0.007681,0.003308,0.001091
94,0.071106,0.067245,0.009262,1.120811,0.628369,-0.072876,-89.847221,45.155075,-0.017697,0.007577,0.003136,0.001055
95,0.067830,0.064963,0.004940,0.847923,0.367197,-0.060155,-89.816750,45.149364,-0.041332,0.007319,0.003080,0.000839
96,0.077304,0.065767,-0.014525,0.446722,0.011274,-0.005051,-89.841492,45.132736,-0.050320,0.007191,0.002987,0.000201
97,0.071969,0.063272,-0.009522,0.223974,-0.062890,0.015778,-89.855530,45.121243,-0.049094,0.007127,0.002864,-0.000579
98,0.067772,0.066186,-0.006789,0.052807,-0.090346,0.001977,-89.866844,45.119732,-0.045456,0.006846,0.002757,-0.001033
99,0.064887,0.066790,-0.003790,0.079118,-0.122806,0.013720,-89.871223,45.123035,-0.040398,0.006445,0.002725,-0.001268
101,0.061357,0.068662,-0.006272,0.101614,-0.111401,0.036884,-89.881386,45.134464,-0.034833,0.005966,0.002731,-0.001434
102,0.063543,0.069154,-0.003302,0.216355,-0.128411,0.050434,-89.880882,45.144184,-0.029129,0.005529,0.002764,-0.001544
103,0.068678,0.067554,-0.004818,0.206310,-0.133057,0.041401,-89.882507,45.144630,-0.022910,0.005296,0.002751,-0.001592
104,0.065275,0.065579,-0.006104,0.220209,-0.147882,0.035616,-89.887344,45.146805,-0.016231,0.005114,0.002654,-0.001674
105,0.065545,0.063243,-0.002718,0.212990,-0.150413,0.035924,-89.882339,45.145248,-0.009141,0.004879,0.002477,-0.001686
106,0.068461,0.069167,0.001222,0.220766,-0.176476,0.040650,-89.865776,45.147987,-0.001372,0.004726,0.002393,-0.001542
108,0.069968,0.073214,-0.000295,0.095457,-0.160359,0.020131,-89.855164,45.154041,0.006631,0.004664,0.002507,-0.001372
109,0.065403,0.079299,-0.002355,0.083472,-0.135915,0.017995,-89.853233,45.174625,0.013667,0.004526,0.002777,-0.001301
