seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
7326,-0.000742,0.077067,0.077750,0.021428,-0.089319,0.011197,44.746975,0.388082,0.384661,0.000000,0.000000,0.000000
7328,-0.004831,0.076816,0.069834,0.153193,0.000584,-0.047914,44.749874,0.387463,0.383185,-0.000164,0.001657,0.002535
7329,0.000041,0.077570,0.073461,0.108008,-0.102434,0.055235,44.754219,0.386171,0.382077,-0.000275,0.002947,0.004411
7330,0.000445,0.077652,0.078984,-0.005337,-0.132647,0.064268,44.755920,0.381987,0.380733,-0.000258,0.003951,0.006024
7331,-0.001721,0.078453,0.079538,-0.001671,-0.080999,0.012983,44.755795,0.378552,0.379140,-0.000276,0.004726,0.007362
7332,-0.003919,0.084225,0.082038,0.072233,-0.016875,-0.030162,44.756962,0.377595,0.377788,-0.000374,0.005428,0.008417
7333,-0.004469,0.092246,0.081242,0.267207,0.007251,-0.055310,44.762611,0.378484,0.376663,-0.000502,0.006209,0.009220
7335,-0.008475,0.092401,0.075861,0.395581,0.098090,-0.134947,44.773655,0.381964,0.375649,-0.000687,0.006938,0.009667
7336,-0.008435,0.082024,0.075571,0.176405,0.106475,-0.140746,44.783184,0.387621,0.374788,-0.000904,0.007263,0.009843
7337,-0.004076,0.079887,0.072455,0.155965,0.004695,-0.030581,44.788708,0.390947,0.374067,-0.000982,0.007227,0.009851
7338,-0.002449,0.075124,0.077125,-0.071140,-0.053243,0.008173,44.790115,0.390636,0.373232,-0.000920,0.007018,0.009825
7339,0.000545,0.071572,0.076863,-0.153629,-0.126136,0.078123,44.786366,0.387501,0.372146,-0.000776,0.006648,0.009829
7340,0.003403,0.072635,0.075798,-0.108494,-0.194465,0.144798,44.781986,0.381091,0.371019,-0.000544,0.006269,0.009743
7342,0.002329,0.077261,0.073272,0.056949,-0.178511,0.118312,44.781120,0.373590,0.369753,-0.000325,0.006045,0.009544
7343,-0.000501,0.082430,0.076143,0.138633,-0.113153,0.044901,44.784370,0.368223,0.368259,-0.000229,0.006022,0.009335
7344,-0.003998,0.082554,0.072694,0.215160,-0.023427,-0.029694,44.790257,0.366429,0.366836,-0.000275,0.006070,0.009101
7345,-0.008066,0.083104,0.075312,0.169310,0.078882,-0.119465,44.796661,0.368837,0.365723,-0.000457,0.006081,0.008845
7346,-0.012190,0.079432,0.076990,0.048945,0.184613,-0.233254,44.800289,0.376095,0.364645,-0.000756,0.005990,0.008673
7347,-0.009118,0.076764,0.081324,-0.132770,0.116418,-0.168578,44.798885,0.384374,0.363428,-0.001004,0.005758,0.008601
7349,-0.007475,0.073791,0.079764,-0.174301,0.075285,-0.125150,44.793747,0.390091,0.362205,-0.001100,0.005430,0.008544
7350,-0.006149,0.073010,0.077487,-0.128073,0.030161,-0.108950,44.788700,0.394087,0.360675,-0.001109,0.005067,0.008370
7351,-0.002798,0.070513,0.074657,-0.111738,-0.040278,-0.040474,44.784691,0.395721,0.358788,-0.001019,0.004688,0.008082
7352,0.000362,0.068842,0.074009,-0.123098,-0.124050,0.048625,44.780766,0.393682,0.356955,-0.000815,0.004281,0.007739
7353,0.000360,0.066980,0.067129,-0.009511,-0.128748,0.057400,44.778545,0.389446,0.355242,-0.000589,0.003868,0.007275
7354,0.001226,0.063129,0.068918,-0.136796,-0.156785,0.073479,44.776096,0.384532,0.353438,-0.000392,0.003410,0.006768
7356,0.001354,0.062304,0.069483,-0.189226,-0.155680,0.087196,44.770641,0.378949,0.351671,-0.000217,0.002940,0.006375
7357,0.000177,0.063531,0.070530,-0.184446,-0.141179,0.063752,44.764408,0.373665,0.349973,-0.000099,0.002563,0.006060
7358,0.001344,0.070234,0.068836,-0.007695,-0.164890,0.085953,44.761192,0.368286,0.348153,-0.000007,0.002407,0.005763
7359,0.000420,0.078095,0.074932,0.053973,-0.149226,0.078568,44.761955,0.362638,0.346413,0.000069,0.002554,0.005581
7360,-0.006446,0.080563,0.071344,0.204156,0.008050,-0.077699,44.766235,0.360957,0.344766,-0.000023,0.002854,0.005452
7361,-0.005521,0.082345,0.076875,0.146273,0.001900,-0.066142,44.772072,0.362763,0.343181,-0.000211,0.003153,0.005355
7363,-0.010751,0.092646,0.081872,0.246586,0.118324,-0.180665,44.778610,0.367083,0.341672,-0.000440,0.003601,0.005450
7364,-0.012294,0.090821,0.085585,0.123963,0.164831,-0.211112,44.784779,0.375032,0.340362,-0.000748,0.004092,0.005660
7365,-0.014158,0.092229,0.084445,0.179247,0.224322,-0.260706,44.789825,0.385175,0.339350,-0.001049,0.004441,0.005837
7366,-0.008521,0.092583,0.088104,0.102447,0.105963,-0.151525,44.794514,0.393922,0.338352,-0.001204,0.004719,0.005988
7367,-0.007336,0.101052,0.086512,0.310884,0.075998,-0.124304,44.801395,0.399313,0.337227,-0.001184,0.005078,0.006107
7368,-0.000207,0.092878,0.083491,0.214088,-0.088462,0.042677,44.810135,0.400124,0.336115,-0.000999,0.005332,0.006071
7370,0.000847,0.088176,0.085887,0.060248,-0.130007,0.064030,44.814701,0.396288,0.334811,-0.000689,0.005244,0.005993
7371,-0.000549,0.089948,0.087024,0.037179,-0.096574,0.024663,44.816315,0.392567,0.333198,-0.000450,0.005085,0.005962
7372,0.003184,0.089690,0.094025,-0.130753,-0.180050,0.118239,44.814747,0.387618,0.331638,-0.000215,0.004959,0.006059
7373,0.001974,0.080748,0.091261,-0.290759,-0.169824,0.094467,44.807705,0.380982,0.330043,0.000019,0.004649,0.006179
7374,0.001461,0.088573,0.088715,-0.070388,-0.170223,0.078700,44.801674,0.374927,0.328097,0.000168,0.004357,0.006129
7375,-0.001477,0.092200,0.087994,0.036709,-0.098914,0.018068,44.801102,0.370608,0.326081,0.000215,0.004324,0.005988
7377,0.000590,0.087335,0.085764,0.025564,-0.152931,0.062219,44.802124,0.366687,0.324072,0.000234,0.004247,0.005782
7378,-0.002348,0.088189,0.081481,0.146798,-0.088554,-0.012911,44.804985,0.363252,0.321819,0.000230,0.004082,0.005458
7379,-0.002503,0.080809,0.081655,-0.007686,-0.078486,-0.027386,44.807285,0.361750,0.319381,0.000165,0.003800,0.005090
7380,-0.003811,0.080982,0.084714,-0.077334,-0.036086,-0.056540,44.805859,0.361381,0.317043,0.000085,0.003415,0.004835
7381,-0.003686,0.080194,0.080571,-0.005967,-0.047619,-0.055073,44.804455,0.361702,0.314740,-0.000001,0.003082,0.004583
7382,-0.002402,0.081813,0.078192,0.072840,-0.069376,-0.040296,44.805553,0.361439,0.312238,-0.000040,0.002819,0.004231
7384,-0.003279,0.078909,0.077423,0.028805,-0.055168,-0.041020,44.807236,0.360921,0.309813,-0.000063,0.002570,0.003868
7385,-0.003621,0.086782,0.081065,0.117947,-0.052809,-0.037954,44.809662,0.360572,0.307611,-0.000104,0.002457,0.003617
7386,-0.002658,0.077324,0.083223,-0.143042,-0.063078,-0.028537,44.809235,0.359983,0.305464,-0.000123,0.002323,0.003511
7387,-0.000412,0.075978,0.087686,-0.298836,-0.110488,0.026333,44.801853,0.357956,0.303399,-0.000075,0.001992,0.003535
7388,-0.001668,0.082599,0.091719,-0.258783,-0.090250,0.023432,44.792553,0.354998,0.301630,-0.000018,0.001825,0.003697
7389,-0.004537,0.086653,0.084976,-0.008217,-0.010509,-0.050617,44.788090,0.354125,0.300126,-0.000053,0.001891,0.003747
