seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
3914,0.008372,-0.012187,-0.007809,0.445681,1.342683,0.185500,0.000000,47.029560,0.000000,0.000000,0.000000,0.000000
3915,0.042399,-0.017854,-0.002618,0.364581,0.844696,0.116044,0.010128,47.013260,0.005026,0.000009,-0.000392,-0.000575
3916,0.058902,-0.007731,-0.003371,0.346748,0.837261,0.116981,0.016487,46.967495,0.008909,0.001001,-0.000609,-0.000933
3917,0.061296,-0.015954,-0.011355,0.213521,0.708731,0.092492,0.019370,46.927544,0.012401,0.002136,-0.000737,-0.001376
3918,0.061546,-0.018434,-0.020742,0.153992,0.564555,0.068819,0.019121,46.896027,0.015089,0.003059,-0.001041,-0.002051
3919,0.065315,-0.019494,-0.022703,0.081052,0.293668,0.037045,0.017278,46.855232,0.016854,0.003837,-0.001340,-0.002786
3921,0.061451,-0.019037,-0.030763,-0.172508,0.167444,0.031403,0.011817,46.824444,0.017994,0.004418,-0.001576,-0.003536
3922,0.046768,-0.031716,-0.036676,-0.522545,-0.146508,0.009711,0.000176,46.814369,0.018680,0.004481,-0.001989,-0.004371
3923,0.046509,-0.039399,-0.032874,-0.605775,-0.296675,0.007916,-0.013972,46.791374,0.018973,0.004210,-0.002694,-0.005035
3924,0.049586,-0.042654,-0.029519,-0.501789,-0.236768,0.016512,-0.024325,46.757854,0.019381,0.004027,-0.003441,-0.005381
3925,0.060661,-0.044465,-0.037220,-0.430730,-0.189157,0.023350,-0.029899,46.722099,0.020045,0.004135,-0.004099,-0.005702
3926,0.056231,-0.046770,-0.032582,-0.146519,-0.128347,0.025536,-0.029640,46.687412,0.020860,0.004322,-0.004667,-0.005975
3928,0.055626,-0.044029,-0.031296,0.219880,-0.001640,0.024699,-0.021314,46.654800,0.021697,0.004342,-0.005071,-0.006035
3929,0.054433,-0.037964,-0.037483,0.417821,0.146004,0.040124,-0.008016,46.637207,0.022777,0.004295,-0.005182,-0.006138
3930,0.045704,-0.036548,-0.038065,0.414455,0.150073,0.056520,0.004391,46.634735,0.024388,0.004038,-0.005090,-0.006312
3931,0.030694,-0.045862,-0.034642,0.405295,0.125966,0.062046,0.013541,46.647186,0.026364,0.003349,-0.005140,-0.006352
3932,0.035477,-0.048201,-0.032486,0.380201,0.015572,0.048205,0.019975,46.647896,0.028202,0.002592,-0.005374,-0.006234
3933,0.037188,-0.049982,-0.036940,0.381019,0.066718,0.065811,0.024495,46.651649,0.030102,0.002111,-0.005602,-0.006147
3935,0.039432,-0.049804,-0.029304,0.356721,-0.159806,0.038564,0.027594,46.638584,0.031842,0.001800,-0.005775,-0.005978
3936,0.040761,-0.049002,-0.031720,0.333219,-0.340531,0.004830,0.029319,46.620358,0.032565,0.001616,-0.005854,-0.005706
3937,0.043929,-0.040331,-0.032621,0.306060,-0.403162,-0.013039,0.029980,46.595123,0.032428,0.001550,-0.005694,-0.005523
3938,0.047020,-0.042610,-0.039096,0.306357,-0.286632,-0.000805,0.030139,46.575775,0.032197,0.001610,-0.005409,-0.005489
3939,0.051032,-0.038805,-0.035197,0.293362,-0.266903,-0.012586,0.030101,46.547722,0.031974,0.001785,-0.005122,-0.005478
3940,0.041069,-0.039643,-0.043020,0.298503,-0.030865,0.004062,0.029975,46.548473,0.031832,0.001795,-0.004808,-0.005510
3942,0.046838,-0.041576,-0.036308,0.293145,0.061653,0.017212,0.029876,46.537346,0.032187,0.001709,-0.004587,-0.005523
3943,0.052009,-0.048599,-0.034306,0.298293,0.165897,0.031406,0.029799,46.519581,0.032997,0.001844,-0.004560,-0.005327
3944,0.038081,-0.045097,-0.034332,0.298845,0.290337,0.040708,0.029814,46.524483,0.034199,0.001767,-0.004578,-0.005102
3945,0.037568,-0.048777,-0.037211,0.292000,0.372324,0.034946,0.029747,46.537594,0.035460,0.001415,-0.004567,-0.004951
3946,0.045148,-0.053321,-0.036849,0.282427,0.349787,0.032324,0.029491,46.540932,0.036581,0.001269,-0.004689,-0.004851
3947,0.041432,-0.053703,-0.041326,0.290879,0.401783,0.040120,0.029284,46.556152,0.037788,0.001222,-0.004851,-0.004822
3949,0.039443,-0.051564,-0.045173,0.675408,0.651321,0.068323,0.034040,46.584637,0.039596,0.001067,-0.004912,-0.004931
3950,0.050223,-0.049799,-0.046477,0.970584,0.656535,0.064607,0.046104,46.604790,0.041811,0.001110,-0.004852,-0.005086
3951,0.044172,-0.032184,-0.044549,1.169005,0.485945,0.063965,0.061325,46.627785,0.043954,0.001229,-0.004397,-0.005161
3952,0.031542,-0.023198,-0.040504,1.138060,0.331279,0.047109,0.074831,46.656673,0.045805,0.000950,-0.003496,-0.005071
3953,0.028932,-0.021077,-0.037574,1.068280,0.223009,0.030806,0.083703,46.680557,0.047104,0.000429,-0.002554,-0.004832
3954,0.028028,-0.010551,-0.033298,0.630337,-0.170987,-0.017433,0.084010,46.691223,0.047327,-0.000048,-0.001558,-0.004475
3956,0.028236,-0.005680,-0.031051,0.287926,-0.252460,-0.021289,0.074484,46.690483,0.046681,-0.000433,-0.000471,-0.004041
3957,0.037341,-0.019060,-0.032903,0.037915,-0.155629,-0.007308,0.059937,46.680386,0.046205,-0.000549,0.000214,-0.003669
3958,0.038539,-0.019790,-0.033853,0.039624,0.067906,0.023925,0.045921,46.675354,0.046482,-0.000435,0.000471,-0.003411
3959,0.038274,-0.016616,-0.036254,0.067843,0.230980,0.042327,0.035784,46.680550,0.047586,-0.000326,0.000716,-0.003253
3960,0.050375,-0.019181,-0.035729,0.086281,0.261781,0.049795,0.028766,46.671936,0.049121,-0.000007,0.000915,-0.003146
3961,0.050679,-0.017853,-0.035932,0.096736,0.201542,0.058494,0.023863,46.662697,0.050926,0.000482,0.001040,-0.003036
3963,0.044450,-0.019731,-0.037539,0.114227,0.189032,0.056576,0.020535,46.662903,0.052844,0.000746,0.001120,-0.002966
3964,0.056127,-0.017081,-0.037591,0.111958,0.094281,0.042914,0.018228,46.645653,0.054502,0.001053,0.001190,-0.002925
3965,0.059693,-0.018632,-0.036549,0.106812,0.066099,0.054790,0.016404,46.619999,0.056130,0.001582,0.001258,-0.002855
3966,0.034130,-0.022026,-0.045449,0.104786,0.264655,0.076609,0.014949,46.644295,0.058320,0.001556,0.001208,-0.002936
3967,0.039485,-0.025759,-0.044323,0.067405,0.111340,0.046055,0.013363,46.660564,0.060365,0.001132,0.001021,-0.003132
3968,0.043312,-0.021572,-0.042661,0.010587,-0.177159,0.007648,0.010997,46.661976,0.061260,0.000973,0.000878,-0.003210
3970,0.032016,-0.022979,-0.046523,0.002860,-0.202345,0.008873,0.008417,46.678860,0.061535,0.000698,0.000816,-0.003294
3971,0.031366,-0.022972,-0.049498,-0.003137,-0.268030,-0.000273,0.006311,46.699387,0.061679,0.000246,0.000734,-0.003471
3972,0.036973,-0.021235,-0.041003,-0.014842,-0.381743,-0.020927,0.004508,46.697285,0.061325,-0.000011,0.000700,-0.003480
3973,0.025223,-0.020105,-0.041384,-0.001072,-0.208354,-0.001054,0.003182,46.712505,0.060959,-0.000332,0.000725,-0.003306
3974,0.033351,-0.021025,-0.039234,0.035861,0.053807,0.032926,0.002820,46.721039,0.061490,-0.000650,0.000744,-0.003115
