seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
69,0.000274,0.000826,-0.063889,0.398863,-0.017355,-2.217192,179.259201,-0.245553,-179.996826,0.000000,0.000000,0.000000
71,0.003198,0.040868,-0.071043,-1.260005,0.159997,-0.048750,179.244690,-0.247437,-179.959030,0.000014,-0.000577,-0.003118
72,0.001351,0.030881,-0.067653,-1.058205,0.110579,-0.037890,179.206039,-0.251920,-179.957520,0.000048,-0.000436,-0.005708
73,0.003138,0.028295,-0.066374,-0.971093,0.166061,-0.033722,179.172211,-0.256513,-179.956268,0.000073,-0.000575,-0.007701
74,0.001044,0.017191,-0.067297,-0.625526,0.101244,-0.026917,179.145599,-0.260953,-179.955185,0.000088,-0.000952,-0.009249
75,-0.000221,0.017254,-0.064120,-0.578978,0.057384,-0.012225,179.125519,-0.263586,-179.954498,0.000033,-0.001455,-0.010353
76,0.001654,0.014656,-0.062198,-0.474788,0.114619,-0.012526,179.107956,-0.266446,-179.954041,0.000002,-0.001887,-0.011049
78,0.000418,0.012819,-0.062978,-0.406458,0.067150,-0.018868,179.093262,-0.269467,-179.953476,-0.000009,-0.002298,-0.011498
79,0.002435,0.010061,-0.057901,-0.305336,0.129082,-0.014445,179.081406,-0.272729,-179.952866,-0.000003,-0.002694,-0.011692
80,0.003030,0.011436,-0.058640,-0.322406,0.154992,-0.011158,179.070938,-0.277456,-179.952362,0.000053,-0.003012,-0.011684
81,-0.000883,-0.001436,-0.059532,0.079249,0.021501,-0.024927,179.066879,-0.280387,-179.951706,0.000031,-0.003465,-0.011636
82,-0.000487,0.000450,-0.063015,0.057689,0.018017,-0.028090,179.069153,-0.281031,-179.950821,-0.000054,-0.004010,-0.011609
83,0.001141,-0.002023,-0.066220,0.130698,0.073645,-0.034508,179.072296,-0.282542,-179.949753,-0.000081,-0.004421,-0.011645
85,-0.001800,-0.006050,-0.065520,0.270881,-0.027636,-0.033762,179.078979,-0.283290,-179.948593,-0.000127,-0.004840,-0.011647
86,0.001461,-0.005849,-0.066032,0.268927,0.071248,-0.038312,179.087967,-0.283998,-179.947388,-0.000156,-0.005210,-0.011572
87,0.005804,0.003325,-0.066916,-0.022934,0.219071,-0.031321,179.092072,-0.288817,-179.946152,-0.000029,-0.005283,-0.011466
88,0.002316,0.007679,-0.065781,-0.191115,0.133821,-0.026061,179.088486,-0.294683,-179.945099,0.000086,-0.005043,-0.011306
89,-0.001140,0.007858,-0.065861,-0.215198,0.021597,-0.037199,179.081711,-0.297256,-179.944000,0.000040,-0.004735,-0.011089
90,-0.004260,0.007587,-0.071242,-0.210824,-0.081525,-0.045021,179.074600,-0.296236,-179.942657,-0.000124,-0.004467,-0.010956
92,-0.004538,0.008034,-0.068626,-0.205731,-0.092605,-0.046907,179.067657,-0.293309,-179.941162,-0.000317,-0.004226,-0.010836
93,-0.006058,0.008712,-0.069772,-0.232554,-0.133464,-0.047809,179.060349,-0.289516,-179.939651,-0.000501,-0.003989,-0.010645
94,-0.003269,0.004599,-0.065519,-0.092039,-0.049908,-0.042730,179.054932,-0.286435,-179.938187,-0.000616,-0.003846,-0.010368
95,-0.004931,0.008233,-0.067385,-0.206477,-0.093473,-0.031782,179.049942,-0.284025,-179.936981,-0.000680,-0.003720,-0.010039
96,-0.002338,0.012932,-0.065455,-0.369741,-0.015035,-0.020598,179.040344,-0.282202,-179.936142,-0.000708,-0.003435,-0.009718
97,-0.000939,0.011740,-0.066431,-0.340986,0.029570,-0.016580,179.028488,-0.282434,-179.935516,-0.000647,-0.003123,-0.009387
99,-0.002514,0.005704,-0.061170,-0.145110,-0.025488,-0.031683,179.020386,-0.282489,-179.934723,-0.000598,-0.003000,-0.008986
100,-0.001143,0.004407,-0.061757,-0.072480,0.014442,-0.036845,179.016754,-0.282285,-179.933578,-0.000561,-0.003029,-0.008525
101,-0.000065,0.001086,-0.056063,0.069413,0.059693,-0.032574,179.016693,-0.283500,-179.932404,-0.000481,-0.003122,-0.008012
102,0.000930,-0.000762,-0.057952,0.135109,0.118239,-0.046841,179.020096,-0.286443,-179.931030,-0.000374,-0.003275,-0.007487
103,-0.002128,-0.002173,-0.055449,0.197659,0.030297,-0.052721,179.025635,-0.288890,-179.929321,-0.000330,-0.003437,-0.007018
104,-0.000347,0.001183,-0.056368,0.070697,0.095159,-0.044755,179.030090,-0.290953,-179.927658,-0.000317,-0.003504,-0.006577
106,-0.003457,-0.000837,-0.056647,0.138235,0.002428,-0.033842,179.033569,-0.292557,-179.926331,-0.000332,-0.003508,-0.006215
107,-0.004779,0.001583,-0.057031,0.027868,-0.049609,-0.035063,179.036331,-0.291751,-179.925186,-0.000427,-0.003480,-0.005906
108,-0.001647,0.003018,-0.052759,-0.004933,0.017243,-0.030726,179.036713,-0.291194,-179.924103,-0.000464,-0.003362,-0.005551
109,-0.000570,-0.000986,-0.054289,0.106465,0.055484,-0.035532,179.038406,-0.292387,-179.922974,-0.000407,-0.003298,-0.005186
110,-0.000559,0.003707,-0.055254,-0.010100,0.050776,-0.028547,179.039993,-0.294140,-179.921890,-0.000339,-0.003214,-0.004918
111,-0.000013,0.005495,-0.059226,-0.093435,0.061965,-0.028627,179.038269,-0.296003,-179.920898,-0.000273,-0.003002,-0.004773
113,0.002411,0.002156,-0.060015,0.048412,0.117886,-0.035988,179.037506,-0.298982,-179.919769,-0.000162,-0.002848,-0.004723
114,-0.003148,-0.001398,-0.067446,0.147670,-0.044282,-0.033627,179.040771,-0.300189,-179.918594,-0.000136,-0.002843,-0.004814
115,-0.003819,0.010434,-0.073037,-0.221311,-0.087717,-0.023940,179.039536,-0.297973,-179.917664,-0.000235,-0.002661,-0.005108
116,-0.006617,0.009615,-0.074926,-0.200997,-0.183638,-0.036192,179.032501,-0.293434,-179.916748,-0.000379,-0.002287,-0.005450
117,-0.005888,0.010407,-0.075796,-0.251809,-0.160950,-0.048278,179.024948,-0.287668,-179.915436,-0.000530,-0.001981,-0.005736
118,-0.000370,0.010877,-0.076815,-0.267148,0.030430,-0.045345,179.016281,-0.285466,-179.913910,-0.000522,-0.001706,-0.005960
120,-0.002504,0.019346,-0.073179,-0.513110,-0.024131,-0.052112,179.003281,-0.285543,-179.912277,-0.000446,-0.001306,-0.006045
121,-0.004386,0.005679,-0.067318,-0.116241,-0.082796,-0.061890,178.992783,-0.283728,-179.910416,-0.000463,-0.001088,-0.005888
122,-0.003651,-0.000101,-0.066456,0.085618,-0.064697,-0.048310,178.992264,-0.281238,-179.908615,-0.000495,-0.001289,-0.005597
123,-0.002733,0.000665,-0.066315,0.097835,-0.047244,-0.047814,178.995316,-0.279345,-179.907059,-0.000485,-0.001536,-0.005315
124,-0.004902,-0.000344,-0.062369,0.128553,-0.127000,-0.036636,178.999069,-0.276416,-179.905701,-0.000498,-0.001723,-0.004982
125,-0.002996,-0.002982,-0.060268,0.197027,-0.070195,-0.024604,179.004501,-0.273112,-179.904739,-0.000510,-0.001929,-0.004572
127,-0.000435,0.004886,-0.067221,-0.007180,0.011744,-0.025778,179.007660,-0.272124,-179.903915,-0.000430,-0.001976,-0.004319
128,0.001458,0.007003,-0.069726,-0.114654,0.081988,-0.026546,179.005615,-0.273671,-179.903015,-0.000277,-0.001805,-0.004278
129,0.003132,0.004633,-0.063303,-0.054615,0.150555,-0.034352,179.002792,-0.277528,-179.901932,-0.000087,-0.001665,-0.004143
130,0.004844,0.010191,-0.060636,-0.224938,0.214562,-0.047861,178.998123,-0.283589,-179.900452,0.000128,-0.001484,-0.003833
131,0.001776,0.007822,-0.062745,-0.177409,0.122710,-0.056817,178.991409,-0.289178,-179.898605,0.000268,-0.001270,-0.003557
132,0.000667,0.001040,-0.060222,0.000372,0.076231,-0.058040,178.988449,-0.292460,-179.896637,0.000294,-0.001274,-0.003311
134,0.002066,0.003283,-0.056220,-0.051812,0.118536,-0.063713,178.987579,-0.295670,-179.894547,0.000318,-0.001358,-0.002971
135,0.002125,0.005592,-0.058153,-0.116923,0.110535,-0.051825,178.984756,-0.299453,-179.892563,0.000363,-0.001326,-0.002647
136,-0.001837,0.001631,-0.064249,-0.048742,-0.016726,-0.062623,178.981995,-0.300982,-179.890625,0.000320,-0.001324,-0.002534
137,0.004078,-0.003138,-0.062675,0.127480,0.147504,-0.063266,178.983292,-0.303124,-179.888489,0.000323,-0.001485,-0.002518
138,0.001972,0.001806,-0.059574,0.016772,0.092886,-0.055762,178.985687,-0.307095,-179.886429,0.000397,-0.001597,-0.002398
139,0.000213,0.003424,-0.063343,-0.042367,0.031527,-0.052592,178.985245,-0.309136,-179.884583,0.000377,-0.001547,-0.002302
140,-0.001524,-0.000820,-0.066978,0.085283,-0.011350,-0.057523,178.985962,-0.309440,-179.882751,0.000290,-0.001549,-0.002357
141,-0.000349,-0.003493,-0.063919,0.227924,0.024102,-0.048760,178.991165,-0.309621,-179.880966,0.000210,-0.001675,-0.002397
142,-0.004906,-0.002940,-0.063379,0.201245,-0.105165,-0.043630,178.998306,-0.308243,-179.879456,0.000081,-0.001805,-0.002342
143,-0.003383,-0.003821,-0.067067,0.226871,-0.062541,-0.039778,179.005432,-0.305424,-179.878113,-0.000080,-0.001900,-0.002345
144,-0.002128,-0.009179,-0.062783,0.407928,-0.024920,-0.041156,179.016006,-0.303944,-179.876785,-0.000151,-0.002085,-0.002322
145,-0.002283,-0.003633,-0.059631,0.225245,-0.037547,-0.049678,179.026550,-0.302877,-179.875290,-0.000183,-0.002211,-0.002144
146,-0.004197,-0.006004,-0.068558,0.288095,-0.108968,-0.048892,179.035110,-0.300407,-179.873703,-0.000248,-0.002234,-0.002104
147,-0.002822,0.006696,-0.073862,-0.111921,-0.069383,-0.053383,179.038025,-0.297407,-179.872040,-0.000307,-0.002036,-0.002337
148,-0.000877,0.007292,-0.071555,-0.186523,0.001099,-0.058667,179.033051,-0.296237,-179.870193,-0.000287,-0.001610,-0.002562
149,-0.003911,0.006899,-0.076815,-0.159560,-0.089229,-0.060138,179.027267,-0.294735,-179.868240,-0.000290,-0.001263,-0.002778
150,-0.001810,-0.000345,-0.077854,0.059225,-0.017792,-0.047272,179.025589,-0.292921,-179.866486,-0.000309,-0.001134,-0.003053
151,-0.001012,0.010116,-0.071727,-0.248282,0.033182,-0.049822,179.022430,-0.293150,-179.864853,-0.000266,-0.000963,-0.003148
153,-0.001307,0.006370,-0.066560,-0.138782,0.017593,-0.044873,179.015976,-0.293969,-179.863266,-0.000220,-0.000693,-0.002982
154,-0.001697,0.002506,-0.064637,0.007339,0.002423,-0.056643,179.013763,-0.294274,-179.861572,-0.000197,-0.000627,-0.002695
155,0.000928,0.005766,-0.060743,-0.117956,0.093033,-0.061808,179.011917,-0.295831,-179.859558,-0.000133,-0.000582,-0.002341
156,-0.005078,0.009894,-0.063653,-0.223311,-0.097682,-0.056522,179.006226,-0.295719,-179.857590,-0.000149,-0.000400,-0.002031
157,-0.006119,0.004491,-0.060431,-0.075203,-0.159079,-0.042864,179.001236,-0.291411,-179.856018,-0.000298,-0.000281,-0.001770
158,-0.006833,0.000397,-0.063222,0.046148,-0.185851,-0.039588,179.000748,-0.285639,-179.854736,-0.000446,-0.000371,-0.001548
159,-0.010643,0.002170,-0.067047,0.008143,-0.315799,-0.028232,179.001648,-0.277260,-179.853760,-0.000647,-0.000484,-0.001493
160,-0.011259,-0.002457,-0.069594,0.188998,-0.353737,-0.018908,179.004929,-0.266089,-179.853165,-0.000886,-0.000624,-0.001565
161,-0.004838,-0.002268,-0.066343,0.162577,-0.143417,-0.027598,179.010788,-0.257791,-179.852524,-0.000953,-0.000817,-0.001598
162,-0.002480,0.004621,-0.067161,-0.042486,-0.038100,-0.039154,179.012787,-0.254747,-179.851471,-0.000829,-0.000823,-0.001565
163,-0.000122,0.004024,-0.066277,-0.021105,0.051153,-0.043784,179.011719,-0.254941,-179.850082,-0.000634,-0.000701,-0.001529
164,0.007462,0.010204,-0.063501,-0.242922,0.311206,-0.049517,179.007309,-0.260952,-179.848419,-0.000285,-0.000492,-0.001420
165,0.006919,0.012782,-0.061234,-0.335837,0.311095,-0.052941,178.997650,-0.271293,-179.846542,0.000126,-0.000155,-0.001227
166,0.003444,0.012284,-0.060834,-0.315229,0.185913,-0.050303,178.986786,-0.279545,-179.844666,0.000368,0.000149,-0.001017
167,0.001653,0.003608,-0.062424,-0.062593,0.110778,-0.053261,178.980484,-0.284458,-179.842865,0.000451,0.000206,-0.000870
168,0.001117,0.002295,-0.063510,0.012617,0.090049,-0.038098,178.979645,-0.287778,-179.841278,0.000468,0.000055,-0.000802
169,-0.003210,-0.004210,-0.063922,0.225505,-0.047204,-0.024243,178.983612,-0.288473,-179.840225,0.000383,-0.000216,-0.000773
170,-0.003922,-0.004164,-0.065120,0.208931,-0.068997,-0.023233,178.990845,-0.286523,-179.839462,0.000217,-0.000551,-0.000777
171,-0.007509,-0.001648,-0.067108,0.135396,-0.183050,-0.025657,178.996582,-0.282308,-179.838730,0.000002,-0.000760,-0.000838
172,-0.006605,-0.003196,-0.065879,0.176895,-0.169481,-0.005281,179.001785,-0.276425,-179.838318,-0.000218,-0.000898,-0.000894
173,-0.008353,-0.006835,-0.068182,0.286820,-0.232007,-0.016339,179.009506,-0.269728,-179.838074,-0.000405,-0.001102,-0.000953
174,-0.008111,-0.001716,-0.068787,0.129924,-0.246579,-0.020089,179.016449,-0.261742,-179.837601,-0.000577,-0.001224,-0.001050
175,-0.006522,-0.001559,-0.072497,0.135916,-0.204548,-0.023893,179.020889,-0.254212,-179.836990,-0.000672,-0.001209,-0.001203
176,0.000558,-0.000770,-0.071040,0.093929,0.026815,-0.020105,179.024704,-0.251238,-179.836319,-0.000573,-0.001172,-0.001358
177,0.001578,0.003387,-0.075120,-0.022539,0.079461,-0.033523,179.025894,-0.252994,-179.835388,-0.000334,-0.001038,-0.001522
178,0.002916,0.005264,-0.070517,-0.078325,0.133734,-0.042177,179.024216,-0.256525,-179.834061,-0.000100,-0.000810,-0.001630
