seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
69,0.000016,0.010360,0.000041,0.047691,-0.004228,0.009980,89.782547,-0.088852,-179.999664,0.000000,0.000000,0.000000
71,0.010127,0.017150,0.011467,-0.317162,0.078269,0.253507,89.778053,-0.093239,-179.998413,0.000143,-0.000850,-0.000169
72,0.005826,0.022083,0.007080,-0.225034,0.080067,0.151762,89.769012,-0.099983,-179.995743,0.000367,-0.001280,-0.000162
73,0.011469,0.008384,0.007273,-0.226635,0.067165,0.326610,89.761482,-0.107946,-179.993256,0.000565,-0.001777,-0.000237
74,0.006425,-0.000311,0.003608,-0.113029,0.062950,0.196028,89.755821,-0.116647,-179.991058,0.000728,-0.002590,-0.000362
75,0.004660,-0.007208,0.000717,-0.013227,0.059974,0.133560,89.753716,-0.122131,-179.988983,0.000717,-0.003511,-0.000585
76,-0.001517,-0.008000,0.002986,-0.083304,0.048775,-0.077352,89.752106,-0.123060,-179.987167,0.000550,-0.004356,-0.000767
78,0.002004,-0.008628,0.003292,-0.084574,0.040775,0.019159,89.749306,-0.122084,-179.985672,0.000364,-0.005015,-0.000854
79,0.001031,-0.004042,-0.003547,0.147310,0.060238,-0.001765,89.750343,-0.122366,-179.983994,0.000266,-0.005420,-0.001044
80,0.000616,0.007104,-0.004711,0.216914,0.046447,-0.022665,89.756416,-0.121952,-179.982224,0.000161,-0.005395,-0.001341
81,0.002027,0.014132,-0.000803,0.093073,0.043466,0.024856,89.761581,-0.121982,-179.980713,0.000098,-0.004986,-0.001511
82,0.002480,0.018095,-0.001107,0.095279,0.044919,0.053295,89.764717,-0.123278,-179.979233,0.000084,-0.004422,-0.001563
83,0.006854,0.019441,-0.004245,0.210408,0.050226,0.191589,89.769806,-0.127353,-179.977631,0.000167,-0.003851,-0.001661
85,0.004182,0.018715,-0.001930,0.147155,0.049143,0.112577,89.775764,-0.132416,-179.975967,0.000264,-0.003368,-0.001743
86,0.004439,0.011999,0.001167,0.040383,0.043284,0.112522,89.778893,-0.136162,-179.974411,0.000291,-0.003116,-0.001690
87,0.005840,0.014262,0.002601,-0.013071,0.047838,0.135288,89.779335,-0.140286,-179.972870,0.000342,-0.002987,-0.001550
88,0.005634,0.008528,-0.002650,0.150189,0.056622,0.119734,89.781616,-0.144530,-179.971115,0.000403,-0.002934,-0.001506
89,-0.000100,0.003723,0.007485,-0.156681,0.047421,-0.068802,89.781509,-0.145372,-179.969376,0.000332,-0.003080,-0.001366
90,-0.001809,0.004150,0.006853,-0.176124,0.043139,-0.133763,89.775955,-0.141990,-179.967880,0.000130,-0.003259,-0.001063
92,0.000612,0.004617,0.001414,-0.009657,0.057690,-0.062587,89.772850,-0.138711,-179.966217,-0.000015,-0.003361,-0.000939
93,0.000898,0.003163,-0.005437,0.226881,0.049426,-0.035256,89.776466,-0.137073,-179.964432,-0.000075,-0.003438,-0.001075
94,0.002994,0.006181,0.004671,-0.074818,0.049880,0.037091,89.779007,-0.137097,-179.962784,-0.000074,-0.003446,-0.001111
95,0.002234,0.005653,-0.002261,0.098502,0.058650,0.014533,89.779404,-0.137951,-179.960968,-0.000048,-0.003382,-0.001071
96,0.003862,0.007227,0.001561,0.006003,0.054132,0.062567,89.781136,-0.139228,-179.959076,-0.000010,-0.003290,-0.001093
97,0.006000,0.005462,0.007148,-0.178868,0.049736,0.133561,89.778259,-0.142491,-179.957336,0.000093,-0.003201,-0.000919
99,0.002543,0.006694,0.006536,-0.182856,0.045560,0.019869,89.772209,-0.145041,-179.955734,0.000147,-0.003122,-0.000682
100,0.001499,0.010357,0.000137,0.019369,0.037588,-0.020663,89.769485,-0.145023,-179.954361,0.000101,-0.002944,-0.000628
101,0.003069,0.015285,0.001418,0.000955,0.029825,0.028524,89.769821,-0.145149,-179.953232,0.000074,-0.002620,-0.000683
102,0.003677,0.016696,0.001069,-0.001062,0.038866,0.047260,89.769821,-0.146408,-179.952087,0.000095,-0.002227,-0.000703
103,-0.003463,0.015269,0.000836,0.009265,0.045859,-0.183058,89.769951,-0.144139,-179.950684,-0.000016,-0.001907,-0.000725
104,-0.002420,0.017268,0.003553,-0.069335,0.061279,-0.164283,89.768944,-0.138343,-179.948914,-0.000222,-0.001634,-0.000689
106,-0.005374,0.012891,0.004355,-0.090969,0.057140,-0.254651,89.766266,-0.131352,-179.946976,-0.000418,-0.001457,-0.000589
107,-0.006498,0.007377,0.005087,-0.103794,0.068050,-0.296721,89.763016,-0.122154,-179.944916,-0.000647,-0.001503,-0.000477
108,-0.004074,0.013075,0.001913,0.003545,0.055313,-0.230336,89.761345,-0.113362,-179.942902,-0.000797,-0.001525,-0.000434
109,-0.000452,0.013970,0.005762,-0.107372,0.044341,-0.097413,89.759621,-0.107892,-179.941269,-0.000791,-0.001405,-0.000384
110,0.002111,0.013770,0.003564,-0.044253,0.033133,0.007897,89.757088,-0.106395,-179.939972,-0.000660,-0.001288,-0.000311
111,0.004269,0.011380,0.004231,-0.076795,0.031302,0.083032,89.755066,-0.107906,-179.938904,-0.000462,-0.001240,-0.000282
113,0.003395,0.015181,-0.000290,0.061297,0.031127,0.058471,89.754807,-0.110260,-179.937851,-0.000280,-0.001166,-0.000333
114,0.000238,0.007589,0.004219,-0.072403,0.031813,-0.028743,89.754623,-0.110751,-179.936798,-0.000215,-0.001176,-0.000370
115,-0.000100,0.011731,-0.000862,0.072736,0.040765,-0.057688,89.754623,-0.109305,-179.935593,-0.000231,-0.001243,-0.000408
116,-0.002959,0.007457,-0.002368,0.136673,0.045634,-0.169399,89.758110,-0.105514,-179.934174,-0.000304,-0.001290,-0.000564
117,-0.001247,0.010962,-0.001485,0.128123,0.057688,-0.111927,89.762520,-0.100818,-179.932465,-0.000381,-0.001333,-0.000694
118,0.000872,0.012668,0.004919,-0.089577,0.047068,-0.039348,89.763161,-0.098290,-179.930725,-0.000365,-0.001257,-0.000648
120,0.004430,0.015483,-0.001735,0.102681,0.056922,0.071998,89.763367,-0.098827,-179.929001,-0.000239,-0.001101,-0.000614
121,0.003597,0.013962,-0.000727,0.082952,0.049384,0.057412,89.766464,-0.100976,-179.927216,-0.000086,-0.000948,-0.000693
122,0.000945,0.011391,0.004638,-0.088347,0.053093,-0.023154,89.766373,-0.101540,-179.925507,-0.000034,-0.000902,-0.000626
123,0.000867,0.012654,0.002265,-0.023204,0.042345,-0.029664,89.764511,-0.100653,-179.923920,-0.000047,-0.000886,-0.000512
124,-0.002078,0.014326,0.000878,0.023783,0.050270,-0.115739,89.764526,-0.098224,-179.922379,-0.000115,-0.000811,-0.000493
125,-0.001143,0.009366,0.005893,-0.130635,0.045865,-0.086930,89.762741,-0.094839,-179.920792,-0.000207,-0.000811,-0.000404
127,-0.000182,0.010199,0.005850,-0.139941,0.056418,-0.047086,89.758224,-0.092599,-179.919098,-0.000240,-0.000886,-0.000235
128,0.002155,0.008384,0.005034,-0.120109,0.051464,0.036035,89.753891,-0.092407,-179.917297,-0.000200,-0.000959,-0.000119
129,0.003055,0.003622,0.002508,-0.058544,0.048125,0.060906,89.750916,-0.094015,-179.915634,-0.000105,-0.001137,-0.000093
130,0.003618,0.007571,-0.001292,0.075293,0.052404,0.077557,89.751190,-0.096316,-179.913956,-0.000001,-0.001285,-0.000195
131,-0.003141,0.014201,0.000766,0.019533,0.061054,-0.144759,89.752777,-0.095187,-179.912064,-0.000041,-0.001186,-0.000307
132,-0.000845,0.012248,0.000542,0.017899,0.059298,-0.101801,89.753387,-0.091070,-179.910080,-0.000159,-0.001010,-0.000357
134,-0.000837,0.016090,0.002160,-0.036426,0.057834,-0.096143,89.753082,-0.087762,-179.908142,-0.000205,-0.000829,-0.000367
135,0.001568,0.023915,0.000240,0.032414,0.071145,-0.019497,89.753014,-0.085825,-179.905991,-0.000193,-0.000456,-0.000378
136,0.003944,0.014885,0.000816,0.020684,0.063175,0.070226,89.753891,-0.086661,-179.903748,-0.000089,-0.000185,-0.000410
137,0.007509,0.010038,-0.004072,0.177885,0.047156,0.202213,89.757195,-0.091194,-179.901901,0.000109,-0.000244,-0.000517
138,0.008624,0.013945,-0.000402,0.082539,0.041015,0.256096,89.761536,-0.098826,-179.900391,0.000353,-0.000306,-0.000620
139,0.009171,0.018246,-0.005699,0.247887,0.039138,0.276395,89.767036,-0.107696,-179.899017,0.000574,-0.000193,-0.000729
141,0.006061,0.009369,-0.003635,0.184601,0.028946,0.181741,89.774246,-0.115327,-179.897858,0.000693,-0.000192,-0.000872
142,0.002238,0.018767,0.001436,0.015275,0.020653,0.039137,89.777573,-0.119005,-179.897018,0.000645,-0.000181,-0.000839
