seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
1,0.046529,-0.013735,-0.002969,0.216792,-0.480797,0.132093,0.000000,-89.815102,0.000000,0.000000,0.000000,0.000000
2,0.023525,-0.002308,0.019185,0.087787,-0.384362,0.085651,0.003806,-89.792313,0.003629,0.000411,-0.000121,-0.000053
3,0.019106,0.000606,0.014719,-0.018720,-0.230999,0.059902,0.003717,-89.774094,0.006055,0.000194,0.000066,0.000251
4,0.033815,0.006448,0.007767,-0.138334,0.186364,0.039580,0.000825,-89.759224,0.007713,0.000225,0.000381,0.000263
5,0.036656,0.019450,0.032794,-0.245217,0.762380,0.071803,-0.004175,-89.676079,0.009569,0.000589,0.000992,0.000624
6,0.026213,0.022888,0.013920,-0.550068,0.349224,0.394147,-0.013073,-89.624481,0.017335,0.000721,0.001782,0.001021
8,0.029528,0.018406,0.002859,-0.515800,0.309733,0.410744,-0.023128,-89.603775,0.030750,0.000681,0.002367,0.000740
9,0.028775,0.016376,0.001055,-0.448709,0.275965,0.403181,-0.029404,-89.588783,0.044315,0.000695,0.002680,0.000266
10,0.017118,0.005306,0.000249,-0.318879,-0.035642,0.392915,-0.031649,-89.584160,0.057584,0.000459,0.002652,-0.000156
11,0.008386,-0.008481,-0.030124,-0.174118,-0.669110,0.329853,-0.029898,-89.652275,0.069630,-0.000124,0.002129,-0.001092
12,0.011096,-0.013184,-0.011532,0.101680,-0.182266,-0.030749,-0.023327,-89.685104,0.074615,-0.000696,0.001348,-0.002044
13,0.008665,-0.010654,-0.011859,0.093919,-0.105447,-0.069590,-0.015051,-89.710182,0.072943,-0.001132,0.000687,-0.002417
15,0.012413,-0.009995,-0.014131,0.067226,-0.299761,-0.031887,-0.009275,-89.741394,0.071251,-0.001439,0.000230,-0.002744
16,0.008386,-0.008040,-0.010927,0.034028,-0.275175,-0.027890,-0.005692,-89.770126,0.070255,-0.001674,-0.000077,-0.002962
17,0.008789,-0.012012,-0.009154,0.047671,-0.053624,-0.052066,-0.003247,-89.788521,0.068922,-0.001918,-0.000355,-0.003017
18,0.010896,-0.011291,-0.015388,0.050536,-0.048914,-0.056263,-0.001209,-89.813454,0.067117,-0.002047,-0.000632,-0.003127
19,0.040898,-0.007410,-0.005555,0.102012,-0.296738,-0.058846,0.001001,-89.828049,0.065198,-0.001508,-0.000755,-0.003124
20,0.039042,-0.008319,0.006857,0.142944,-0.034631,-0.117428,0.003814,-89.818771,0.062261,-0.000530,-0.000788,-0.002667
22,0.039523,-0.007801,0.006849,0.167776,0.010782,-0.135717,0.006746,-89.804703,0.058041,0.000209,-0.000817,-0.002052
23,0.041279,-0.009876,0.001978,0.162276,-0.179963,-0.110605,0.009183,-89.801392,0.053936,0.000827,-0.000864,-0.001655
24,0.037186,-0.010633,0.009406,0.177618,-0.086985,-0.127642,0.011136,-89.785515,0.049965,0.001258,-0.000951,-0.001285
25,0.006506,-0.012749,0.006368,0.139326,0.119541,-0.133789,0.012314,-89.769249,0.045608,0.000909,-0.001068,-0.000903
26,0.010276,-0.019447,-0.004909,0.121475,-0.113142,-0.108740,0.012495,-89.768890,0.041566,0.000106,-0.001324,-0.000879
27,-0.072400,-0.039797,-0.030674,0.074691,-0.097626,-0.043187,0.011824,-89.769333,0.039034,-0.002059,-0.002043,-0.001576
29,-0.074225,-0.040215,-0.029600,0.064863,-0.116564,-0.022585,0.010614,-89.891022,0.037938,-0.005380,-0.002995,-0.002590
30,-0.070462,-0.039782,-0.020627,0.042074,-0.186537,-0.010037,0.009298,-89.986496,0.037394,-0.007897,-0.003718,-0.003169
31,-0.066029,-0.048688,-0.012629,0.027412,-0.130241,-0.002328,0.007844,-90.074585,0.037188,-0.009649,-0.004423,-0.003269
32,-0.075871,-0.045267,-0.004944,0.030941,0.061468,-0.019963,0.006611,-90.135208,0.036816,-0.011059,-0.005052,-0.003021
33,0.006832,-0.026231,0.021836,0.063872,-0.008439,-0.070965,0.006143,-90.139145,0.035301,-0.010668,-0.005072,-0.002137
34,0.009084,-0.025584,0.033849,0.049971,-0.002259,-0.081921,0.006030,-90.052414,0.032753,-0.008640,-0.004672,-0.000677
36,0.006118,-0.025250,0.030662,0.061616,0.000767,-0.068904,0.005918,-89.976753,0.030239,-0.007017,-0.004311,0.000636
37,0.006548,-0.021601,0.024130,0.058120,0.008122,-0.060742,0.005933,-89.918564,0.028078,-0.005757,-0.003924,0.001467
38,0.012636,-0.020974,0.020190,0.038504,0.003428,-0.051371,0.005659,-89.869644,0.026210,-0.004612,-0.003515,0.001902
39,0.015040,-0.017072,0.016101,0.043145,0.009219,-0.033452,0.005265,-89.832108,0.024796,-0.003523,-0.003085,0.002071
40,0.015989,-0.018420,0.008835,0.068297,0.013345,-0.030879,0.005341,-89.807129,0.023724,-0.002587,-0.002681,0.001970
41,0.016439,-0.017966,0.003905,0.058678,0.007004,-0.031343,0.005592,-89.791756,0.022687,-0.001814,-0.002366,0.001640
43,0.018368,-0.020437,0.002868,0.058230,-0.009461,-0.028840,0.005656,-89.777008,0.021684,-0.001153,-0.002144,0.001256
44,0.015638,-0.023602,0.000119,0.071080,-0.010627,-0.026418,0.005858,-89.764809,0.020763,-0.000646,-0.002068,0.000875
45,0.014399,-0.027652,-0.006362,0.068750,-0.007327,-0.035883,0.006140,-89.758881,0.019724,-0.000324,-0.002136,0.000393
46,0.011700,-0.024387,-0.002844,0.059117,-0.021845,-0.031755,0.006204,-89.751587,0.018597,-0.000148,-0.002191,-0.000044
47,0.013443,-0.025491,-0.006650,0.054227,-0.022605,-0.039569,0.006071,-89.749680,0.017408,-0.000028,-0.002177,-0.000389
48,0.009935,-0.023709,-0.004870,0.052449,-0.017436,-0.045652,0.005888,-89.746834,0.015988,0.000031,-0.002140,-0.000696
50,0.014797,-0.021208,-0.002990,0.050729,-0.019817,-0.036775,0.005704,-89.743362,0.014614,0.000104,-0.002013,-0.000859
51,0.016768,-0.019957,-0.001896,0.050542,-0.026546,-0.037046,0.005546,-89.739349,0.013384,0.000292,-0.001829,-0.000922
52,0.019580,-0.023112,-0.007141,0.051837,-0.030104,-0.026976,0.005440,-89.741501,0.012317,0.000531,-0.001711,-0.001047
53,0.022606,-0.021206,-0.002973,0.057517,-0.030593,-0.020188,0.005447,-89.738632,0.011531,0.000827,-0.001632,-0.001159
54,0.026044,-0.019023,-0.004373,0.051204,-0.019259,-0.023954,0.005443,-89.739883,0.010795,0.001179,-0.001481,-0.001184
55,0.020360,-0.019442,-0.003148,0.048049,-0.021579,-0.037927,0.005323,-89.738472,0.009764,0.001402,-0.001319,-0.001200
