seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
61,-0.001234,-0.020426,0.102764,-2.314100,2.031115,-1.017442,-11.241419,0.674578,-0.134074,0.000000,0.000000,0.000000
62,0.028740,-0.105899,-0.057775,12.765329,12.433442,-38.531368,-11.076055,0.783533,-0.827461,0.000499,-0.003962,0.000507
63,-0.141067,0.008297,0.088892,15.368940,14.741214,-39.770535,-10.628086,0.982898,-2.194360,-0.002379,-0.006577,0.000636
64,-0.235747,0.096283,0.463597,21.779631,14.215721,-39.384750,-10.035827,1.221246,-3.578804,-0.011868,-0.004610,0.013953
65,-0.470520,0.025523,0.907604,24.065302,14.397809,-34.639816,-9.302429,1.484771,-4.875072,-0.029594,-0.002678,0.047737
66,-0.549670,0.038368,0.905174,23.001459,13.642518,-27.782713,-8.549678,1.785452,-5.975598,-0.055167,-0.002288,0.092561
67,-0.436282,-0.003978,1.054822,16.965120,11.299797,-22.638760,-7.913870,2.076826,-6.867228,-0.079885,-0.002568,0.141065
68,-0.340858,-0.161744,1.024295,12.274747,9.140497,-18.364674,-7.454357,2.322914,-7.590549,-0.099383,-0.008469,0.192547
69,-0.279410,-0.210648,0.803266,7.262613,7.402348,-14.193330,-7.153028,2.527311,-8.164339,-0.114958,-0.019536,0.237741
70,-0.166958,-0.117064,0.464338,2.442134,5.857810,-11.814496,-7.012156,2.693071,-8.622252,-0.126187,-0.029486,0.268935
71,-0.196851,-0.093244,0.061490,-2.785368,4.891435,-10.140085,-7.036428,2.826001,-9.007807,-0.135351,-0.029421,0.226961
72,-0.257344,-0.107534,-0.109279,-7.259226,2.590673,-7.754530,-7.219443,2.912583,-9.319656,-0.146775,-0.029176,0.181571
73,-0.205099,0.100061,-0.607788,-8.078707,0.096158,-7.473737,-7.488173,2.924375,-9.577489,-0.158405,-0.025083,0.163149
74,0.012831,0.014196,-0.785746,-13.400720,-4.097721,-6.064229,-7.856903,2.828130,-9.792510,-0.131606,-0.019332,0.127815
75,0.349462,-0.112679,-0.790826,-12.627586,-10.004021,-2.943892,-8.296084,2.574209,-9.908328,-0.122618,-0.023552,0.087905
76,0.599511,-0.051216,-0.564224,-5.648297,-14.916558,-1.553820,-8.601106,2.152251,-9.921647,-0.098963,-0.023702,0.053533
