seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
1,-0.026629,-0.037707,0.238280,-0.683504,0.884906,1.368093,0.000000,6.374779,0.000000,0.000000,0.000000,0.000000
2,0.035580,0.010850,0.108878,-0.362361,-0.354597,1.364116,-0.013075,6.292500,0.045537,-0.000829,-0.000347,0.006557
3,0.045895,-0.010589,0.137056,-0.360636,0.263108,1.163439,-0.018842,6.174996,0.087663,-0.000057,-0.000087,0.009654
4,0.003089,-0.013747,0.205215,-0.251688,-0.431020,1.184151,-0.021784,6.124579,0.126789,-0.000088,-0.000363,0.013885
5,0.028696,-0.005031,0.141115,-0.079071,-2.153422,1.327141,-0.020472,5.998398,0.168644,-0.000446,-0.000468,0.017174
6,0.064872,-0.003552,0.095508,0.047497,-3.135141,1.450409,-0.015749,5.767208,0.214937,0.000481,-0.000348,0.017491
7,0.060806,-0.035852,0.106760,0.000187,-2.692902,1.469274,-0.011216,5.533591,0.263598,0.001827,-0.000853,0.016957
8,0.031441,0.005918,0.091633,0.053313,-2.548534,1.769418,-0.007742,5.369292,0.317576,0.002213,-0.001056,0.016358
9,0.028956,0.032009,0.037040,0.004336,-2.217032,2.064150,-0.005088,5.227365,0.381469,0.001879,0.000114,0.014428
10,0.026457,0.025042,0.075395,-0.276227,-1.199774,2.211960,-0.007216,5.106523,0.452738,0.001509,0.001399,0.012514
11,0.042810,0.022535,0.084422,-0.448707,-0.655683,2.230950,-0.014472,4.979094,0.526786,0.001482,0.002207,0.011867
12,0.071422,0.055421,0.117935,-0.696706,-0.427561,2.692086,-0.025170,4.805004,0.608837,0.002327,0.003415,0.012116
13,0.075681,0.012385,0.118935,-0.957238,-0.478483,2.896057,-0.039552,4.626248,0.701972,0.003612,0.004137,0.012905
14,0.064550,-0.033981,0.105705,-1.058687,-0.127767,2.739125,-0.054864,4.476221,0.795892,0.004457,0.002931,0.013201
15,0.023645,-0.041277,0.037217,-1.010696,1.327231,2.833813,-0.067014,4.444866,0.888774,0.004073,0.000927,0.011754
16,-0.119864,-0.091293,0.014531,-0.971947,3.629438,2.754909,-0.095056,4.563744,0.981920,0.000066,-0.002255,0.010862
17,-0.239335,-0.111245,-0.147994,-0.507072,5.003591,2.300176,-0.113721,4.785706,1.066171,-0.010515,-0.007186,0.005341
18,-0.285820,-0.084783,-0.338222,-0.233233,8.214551,1.705948,-0.119757,5.105887,1.132940,-0.025246,-0.011954,-0.009000
19,-0.338779,-0.011371,-0.683103,-0.620132,12.479907,2.196040,-0.127281,5.583544,1.197973,-0.042462,-0.014225,-0.036718
20,-0.206012,-0.006179,-0.956480,-1.711168,17.803862,2.643136,-0.157829,6.192805,1.278626,-0.057683,-0.014531,-0.079893
21,0.086390,-0.062875,-1.195650,-2.286442,23.002689,2.629403,-0.213233,6.893106,1.366502,-0.062275,-0.016125,-0.135882
22,0.220683,0.059852,-0.660404,-2.645035,29.063665,2.449343,-0.280653,7.717930,1.451147,-0.056200,-0.016068,-0.184468
23,0.419023,0.127705,0.264953,-3.064664,26.161356,3.903550,-0.357024,8.501796,1.557029,-0.041809,-0.011246,-0.196540
24,0.396593,0.040914,1.665982,-3.522442,22.248882,5.171594,-0.443469,9.135163,1.708281,-0.023020,-0.006898,-0.150451
25,0.116347,-0.004749,2.897548,-2.797627,17.230114,6.830275,-0.521363,9.650091,1.908312,-0.011798,-0.005861,-0.038548
26,-0.411033,0.017518,3.204690,-1.181672,17.819122,9.378571,-0.558300,10.196605,2.178460,-0.020766,-0.005409,0.111822
27,-0.786045,-0.064499,2.477291,0.347305,28.354111,10.732067,-0.582003,11.038432,2.513637,-0.052294,-0.006451,0.251687
28,-0.953843,-0.054482,1.108206,2.041082,47.530415,9.103905,-0.515087,12.490804,2.844237,-0.097393,-0.009293,0.339139
29,-0.521920,0.062554,-0.624833,3.452563,64.166054,5.833847,-0.402350,14.565987,3.093199,-0.135889,-0.008958,0.349038
30,0.184541,0.117013,-2.225402,4.626000,75.152718,2.215877,-0.254323,17.076265,3.227361,-0.145924,-0.004336,0.275597
31,0.833763,0.059950,-2.852565,4.711452,73.330765,-1.832403,-0.093764,19.627121,3.233753,-0.122068,0.000220,0.146463
