seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,vx,vy,vz
2814,0.000879,-0.000944,0.045187,-1.644837,1.289276,-0.134944,-1.197203,-1.114499,0.000000,0.000000,0.000000,0.000000
2815,-0.023125,0.019352,0.071843,-1.536700,0.781096,-0.092145,-1.209881,-1.032797,-0.003785,-0.001418,0.000559,0.001944
2816,-0.005941,0.000933,0.060487,-1.194783,0.207767,-0.062580,-1.251045,-1.002770,-0.006364,-0.002647,0.001028,0.003745
2817,0.008808,0.010169,0.077630,-0.519676,-0.128393,-0.106805,-1.256682,-1.015813,-0.009187,-0.002967,0.001209,0.005238
2818,-0.012840,0.034577,0.080886,-0.429995,-0.247364,-0.083066,-1.202449,-0.766556,-0.012351,-0.003331,0.001997,0.006766
2819,-0.043667,0.029020,0.100379,-0.103007,-0.817807,-0.068535,-0.908499,-0.588234,-0.014878,-0.004617,0.002966,0.008358
2821,-0.137199,0.007898,0.113445,0.163080,-1.021237,-0.082523,-0.680622,-0.464164,-0.017395,-0.008013,0.003183,0.010180
2822,-0.013105,0.031617,0.106494,0.249239,-1.436430,-0.072439,-0.505313,-0.378843,-0.019978,-0.010015,0.003383,0.011655
2823,-0.015746,0.039236,0.100084,-0.046732,-0.453618,-0.006600,-0.376453,-0.307759,-0.021296,-0.009144,0.004127,0.012471
2824,0.005364,0.019012,0.101438,-0.031917,-0.174561,-0.019667,-0.283323,-0.238674,-0.021733,-0.008047,0.004436,0.012928
2825,0.009030,0.006339,0.093062,-0.032346,0.180950,-0.014594,-0.213296,-0.178924,-0.022304,-0.006658,0.004007,0.013066
2826,0.074959,0.009370,0.083860,-0.010623,0.375740,-0.000833,-0.160507,-0.127234,-0.022561,-0.004177,0.003460,0.012748
2827,-0.088933,-0.009990,0.110004,0.008912,1.005438,-0.011137,-0.120401,-0.078160,-0.022761,-0.004125,0.002693,0.012749
2828,-0.142125,-0.010308,0.114497,0.002716,0.286183,-0.037338,-0.090155,-0.042473,-0.023569,-0.008289,0.001694,0.013266
2829,-0.147942,-0.006094,0.116292,-0.010656,0.182343,-0.042017,-0.067716,-0.025997,-0.024891,-0.012633,0.000980,0.013707
2830,-0.145025,-0.017903,0.115967,-0.020638,0.146847,-0.039164,-0.051178,-0.015384,-0.026244,-0.015995,0.000270,0.013992
2831,-0.134304,-0.017610,0.113369,-0.030293,0.125798,-0.036404,-0.039019,-0.008131,-0.027504,-0.018249,-0.000510,0.014069
2832,-0.136613,-0.011045,0.111542,-0.041107,0.124626,-0.038162,-0.030157,-0.002970,-0.028747,-0.019726,-0.000981,0.013953
2833,-0.134406,-0.020608,0.113739,-0.045663,0.111685,-0.036911,-0.023703,0.000729,-0.029998,-0.020754,-0.001401,0.013781
2834,-0.139751,-0.025045,0.110805,-0.036787,0.102119,-0.038653,-0.018810,0.003220,-0.031257,-0.021485,-0.001992,0.013545
2835,-0.138510,-0.024585,0.111868,-0.037057,0.113530,-0.037386,-0.015032,0.005109,-0.032525,-0.021998,-0.002517,0.013238
2836,-0.137537,-0.034584,0.108422,-0.034366,0.098001,-0.045015,-0.012167,0.006475,-0.033898,-0.022214,-0.003097,0.012868
2837,-0.134202,-0.044135,0.109546,-0.030287,0.090361,-0.049443,-0.009934,0.007212,-0.035472,-0.022158,-0.003910,0.012453
2838,-0.140329,-0.034916,0.102880,-0.023391,0.071163,-0.055202,-0.008120,0.007428,-0.037216,-0.022028,-0.004526,0.011942
2839,-0.145082,-0.037598,0.105466,-0.019672,0.055547,-0.044537,-0.006629,0.007155,-0.038879,-0.021998,-0.004849,0.011388
2840,-0.147749,-0.040360,0.107687,-0.001316,0.062582,-0.054884,-0.005235,0.006843,-0.040536,-0.021980,-0.005177,0.010978
2841,-0.111832,-0.034759,0.113563,-0.001273,0.054626,-0.039802,-0.003959,0.223225,-0.042114,-0.021178,-0.005344,0.010746
2842,-0.120220,-0.029570,0.110539,0.004672,0.057263,-0.029642,-0.002925,0.168819,-0.043271,-0.019881,-0.005230,0.010552
2843,-0.124526,-0.034800,0.112414,0.001567,0.058338,-0.027194,-0.002116,0.128059,-0.044218,-0.018991,-0.005109,0.010312
2844,-0.119180,-0.027416,0.114172,0.004468,0.057901,-0.018923,-0.001512,0.097499,-0.044987,-0.018157,-0.004940,0.010129
