seq,ax,ay,az,wroll,wpitch,wyaw
1,0.953982,-9.766909,-0.037114,-8.415479,2.250740,-0.755333
2,0.760645,-9.423360,0.041962,-6.302072,1.602222,-0.350963
3,0.813318,-9.848329,-0.228673,-7.515183,1.648000,-0.663778
4,0.926449,-9.525723,-0.121429,-4.615924,2.082888,-1.022370
5,0.794166,-9.463483,-0.154346,-7.255775,1.869259,-0.740074
6,0.962962,-9.411395,-0.019048,-7.728813,1.693777,-0.816370
7,0.969546,-9.695109,-0.215436,-7.164220,2.983184,-0.816370
8,0.840258,-9.145088,-0.215285,-9.537034,4.593036,-0.808740
9,0.873775,-9.851381,-0.721213,-17.143772,5.317850,-0.366222
10,0.650510,-9.975918,-1.082766,-11.459701,6.187628,-1.190222
11,0.851033,-9.071493,-0.389418,-7.797479,7.286294,-3.173925
12,0.972540,-9.597574,-0.381782,-16.823328,9.231849,-2.136296
13,0.895921,-10.013545,-0.465111,-17.609180,8.865627,-0.869778
14,0.500868,-9.560522,-0.782822,-13.054293,4.348887,-1.670888
15,1.153910,-8.952979,-0.330684,-15.152439,6.500443,-0.892666
16,1.300555,-9.622682,-0.165091,-25.574511,9.628590,1.014740
17,0.778005,-9.471869,-0.217790,-30.526138,7.637258,0.244148
18,0.998878,-9.192944,-0.026755,-35.096287,12.253181,1.777703
19,1.199395,-9.824351,0.059261,-38.155766,16.541033,4.089480
20,0.562522,-9.336669,-0.682798,-44.900356,13.130589,3.585925
21,0.326687,-9.415137,-1.181390,-47.761467,6.981109,3.433332
22,0.740300,-9.451694,-1.628402,-46.769615,3.578295,2.616962
23,0.633157,-9.339204,-1.851616,-53.109837,2.883999,2.891629
24,0.965364,-9.430819,-2.241203,-55.398724,1.686148,1.632740
25,0.570906,-9.681023,-2.441232,-54.208504,1.716666,0.602741
26,0.389542,-9.321348,-2.629070,-55.719170,2.533036,2.128666
27,0.356022,-9.521281,-2.912816,-56.421093,2.632221,0.129704
28,0.656506,-9.252566,-3.038966,-57.870724,-0.465407,0.099185
29,0.639747,-9.345983,-3.444167,-54.261909,1.045259,0.968963
30,0.526019,-9.328043,-3.551905,-49.607838,3.868221,0.000000
31,0.475742,-9.250903,-4.109072,-45.930355,7.187109,0.549333
32,0.679855,-9.461654,-4.756061,-36.286507,6.653035,0.915555
33,0.798972,-9.426404,-5.293465,-24.071474,5.600146,1.777703
34,-0.025255,-8.919497,-5.397569,-7.156590,6.912442,0.228889
35,0.394946,-7.652397,-4.862671,0.831629,5.088962,1.159703
36,0.527829,-7.327959,-4.463366,-0.053407,5.714591,1.106296
37,0.479342,-8.106672,-4.968730,-6.897183,5.577258,0.656148
38,0.532615,-7.826512,-4.470103,2.357555,4.028443,0.350963
39,0.144141,-8.241302,-4.663001,1.297037,3.089999,0.946074
40,0.653524,-8.479541,-4.998144,1.991333,3.883480,1.434370
41,0.525428,-8.477687,-4.517585,1.014740,4.501480,1.060518
42,0.403916,-8.724238,-4.228615,-1.007111,3.021333,-0.076296
43,0.462577,-8.702720,-4.472180,-4.943998,4.127628,-0.793481
44,0.314131,-8.656600,-4.166964,-3.471480,4.470962,-1.503037
45,0.346453,-8.692472,-3.851573,-3.089999,0.213629,-1.800592
46,0.511060,-8.745771,-4.143621,-5.218665,1.258888,-2.677999
47,0.664894,-8.408787,-3.935822,-1.190222,2.059999,-1.449629
48,0.746894,-8.889959,-3.749233,-4.089480,4.600665,0.137333
49,0.365603,-9.356799,-3.769784,-0.915555,3.624073,1.251259
50,0.348842,-9.355560,-3.437631,3.746147,1.297037,0.473037
51,0.611609,-9.969576,-3.075702,11.680960,-1.258888,-2.548295
52,0.830683,-10.507635,-3.145259,15.289774,-4.387035,-1.762444
53,0.751076,-9.992908,-3.005666,21.568956,-6.401258,-1.319926
54,0.913887,-9.866006,-2.857180,21.134068,-2.548295,-2.159184
55,0.287786,-9.571588,-3.171384,22.232735,-1.876889,-2.197333
56,0.804953,-8.524697,-2.318749,15.610218,3.402814,0.091555
